iso3,started_year,ended_year,still_has_national_service,had_national_service_at_start
ALB,1999,2010,No,Yes
ARM,1999,2025,Yes,Yes
AUT,1999,2025,Yes,Yes
AZE,1999,2025,Yes,Yes
BEL,1999,1992,No,Yes
BIH,1999,2006,No,Yes
BGR,1999,2008,No,Yes
HRV,1999,2008,No,Yes
CYP,1999,2025,Yes,Yes
CZE,1999,2005,No,Yes
DNK,1999,2025,Yes,Yes
EST,1999,2025,Yes,Yes
FIN,1999,2025,Yes,Yes
FRA,1999,2001,Yes,Yes
DEU,1999,2011,No,Yes
GRC,1999,2025,Yes,Yes
HUN,1999,2004,No,Yes
ITA,1999,2005,No,Yes
LVA,1999,2007,No,Yes
LVA,2024,2025,Yes,No
LTU,1999,2025,Yes,Yes
MDA,1999,2025,Yes,Yes
NLD,1999,1997,No,Yes
MKD,1999,2006,No,Yes
NOR,1999,2025,Yes,Yes
POL,1999,2009,No,Yes
PRT,1999,2004,No,Yes
ROU,1999,2007,No,Yes
RUS,1999,2025,Yes,Yes
SRB,1999,2011,No,Yes
SVK,1999,2006,No,Yes
ESP,1999,2001,No,Yes
SWE,1999,2010,Yes,Yes
SWE,2017,2025,Yes,No
CHE,1999,2025,Yes,Yes
TUR,1999,2025,Yes,Yes
UKR,1999,2013, Yes,Yes
UKR,2014,2025,Yes,Yes
BLR,1999,2025,Yes,Yes
MNE,1999,2006,No,Yes
