"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H6","616","POL","Poland","070993","000","WLD","World",2022,"Gross Exports",4122.145
"H6","620","PRT","Portugal","070993","000","WLD","World",2022,"Gross Exports",28090.150131
"H6","642","ROM","Romania","070993","000","WLD","World",2022,"Gross Exports",518.25704
"H6","686","SEN","Senegal","070993","000","WLD","World",2022,"Gross Exports",208.145644
"H6","688","SER","Yugoslavia","070993","000","WLD","World",2022,"Gross Exports",125.929
"H6","699","IND","India","070993","000","WLD","World",2022,"Gross Exports",10085.632639
"H6","702","SGP","Singapore","070993","000","WLD","World",2022,"Gross Exports",554.889748
"H6","703","SVK","Slovakia","070993","000","WLD","World",2022,"Gross Exports",167.151462
"H6","705","SVN","Slovenia","070993","000","WLD","World",2022,"Gross Exports",613.016578
"H6","710","ZAF","South Africa","070993","000","WLD","World",2022,"Gross Exports",14834.16764
"H6","724","ESP","Spain","070993","000","WLD","World",2022,"Gross Exports",535874.362155
"H6","752","SWE","Sweden","070993","000","WLD","World",2022,"Gross Exports",46.271343
"H6","757","CHE","Switz.Liecht","070993","000","WLD","World",2022,"Gross Exports",16.7466
"H6","764","THA","Thailand","070993","000","WLD","World",2022,"Gross Exports",350.183186
"H6","784","ARE","Untd Arab Em","070993","000","WLD","World",2022,"Gross Exports",7467.481118
"H6","792","TUR","Turkey","070993","000","WLD","World",2022,"Gross Exports",72988.854
"H6","807","MKD","TFYR Macedna","070993","000","WLD","World",2022,"Gross Exports",124.21973
"H6","818","EGY","Egypt","070993","000","WLD","World",2022,"Gross Exports",1534.223724
"H6","826","GBR","Untd.Kingdom","070993","000","WLD","World",2022,"Gross Exports",1527.594447
"H6","834","TZA","Tanzania","070993","000","WLD","World",2022,"Gross Exports",640.65325
"H6","842","USA","USA,PR,USVI","070993","000","WLD","World",2022,"Gross Exports",60634.566
"H6","858","URY","Uruguay","070993","000","WLD","World",2022,"Gross Exports",204.765
"H6","894","ZMB","Zambia","070993","000","WLD","World",2022,"Gross Exports",0.005915
