GE_ElectionYear,VoteShare_REFORM,Party
2024,0.0,Reform UK
2024,0.1381,Reform UK
2024,0.173,Reform UK
2024,0.2124,Reform UK
2024,0.2139,Reform UK
2024,0.1685,Reform UK
2024,0.2137,Reform UK
2024,0.0669,Reform UK
2024,0.0476,Reform UK
2024,0.0666,Reform UK
2024,0.041,Reform UK
2024,0.0627,Reform UK
2024,0.0526,Reform UK
2024,0.1612,Reform UK
2024,0.0976,Reform UK
2024,0.1599,Reform UK
2024,0.088,Reform UK
2024,0.182,Reform UK
2024,0.0889,Reform UK
2024,0.1406,Reform UK
2024,0.1803,Reform UK
2024,0.1806,Reform UK
2024,0.2036,Reform UK
2024,0.2061,Reform UK
2024,0.2876,Reform UK
2024,0.353,Reform UK
2024,0.0774,Reform UK
2024,0.091,Reform UK
2024,0.0313,Reform UK
2024,0.0384,Reform UK
2024,0.2199,Reform UK
2024,0.1942,Reform UK
2024,0.1521,Reform UK
2024,0.0784,Reform UK
2024,0.0636,Reform UK
2024,0.0606,Reform UK
2024,0.1257,Reform UK
2024,0.2182,Reform UK
2024,0.0781,Reform UK
2024,0.1091,Reform UK
2024,0.0458,Reform UK
2024,0.0583,Reform UK
2024,0.2454,Reform UK
2024,0.2041,Reform UK
2024,0.1609,Reform UK
2024,0.2361,Reform UK
2024,0.1074,Reform UK
2024,0.1512,Reform UK
2024,0.1743,Reform UK
2024,0.0736,Reform UK
2024,0.0981,Reform UK
2024,0.1842,Reform UK
2024,0.2171,Reform UK
2024,0.1541,Reform UK
2024,0.1371,Reform UK
2024,0.0,Reform UK
2024,0.242,Reform UK
2024,0.1414,Reform UK
2024,0.1845,Reform UK
2024,0.1287,Reform UK
2024,0.0614,Reform UK
2024,0.1242,Reform UK
2024,0.2839,Reform UK
2024,0.0409,Reform UK
2024,0.1102,Reform UK
2024,0.2915,Reform UK
2024,0.0878,Reform UK
2024,0.1543,Reform UK
2024,0.1545,Reform UK
2024,0.2073,Reform UK
2024,0.0772,Reform UK
2024,0.0566,Reform UK
2024,0.0614,Reform UK
2024,0.0611,Reform UK
2024,0.1594,Reform UK
2024,0.2085,Reform UK
2024,0.1701,Reform UK
2024,0.0349,Reform UK
2024,0.0792,Reform UK
2024,0.2693,Reform UK
2024,0.1036,Reform UK
2024,0.1298,Reform UK
2024,0.06,Reform UK
2024,0.1686,Reform UK
2024,0.082,Reform UK
2024,0.0945,Reform UK
2024,0.3061,Reform UK
2024,0.2041,Reform UK
2024,0.233,Reform UK
2024,0.2197,Reform UK
2024,0.1643,Reform UK
2024,0.0,Reform UK
2024,0.1596,Reform UK
2024,0.0759,Reform UK
2024,0.1865,Reform UK
2024,0.0759,Reform UK
2024,0.1192,Reform UK
2024,0.0,Reform UK
2024,0.2036,Reform UK
2024,0.1632,Reform UK
2024,0.0559,Reform UK
2024,0.059,Reform UK
2024,0.1601,Reform UK
2024,0.2694,Reform UK
2024,0.1191,Reform UK
2024,0.0854,Reform UK
2024,0.0453,Reform UK
2024,0.0481,Reform UK
2024,0.0566,Reform UK
2024,0.1982,Reform UK
2024,0.1803,Reform UK
2024,0.1049,Reform UK
2024,0.101,Reform UK
2024,0.1569,Reform UK
2024,0.0868,Reform UK
2024,0.1284,Reform UK
2024,0.0887,Reform UK
2024,0.276,Reform UK
2024,0.0634,Reform UK
2024,0.1705,Reform UK
2024,0.2568,Reform UK
2024,0.2469,Reform UK
2024,0.1204,Reform UK
2024,0.124,Reform UK
2024,0.1249,Reform UK
2024,0.0,Reform UK
2024,0.2008,Reform UK
2024,0.318,Reform UK
2024,0.2502,Reform UK
2024,0.1198,Reform UK
2024,0.0452,Reform UK
2024,0.047,Reform UK
2024,0.2284,Reform UK
2024,0.1314,Reform UK
2024,0.1945,Reform UK
2024,0.1988,Reform UK
2024,0.2369,Reform UK
2024,0.1732,Reform UK
2024,0.1284,Reform UK
2024,0.1919,Reform UK
2024,0.1758,Reform UK
2024,0.0,Reform UK
2024,0.0398,Reform UK
2024,0.1857,Reform UK
2024,0.2054,Reform UK
2024,0.111,Reform UK
2024,0.0,Reform UK
2024,0.1679,Reform UK
2024,0.0,Reform UK
2024,0.2048,Reform UK
2024,0.0742,Reform UK
2024,0.1308,Reform UK
2024,0.1341,Reform UK
2024,0.0914,Reform UK
2024,0.107,Reform UK
2024,0.2056,Reform UK
2024,0.075,Reform UK
2024,0.1625,Reform UK
2024,0.077,Reform UK
2024,0.0515,Reform UK
2024,0.2534,Reform UK
2024,0.169,Reform UK
2024,0.1635,Reform UK
2024,0.1549,Reform UK
2024,0.1095,Reform UK
