Country,Strongly support,Somewhat support,Don't know,Somewhat oppose,Strongly oppose
Britain,41.0,30.0,18.0,7.0,4.0
France,41.63,25.59,15.92,9.94,6.92
Germany,37.0,31.0,15.0,12.0,5.0
Denmark,51.0,28.0,12.0,6.0,3.0
Sweden,46.0,27.0,15.0,7.0,5.0
Spain,43.0,27.0,12.0,11.0,7.0
Italy,31.0,25.0,21.0,13.0,10.0
