Country,Country Code,Year,Value
Canada,CAN,1960,-2.926719235
Spain,ESP,1960,
France,FRA,1960,
United Kingdom,GBR,1960,
Italy,ITA,1960,
Japan,JPN,1960,
United States,USA,1960,
Canada,CAN,1961,-2.694766502
Spain,ESP,1961,
France,FRA,1961,
United Kingdom,GBR,1961,
Italy,ITA,1961,
Japan,JPN,1961,
United States,USA,1961,
Canada,CAN,1962,-2.552264012
Spain,ESP,1962,
France,FRA,1962,
United Kingdom,GBR,1962,
Italy,ITA,1962,
Japan,JPN,1962,
United States,USA,1962,
Canada,CAN,1963,-1.864212237
Spain,ESP,1963,
France,FRA,1963,
United Kingdom,GBR,1963,
Italy,ITA,1963,
Japan,JPN,1963,
United States,USA,1963,
Canada,CAN,1964,-0.916576378
Spain,ESP,1964,
France,FRA,1964,
United Kingdom,GBR,1964,
Italy,ITA,1964,
Japan,JPN,1964,
United States,USA,1964,
Canada,CAN,1965,-3.03352418
Spain,ESP,1965,
France,FRA,1965,
United Kingdom,GBR,1965,
Italy,ITA,1965,
Japan,JPN,1965,
United States,USA,1965,
Canada,CAN,1966,-2.57723065
Spain,ESP,1966,
France,FRA,1966,
United Kingdom,GBR,1966,
Italy,ITA,1966,
Japan,JPN,1966,
United States,USA,1966,
Canada,CAN,1967,-1.941926127
Spain,ESP,1967,
France,FRA,1967,
United Kingdom,GBR,1967,
Italy,ITA,1967,
Japan,JPN,1967,
United States,USA,1967,
Canada,CAN,1968,-1.361216433
Spain,ESP,1968,
France,FRA,1968,
United Kingdom,GBR,1968,
Italy,ITA,1968,
Japan,JPN,1968,
United States,USA,1968,
Canada,CAN,1969,-2.450347527
Spain,ESP,1969,
France,FRA,1969,
United Kingdom,GBR,1969,
Italy,ITA,1969,
Japan,JPN,1969,
United States,USA,1969,
Canada,CAN,1970,0.559835501
Spain,ESP,1970,
France,FRA,1970,
United Kingdom,GBR,1970,1.507897053
Italy,ITA,1970,0.720029881
Japan,JPN,1970,
United States,USA,1970,0.244106278
Canada,CAN,1971,-1.042703674
Spain,ESP,1971,
France,FRA,1971,
United Kingdom,GBR,1971,1.834327718
Italy,ITA,1971,1.297294892
Japan,JPN,1971,
United States,USA,1971,-0.084131004
Canada,CAN,1972,-2.119008423
Spain,ESP,1972,
France,FRA,1972,
United Kingdom,GBR,1972,0.313802108
Italy,ITA,1972,1.364664694
Japan,JPN,1972,
United States,USA,1972,-0.411223429
Canada,CAN,1973,-1.560590062
Spain,ESP,1973,
France,FRA,1973,
United Kingdom,GBR,1973,-1.252547468
Italy,ITA,1973,-1.618867216
Japan,JPN,1973,
United States,USA,1973,0.531789507
Canada,CAN,1974,-2.839542498
Spain,ESP,1974,
France,FRA,1974,
United Kingdom,GBR,1974,-3.613449724
Italy,ITA,1974,-4.144769164
Japan,JPN,1974,
United States,USA,1974,0.110015059
Canada,CAN,1975,-4.699237515
Spain,ESP,1975,-3.391796316
France,FRA,1975,0.759455306
United Kingdom,GBR,1975,-1.433288446
Italy,ITA,1975,-0.288166496
Japan,JPN,1975,
United States,USA,1975,1.061188056
Canada,CAN,1976,-3.685303438
Spain,ESP,1976,-3.900561566
France,FRA,1976,-0.901434139
United Kingdom,GBR,1976,-0.593358579
Italy,ITA,1976,-1.271789854
Japan,JPN,1976,
United States,USA,1976,0.204973599
Canada,CAN,1977,-3.298082074
Spain,ESP,1977,-1.853700189
France,FRA,1977,-0.098738837
United Kingdom,GBR,1977,0.05513511
Italy,ITA,1977,0.909870294
Japan,JPN,1977,
United States,USA,1977,-0.725324787
Canada,CAN,1978,-3.732617575
Spain,ESP,1978,0.778856157
France,FRA,1978,1.394036913
United Kingdom,GBR,1978,0.644119065
Italy,ITA,1978,1.920753992
Japan,JPN,1978,
United States,USA,1978,-0.669629473
Canada,CAN,1979,-3.437894552
Spain,ESP,1979,0.352528178
France,FRA,1979,0.83744203
United Kingdom,GBR,1979,-0.178279571
Italy,ITA,1979,1.504641835
Japan,JPN,1979,
United States,USA,1979,-0.005964223
Canada,CAN,1980,-2.215625515
Spain,ESP,1980,-2.397248704
France,FRA,1980,-0.600086979
United Kingdom,GBR,1980,1.214624349
Italy,ITA,1980,-2.214527684
Japan,JPN,1980,
United States,USA,1980,0.074440723
Canada,CAN,1981,-4.078876838
Spain,ESP,1981,-2.644476886
France,FRA,1981,-0.781545245
United Kingdom,GBR,1981,2.612389859
Italy,ITA,1981,-2.408734683
Japan,JPN,1981,
United States,USA,1981,0.149982492
Canada,CAN,1982,0.570951691
Spain,ESP,1982,-2.320570832
France,FRA,1982,-2.06576075
United Kingdom,GBR,1982,1.550281607
Italy,ITA,1982,-1.731516825
Japan,JPN,1982,
United States,USA,1982,-0.347121185
Canada,CAN,1983,-0.737903557
Spain,ESP,1983,-1.762605236
France,FRA,1983,-0.9226284
United Kingdom,GBR,1983,1.080779734
Italy,ITA,1983,0.146041526
Japan,JPN,1983,
United States,USA,1983,-1.216883258
Canada,CAN,1984,-0.385070716
Spain,ESP,1984,1.032870889
France,FRA,1984,-0.165069868
United Kingdom,GBR,1984,0.39728608
Italy,ITA,1984,-0.732139551
Japan,JPN,1984,
United States,USA,1984,-2.452141897
Canada,CAN,1985,-1.594522363
Spain,ESP,1985,1.540691826
France,FRA,1985,-0.006254845
United Kingdom,GBR,1985,0.677370025
Italy,ITA,1985,-0.904050635
Japan,JPN,1985,
United States,USA,1985,-2.868301506
Canada,CAN,1986,-2.995035257
Spain,ESP,1986,1.557463472
France,FRA,1986,0.314981539
United Kingdom,GBR,1986,-0.220092795
Italy,ITA,1986,0.378659155
Japan,JPN,1986,
United States,USA,1986,-3.213665031
Canada,CAN,1987,-3.165696055
Spain,ESP,1987,-0.082657399
France,FRA,1987,-0.47591093
United Kingdom,GBR,1987,-1.689509411
Italy,ITA,1987,-0.318830062
Japan,JPN,1987,
United States,USA,1987,-3.308751518
Canada,CAN,1988,-3.000721316
Spain,ESP,1988,-1.009008149
France,FRA,1988,-0.453346568
United Kingdom,GBR,1988,-3.881471694
Italy,ITA,1988,-0.801967945
Japan,JPN,1988,
United States,USA,1988,-2.315658087
Canada,CAN,1989,-3.916707425
Spain,ESP,1989,-2.633939828
France,FRA,1989,-0.455614209
United Kingdom,GBR,1989,-4.650906316
Italy,ITA,1989,-1.381545123
Japan,JPN,1989,
United States,USA,1989,-1.763796667
Canada,CAN,1990,-3.398803131
Spain,ESP,1990,-3.356466624
France,FRA,1990,-0.783516226
United Kingdom,GBR,1990,-3.550311846
Italy,ITA,1990,-1.391589307
Japan,JPN,1990,
United States,USA,1990,-1.323999555
Canada,CAN,1991,-3.734486309
Spain,ESP,1991,-3.430152782
France,FRA,1991,-0.513540884
United Kingdom,GBR,1991,-1.664499465
Italy,ITA,1991,-1.950021383
Japan,JPN,1991,
United States,USA,1991,0.046296529
Canada,CAN,1992,-3.654013172
Spain,ESP,1992,-3.413642151
France,FRA,1992,0.277811243
United Kingdom,GBR,1992,-1.967025955
Italy,ITA,1992,-2.217846621
Japan,JPN,1992,
United States,USA,1992,-0.791448803
Canada,CAN,1993,-3.860266309
Spain,ESP,1993,-1.105322878
France,FRA,1993,0.679594747
United Kingdom,GBR,1993,-1.669614871
Italy,ITA,1993,0.726103968
Japan,JPN,1993,
United States,USA,1993,-1.23616054
Canada,CAN,1994,-2.397990487
Spain,ESP,1994,-1.204259219
France,FRA,1994,0.531948765
United Kingdom,GBR,1994,-0.879081536
Italy,ITA,1994,1.20082501
Japan,JPN,1994,
United States,USA,1994,-1.669252924
Canada,CAN,1995,-0.835225571
Spain,ESP,1995,-0.320018287
France,FRA,1995,0.677057781
United Kingdom,GBR,1995,-0.999550809
Italy,ITA,1995,2.136455446
Japan,JPN,1995,
United States,USA,1995,-1.486449358
Canada,CAN,1996,0.385035905
Spain,ESP,1996,-0.347651993
France,FRA,1996,1.280496444
United Kingdom,GBR,1996,-0.727548508
Italy,ITA,1996,3.045778026
Japan,JPN,1996,1.401353644
United States,USA,1996,-1.544967362
Canada,CAN,1997,-1.371856705
Spain,ESP,1997,-0.140603104
France,FRA,1997,2.601799231
United Kingdom,GBR,1997,-0.089861062
Italy,ITA,1997,2.599019012
Japan,JPN,1997,2.124807384
United States,USA,1997,-1.640613779
Canada,CAN,1998,-1.419513079
Spain,ESP,1998,-1.171077473
France,FRA,1998,2.5080385
United Kingdom,GBR,1998,-0.318861634
Italy,ITA,1998,1.583173204
Japan,JPN,1998,2.798313444
United States,USA,1998,-2.372739072
Canada,CAN,1999,0.1246073
Spain,ESP,1999,-3.253946017
France,FRA,1999,3.394994719
United Kingdom,GBR,1999,-2.115183694
Italy,ITA,1999,0.79717751
Japan,JPN,1999,2.461752999
United States,USA,1999,-2.97598257
Canada,CAN,2000,2.483228327
Spain,ESP,2000,-4.333185065
France,FRA,2000,1.180778577
United Kingdom,GBR,2000,-1.809788142
Italy,ITA,2000,-0.270933688
Japan,JPN,2000,2.630455489
United States,USA,2000,-3.920884616
Canada,CAN,2001,2.132369792
Spain,ESP,2001,-4.389002851
France,FRA,2001,1.521814219
United Kingdom,GBR,2001,-1.766233199
Italy,ITA,2001,0.155317844
Japan,JPN,2001,1.970870923
United States,USA,2001,-3.724075261
Canada,CAN,2002,1.645030324
Spain,ESP,2002,-3.70390657
France,FRA,2002,1.175629306
United Kingdom,GBR,2002,-1.973043332
Italy,ITA,2002,-0.491647996
Japan,JPN,2002,2.602565208
United States,USA,2002,-4.173341502
Canada,CAN,2003,1.164988138
Spain,ESP,2003,-3.868232464
France,FRA,2003,0.866601324
United Kingdom,GBR,2003,-1.828084062
Italy,ITA,2003,-0.768790407
Japan,JPN,2003,3.083938908
United States,USA,2003,-4.558977694
Canada,CAN,2004,2.263150764
Spain,ESP,2004,-5.488678339
France,FRA,2004,0.432452993
United Kingdom,GBR,2004,-2.292139939
Italy,ITA,2004,-0.497026061
Japan,JPN,2004,3.719383505
United States,USA,2004,-5.204852243
Canada,CAN,2005,1.869656187
Spain,ESP,2005,-7.273495686
France,FRA,2005,-0.006494974
United Kingdom,GBR,2005,-1.98153178
Italy,ITA,2005,-0.899507101
Japan,JPN,2005,3.521140656
United States,USA,2005,-5.745982671
Canada,CAN,2006,1.363656246
Spain,ESP,2006,-8.848970602
France,FRA,2006,0.022164082
United Kingdom,GBR,2006,-3.122182458
Italy,ITA,2006,-1.45272297
Japan,JPN,2006,3.795861729
United States,USA,2006,-5.91102091
Canada,CAN,2007,0.752359497
Spain,ESP,2007,-9.449618852
France,FRA,2007,-0.327690864
United Kingdom,GBR,2007,-3.733429241
Italy,ITA,2007,-1.361434284
Japan,JPN,2007,4.623300483
United States,USA,2007,-5.088727357
Canada,CAN,2008,0.204634001
Spain,ESP,2008,-8.929393654
France,FRA,2008,-0.961095349
United Kingdom,GBR,2008,-3.88657976
Italy,ITA,2008,-2.756760256
Japan,JPN,2008,2.782942348
United States,USA,2008,-4.715859904
Canada,CAN,2009,-2.966282423
Spain,ESP,2009,-4.05095726
France,FRA,2009,-0.818234235
United Kingdom,GBR,2009,-3.039193189
Italy,ITA,2009,-1.836912657
Japan,JPN,2009,2.754095835
United States,USA,2009,-2.622836322
Canada,CAN,2010,-3.596185671
Spain,ESP,2010,-3.674090717
France,FRA,2010,-0.832873473
United Kingdom,GBR,2010,-2.771841075
Italy,ITA,2010,-3.315354294
Japan,JPN,2010,3.835478963
United States,USA,2010,-2.870641454
Canada,CAN,2011,-2.774006026
Spain,ESP,2011,-2.699732999
France,FRA,2011,-1.02991206
United Kingdom,GBR,2011,-1.630970089
Italy,ITA,2011,-2.823890503
Japan,JPN,2011,2.079153288
United States,USA,2011,-2.918620653
Canada,CAN,2012,-3.532247677
Spain,ESP,2012,0.055493502
France,FRA,2012,-1.225004626
United Kingdom,GBR,2012,-3.147189147
Italy,ITA,2012,-0.245779425
Japan,JPN,2012,0.958442611
United States,USA,2012,-2.572368474
Canada,CAN,2013,-3.146875451
Spain,ESP,2013,2.035144639
France,FRA,2013,-0.867134237
United Kingdom,GBR,2013,-4.651193731
Italy,ITA,2013,1.156187589
Japan,JPN,2013,0.889785416
United States,USA,2013,-2.010907971
Canada,CAN,2014,-2.318921377
Spain,ESP,2014,1.651989969
