time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,apps_level,age_youth_adult,age_summary,funding_type,provider_type,starts,achievements
202324,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Total,200550,73530
202223,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Total,337140,162320
202122,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Total,349190,137220
202021,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Total,321440,156530
201920,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Total,322530,146900
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Total,393380,185150
201718,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Total,375760,276160
