date,id,value
2009-09-01,E14000530,640
2009-09-01,E14000531,460
2009-09-01,E14000532,290
2009-09-01,E14000533,600
2009-09-01,E14000534,300
2009-09-01,E14000535,710
2009-09-01,E14000536,470
2009-09-01,E14000537,690
2009-09-01,E14000538,740
2009-09-01,E14000539,590
2009-09-01,E14000540,460
2009-09-01,E14000541,750
2009-09-01,E14000542,830
2009-09-01,E14000543,780
2009-09-01,E14000544,440
2009-09-01,E14000545,510
2009-09-01,E14000546,620
2009-09-01,E14000547,290
2009-09-01,E14000548,620
2009-09-01,E14000549,160
2009-09-01,E14000550,290
2009-09-01,E14000551,270
2009-09-01,E14000552,350
2009-09-01,E14000553,320
2009-09-01,E14000554,510
2009-09-01,E14000555,380
2009-09-01,E14000556,4210
2009-09-01,E14000557,350
2009-09-01,E14000558,380
2009-09-01,E14000559,730
2009-09-01,E14000560,400
2009-09-01,E14000561,650
2009-09-01,E14000562,440
2009-09-01,E14000563,570
2009-09-01,E14000564,510
2009-09-01,E14000565,640
2009-09-01,E14000566,560
2009-09-01,E14000567,510
2009-09-01,E14000568,640
2009-09-01,E14000569,510
2009-09-01,E14000570,670
2009-09-01,E14000571,680
2009-09-01,E14000572,680
2009-09-01,E14000573,770
2009-09-01,E14000574,590
2009-09-01,E14000575,660
2009-09-01,E14000576,460
2009-09-01,E14000577,590
2009-09-01,E14000578,660
2009-09-01,E14000579,640
2009-09-01,E14000580,610
2009-09-01,E14000581,930
2009-09-01,E14000582,510
2009-09-01,E14000583,390
2009-09-01,E14000584,530
2009-09-01,E14000585,550
2009-09-01,E14000586,510
2009-09-01,E14000587,610
2009-09-01,E14000588,670
2009-09-01,E14000589,490
2009-09-01,E14000590,410
2009-09-01,E14000591,280
2009-09-01,E14000592,230
2009-09-01,E14000593,270
2009-09-01,E14000594,360
2009-09-01,E14000595,620
2009-09-01,E14000596,460
2009-09-01,E14000597,350
2009-09-01,E14000598,240
2009-09-01,E14000599,590
2009-09-01,E14000600,500
2009-09-01,E14000601,760
2009-09-01,E14000602,260
2009-09-01,E14000603,440
2009-09-01,E14000604,260
2009-09-01,E14000605,490
2009-09-01,E14000606,290
2009-09-01,E14000607,440
2009-09-01,E14000608,360
2009-09-01,E14000609,510
2009-09-01,E14000610,540
2009-09-01,E14000611,620
2009-09-01,E14000612,640
2009-09-01,E14000613,750
2009-09-01,E14000614,570
2009-09-01,E14000615,320
2009-09-01,E14000616,600
2009-09-01,E14000617,260
2009-09-01,E14000618,580
2009-09-01,E14000619,310
2009-09-01,E14000620,640
2009-09-01,E14000621,400
2009-09-01,E14000622,500
2009-09-01,E14000623,510
2009-09-01,E14000624,480
2009-09-01,E14000625,450
2009-09-01,E14000626,420
2009-09-01,E14000627,490
2009-09-01,E14000628,530
2009-09-01,E14000629,100
2009-09-01,E14000630,340
2009-09-01,E14000631,230
2009-09-01,E14000632,600
2009-09-01,E14000633,330
2009-09-01,E14000634,340
2009-09-01,E14000635,460
2009-09-01,E14000636,170
2009-09-01,E14000637,650
2009-09-01,E14000638,460
2009-09-01,E14000639,240
2009-09-01,E14000640,410
2009-09-01,E14000641,400
2009-09-01,E14000642,410
2009-09-01,E14000643,510
2009-09-01,E14000644,470
2009-09-01,E14000645,700
2009-09-01,E14000646,490
2009-09-01,E14000647,620
2009-09-01,E14000648,570
2009-09-01,E14000649,660
2009-09-01,E14000650,650
2009-09-01,E14000651,510
2009-09-01,E14000652,450
2009-09-01,E14000653,680
2009-09-01,E14000654,490
2009-09-01,E14000655,400
2009-09-01,E14000656,340
2009-09-01,E14000657,450
2009-09-01,E14000658,620
2009-09-01,E14000659,330
2009-09-01,E14000660,440
2009-09-01,E14000661,720
2009-09-01,E14000662,690
2009-09-01,E14000663,800
2009-09-01,E14000664,340
2009-09-01,E14000665,1590
2009-09-01,E14000666,670
2009-09-01,E14000667,830
2009-09-01,E14000668,750
2009-09-01,E14000669,860
2009-09-01,E14000670,440
2009-09-01,E14000671,640
2009-09-01,E14000672,550
2009-09-01,E14000673,230
2009-09-01,E14000674,180
2009-09-01,E14000675,340
2009-09-01,E14000676,220
2009-09-01,E14000677,630
2009-09-01,E14000678,1310
2009-09-01,E14000679,370
2009-09-01,E14000680,280
2009-09-01,E14000681,360
2009-09-01,E14000682,400
2009-09-01,E14000683,460
2009-09-01,E14000684,510
2009-09-01,E14000685,550
2009-09-01,E14000686,470
2009-09-01,E14000687,280
2009-09-01,E14000688,570
2009-09-01,E14000689,520
2009-09-01,E14000690,360
2009-09-01,E14000691,280
2009-09-01,E14000692,150
2009-09-01,E14000693,320
2009-09-01,E14000694,260
2009-09-01,E14000695,680
2009-09-01,E14000696,390
2009-09-01,E14000697,220
2009-09-01,E14000698,680
2009-09-01,E14000699,420
2009-09-01,E14000700,310
2009-09-01,E14000701,450
2009-09-01,E14000702,490
2009-09-01,E14000703,130
2009-09-01,E14000704,420
2009-09-01,E14000705,400
2009-09-01,E14000706,470
2009-09-01,E14000707,510
2009-09-01,E14000708,860
2009-09-01,E14000709,680
2009-09-01,E14000710,590
2009-09-01,E14000711,410
2009-09-01,E14000712,760
2009-09-01,E14000713,2080
2009-09-01,E14000714,520
2009-09-01,E14000715,380
2009-09-01,E14000716,480
2009-09-01,E14000717,450
2009-09-01,E14000718,310
2009-09-01,E14000719,230
2009-09-01,E14000720,230
2009-09-01,E14000721,240
2009-09-01,E14000722,540
2009-09-01,E14000723,650
2009-09-01,E14000724,450
2009-09-01,E14000725,830
2009-09-01,E14000726,250
2009-09-01,E14000727,130
2009-09-01,E14000728,440
2009-09-01,E14000729,450
2009-09-01,E14000730,1780
2009-09-01,E14000731,200
2009-09-01,E14000732,170
2009-09-01,E14000733,670
2009-09-01,E14000734,360
2009-09-01,E14000735,430
2009-09-01,E14000736,420
2009-09-01,E14000737,440
2009-09-01,E14000738,570
2009-09-01,E14000739,350
2009-09-01,E14000740,610
2009-09-01,E14000741,230
2009-09-01,E14000742,310
2009-09-01,E14000743,630
2009-09-01,E14000744,270
2009-09-01,E14000745,300
2009-09-01,E14000746,430
2009-09-01,E14000747,760
2009-09-01,E14000748,490
2009-09-01,E14000749,220
2009-09-01,E14000750,300
2009-09-01,E14000751,370
2009-09-01,E14000752,180
2009-09-01,E14000753,380
2009-09-01,E14000754,820
2009-09-01,E14000755,330
2009-09-01,E14000756,610
2009-09-01,E14000757,370
2009-09-01,E14000758,720
2009-09-01,E14000759,270
2009-09-01,E14000760,270
2009-09-01,E14000761,610
2009-09-01,E14000762,820
2009-09-01,E14000763,190
2009-09-01,E14000764,220
2009-09-01,E14000765,740
2009-09-01,E14000766,500
2009-09-01,E14000767,310
2009-09-01,E14000768,130
2009-09-01,E14000769,520
2009-09-01,E14000770,240
2009-09-01,E14000771,800
2009-09-01,E14000772,620
2009-09-01,E14000773,680
2009-09-01,E14000774,610
2009-09-01,E14000775,1040
2009-09-01,E14000776,500
2009-09-01,E14000777,580
2009-09-01,E14000778,540
2009-09-01,E14000779,340
2009-09-01,E14000780,280
2009-09-01,E14000781,580
2009-09-01,E14000782,350
2009-09-01,E14000783,390
2009-09-01,E14000784,480
2009-09-01,E14000785,830
2009-09-01,E14000786,250
2009-09-01,E14000787,310
2009-09-01,E14000788,340
2009-09-01,E14000789,290
2009-09-01,E14000790,270
2009-09-01,E14000791,480
2009-09-01,E14000792,720
2009-09-01,E14000793,610
2009-09-01,E14000794,900
2009-09-01,E14000795,570
2009-09-01,E14000796,760
2009-09-01,E14000797,380
2009-09-01,E14000798,490
2009-09-01,E14000799,380
2009-09-01,E14000800,290
2009-09-01,E14000801,390
2009-09-01,E14000802,420
2009-09-01,E14000803,320
2009-09-01,E14000804,290
2009-09-01,E14000805,790
2009-09-01,E14000806,460
2009-09-01,E14000807,740
2009-09-01,E14000808,460
2009-09-01,E14000809,350
2009-09-01,E14000810,840
2009-09-01,E14000811,610
2009-09-01,E14000812,610
2009-09-01,E14000813,390
2009-09-01,E14000814,600
2009-09-01,E14000815,470
2009-09-01,E14000816,460
2009-09-01,E14000817,300
2009-09-01,E14000818,430
2009-09-01,E14000819,680
2009-09-01,E14000820,640
2009-09-01,E14000821,540
2009-09-01,E14000822,570
2009-09-01,E14000823,320
2009-09-01,E14000824,210
2009-09-01,E14000825,560
2009-09-01,E14000826,520
2009-09-01,E14000827,530
2009-09-01,E14000828,370
2009-09-01,E14000829,560
2009-09-01,E14000830,480
2009-09-01,E14000831,520
2009-09-01,E14000832,510
2009-09-01,E14000833,620
2009-09-01,E14000834,640
2009-09-01,E14000835,610
2009-09-01,E14000836,680
2009-09-01,E14000837,500
2009-09-01,E14000838,450
2009-09-01,E14000839,1670
2009-09-01,E14000840,650
2009-09-01,E14000841,330
2009-09-01,E14000842,410
2009-09-01,E14000843,570
2009-09-01,E14000844,300
2009-09-01,E14000845,290
2009-09-01,E14000846,390
2009-09-01,E14000847,420
