time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,pcon_code,pcon_name,starts,starts_since_may_2010,starts_since_may_2015
200910,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000015,831,Derby,,,1780,450,z
200910,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,830,Derbyshire,,,4680,1080,z
200910,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,856,Leicester,,,1220,270,z
200910,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,855,Leicestershire,,,2840,590,z
200910,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,925,Lincolnshire,,,3910,870,z
200910,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000021,928,Northamptonshire,,,3600,850,z
200910,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000018,892,Nottingham,,,1700,430,z
200910,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,891,Nottinghamshire,,,4760,1080,z
200910,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000017,857,Rutland,,,140,30,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000055,822,Bedford,,,510,90,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000003,873,Cambridgeshire,,,2110,450,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000056,823,Central Bedfordshire,,,1030,230,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000012,881,Essex,,,6410,1530,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000015,919,Hertfordshire,,,3320,690,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000032,821,Luton,,,660,130,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000020,926,Norfolk,,,3890,960,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000031,874,Peterborough,,,800,200,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000033,882,Southend-on-Sea,,,640,170,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E10000029,935,Suffolk,,,3710,800,z
200910,Academic year,Local authority,E92000001,England,E12000006,East of England,E06000034,883,Thurrock,,,670,170,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000002,301,Barking and Dagenham,,,730,140,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000003,302,Barnet,,,520,100,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000004,303,Bexley,,,980,230,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000005,304,Brent,,,560,130,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000006,305,Bromley,,,970,220,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000007,202,Camden,,,370,80,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000001,201,City of London,,,10,low,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000008,306,Croydon,,,1240,240,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000009,307,Ealing,,,740,140,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000010,308,Enfield,,,710,130,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000011,203,Greenwich,,,810,160,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000012,204,Hackney,,,460,110,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000013,205,Hammersmith and Fulham,,,340,60,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000014,309,Haringey,,,510,110,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000015,310,Harrow,,,420,80,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000016,311,Havering,,,940,200,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000017,312,Hillingdon,,,1020,220,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000018,313,Hounslow,,,720,160,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000019,206,Islington,,,410,100,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000020,207,Kensington and Chelsea,,,150,40,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000021,314,Kingston upon Thames,,,300,60,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000022,208,Lambeth,,,640,170,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000023,209,Lewisham,,,820,180,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000024,315,Merton,,,430,90,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000025,316,Newham,,,800,140,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000026,317,Redbridge,,,610,120,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000027,318,Richmond upon Thames,,,270,70,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000028,210,Southwark,,,680,160,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000029,319,Sutton,,,710,160,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000030,211,Tower Hamlets,,,780,120,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000031,320,Waltham Forest,,,850,160,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000032,212,Wandsworth,,,440,110,z
200910,Academic year,Local authority,E92000001,England,E12000007,London,E09000033,213,Westminster,,,410,80,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,,,3310,770,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,,,690,160,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,,,1420,350,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,,,670,100,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,,,1020,220,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,,,1650,450,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,,,1550,420,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,,,2230,530,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,,,970,240,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,,,1260,350,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,,,1270,290,z
200910,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,,,2480,660,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E06000008,889,Blackburn with Darwen,,,950,200,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E06000009,890,Blackpool,,,1300,280,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,350,Bolton,,,1770,340,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,,,1250,260,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E06000049,895,Cheshire East,,,1860,450,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,896,Cheshire West and Chester,,,1790,430,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E10000006,909,Cumbria,,,3350,570,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E06000006,876,Halton,,,1070,270,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000011,340,Knowsley,,,1430,400,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,888,Lancashire,,,7460,1420,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000012,341,Liverpool,,,3470,990,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000003,352,Manchester,,,2580,710,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,,,1440,340,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,,,1420,350,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000006,355,Salford,,,1660,430,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,,,1970,530,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000013,342,St. Helens,,,1260,310,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000007,356,Stockport,,,1940,520,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,357,Tameside,,,1670,410,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,358,Trafford,,,980,290,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,877,Warrington,,,1890,610,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,359,Wigan,,,2550,600,z
200910,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,344,Wirral,,,2210,520,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000036,867,Bracknell Forest,,,520,100,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E06000043,846,Brighton and Hove,,,830,220,z
200910,Academic year,Local authority,E92000001,England,E12000008,South East,E10000002,825,Buckinghamshire,,,2030,430,z
