quote_date,description,item_id,price,item_name
2013-02-01,BANANAS-PER KG,212719,1.0547369,Bananas
2013-02-01,BREAKFAST CEREAL 1,210213,2.1869657,Cereal
2013-02-01,BUTTER 250G SPEC COO,211306,1.4917622,Butter
2013-02-01,CHOCOLATE 4,212211,0.6256115,Chocolate
2013-02-01,FRESH BONELESS CHICKEN BREAST,210910,9.524565,Chicken
2013-02-01,FRESH WHITE FISH FILLETS KG,211101,13.419772,Fish
2013-02-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.2820168,Milk
2013-02-01,WHITE SLICED LOAF BRANDED 750G,210111,1.2521678,Bread
2013-03-01,BANANAS-PER KG,212719,1.0490873,Bananas
2013-03-01,BREAKFAST CEREAL 1,210213,2.2457829,Cereal
2013-03-01,BUTTER 250G SPEC COO,211306,1.494764,Butter
2013-03-01,CHOCOLATE 4,212211,0.6288811,Chocolate
2013-03-01,FRESH BONELESS CHICKEN BREAST,210910,9.374692,Chicken
2013-03-01,FRESH WHITE FISH FILLETS KG,211101,13.170196,Fish
2013-03-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.2751653,Milk
2013-03-01,WHITE SLICED LOAF BRANDED 750G,210111,1.25,Bread
2013-04-01,BANANAS-PER KG,212719,1.0251778,Bananas
2013-04-01,BREAKFAST CEREAL 1,210213,2.2827778,Cereal
2013-04-01,BUTTER 250G SPEC COO,211306,1.481519,Butter
2013-04-01,CHOCOLATE 4,212211,0.6312329,Chocolate
2013-04-01,FRESH BONELESS CHICKEN BREAST,210910,9.357156,Chicken
2013-04-01,FRESH WHITE FISH FILLETS KG,211101,13.483429,Fish
2013-04-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.2795851,Milk
2013-04-01,WHITE SLICED LOAF BRANDED 750G,210111,1.2523448,Bread
2013-05-01,BANANAS-PER KG,212719,1.0366154,Bananas
2013-05-01,BREAKFAST CEREAL 1,210213,2.2744682,Cereal
2013-05-01,BUTTER 250G SPEC COO,211306,1.46453,Butter
2013-05-01,CHOCOLATE 4,212211,0.6334931,Chocolate
2013-05-01,FRESH BONELESS CHICKEN BREAST,210910,9.365506,Chicken
2013-05-01,FRESH WHITE FISH FILLETS KG,211101,13.415149,Fish
