year,psurp,gdp,debt_mn,pb,debt,debt_lag,war
1900,-39,1875.0308016564463,705.7,-2.079965831257091,37.636715054311004,,0
1901,-50,1890.3612735314775,768.4,-2.64499705427167,40.64831473004702,37.636715054311004,0
1902,-24,1897.990764488277,798.3,-1.2644950886507982,42.060267886247175,40.64831473004702,0
1903,11,1870.4825283560929,794.5,0.5880835470656627,42.47567074033354,42.060267886247175,0
1904,21,1874.0814663077674,796.7,1.1205489397092898,42.51149239363768,42.47567074033354,0
1905,30,1944.1067576006249,789.0,1.543125133571644,40.58419101293424,42.51149239363768,0
1906,38,2021.5760441177797,779.2,1.8797215227480242,38.54418448750686,40.58419101293424,0
1907,45,2094.482593651484,762.3,2.1485019802216545,36.39562354495482,38.54418448750686,0
1908,40,1992.9538825152133,754.1,2.007071029135801,37.83830657678269,36.39562354495482,0
1909,32,2035.1131649329525,762.5,1.5723941327387685,37.467203944165966,37.83830657678269,0
1910,46,2121.9403712870576,733.1,2.1678271747145663,34.54856743007062,37.467203944165966,0
1911,48,2208.451963687483,718.4,2.173468148243249,32.52957328537396,34.54856743007062,0
1912,55,2303.628321916374,711.3,2.3875379320847148,30.877376928942862,32.52957328537396,0
1913,54,2404.537405615234,706.2,2.245754209266849,29.369474492300903,30.877376928942862,0
1914,-71,2433.8526630026568,1162.0,-2.917185624227842,47.74323514581341,29.369474492300903,1
1915,-699,2916.456549134013,2189.8,-23.967440907273414,75.08426623569002,47.74323514581341,1
1916,-801,3381.059674599332,4063.6,-23.69079747446106,120.1871718067665,75.08426623569002,1
1917,-955,4184.401064090434,5921.1,-22.822860078963032,141.5041223178513,120.1871718067665,1
1918,-1019,4968.2375881661565,7481.1,-20.51029126358924,150.5785475682409,141.5041223178513,1
1919,-79,5337.207075056073,7875.6,-1.480174909630427,147.5603230162708,150.5785475682409,0
1920,364,5842.72298267445,7623.1,6.229971899735396,130.47169996943103,147.5603230162708,0
1921,262,4799.506652627547,7720.5,5.458894402335393,160.8602833329405,130.47169996943103,0
1922,342,4361.473437350434,7812.6,7.841386744929086,179.127538255652,160.8602833329405,0
1923,391,4162.624389776968,7707.5,9.39311269496861,185.15963196028275,179.127538255652,0
1924,336,4271.644204077724,7665.9,7.865823648871633,179.46017116037214,185.15963196028275,0
1925,300,4410.6062027376265,7633.7,6.801786108535206,173.07598205575064,179.46017116037214,0
1926,268,4255.178998755622,7652.7,6.298207433303594,179.84437322702388,173.07598205575064,0
1927,318,4500.028046329088,7631.0,7.066622623816967,169.5767208878845,179.84437322702388,0
1928,351,4500.230401072076,7620.9,7.79960065858811,169.34466284625108,169.5767208878845,0
1929,331,4590.65492485881,7596.2,7.21030017324119,165.47094312983302,169.34466284625108,0
1930,288,4515.478797740977,7582.9,6.378061173581013,167.93125025398425,165.47094312983302,0
1931,236,4223.786062984587,7648.0,5.5874042027886,181.06977687681024,167.93125025398425,0
1932,310,4132.59280176127,7859.7,7.501343947264321,190.18810652359156,181.06977687681024,0
1933,316,4206.436488944193,8030.4,7.512296948510813,190.90743485861148,190.18810652359156,0
1934,305,4420.603522542355,7902.4,6.899510404963663,178.76292139077,190.90743485861148,0
1935,268,4618.915095242652,7901.6,5.802228325782222,171.0704751455254,178.76292139077,0
1936,243,4880.576241983343,7909.9,4.978920273997215,162.06897726457024,171.0704751455254,0
1937,206,5219.979898535463,8149.0,3.946375350177041,156.11171227472187,162.06897726457024,0
1938,87,5383.652818991096,8301.1,1.6160031659750287,154.1908492077622,156.11171227472187,0
1939,-198,5791.478319134677,9083.2,-3.4188162173692436,156.83733063438544,154.1908492077622,1
1940,-1544,7029.795826553074,11552.7,-21.963653541230528,164.33905457627844,156.83733063438544,1
1941,-1967,8470.321049105003,14226.3,-23.222260273214065,167.95467276300215,164.33905457627844,1
1942,-2024,9280.885325930885,17006.1,-21.808264286435303,183.23790675965782,167.95467276300215,1
1943,-1966,9878.094668325832,19742.9,-19.90262359302944,199.86546659960374,183.23790675965782,1
1944,-1879,9963.70709294534,22541.3,-18.8584427710686,226.23406920462406,199.86546659960374,1
1945,-1231,9696.727960179955,23773.9,-12.69500397510538,245.17445573010383,226.23406920462406,1
1946,-77,9756.250981142912,25770.6,-0.7892375887913015,264.14449617798846,245.17445573010383,0
1947,418,10544.029386426726,25772.7,3.9643288602561104,244.42932635579587,264.14449617798846,0
1948,1084,11581.0,25331.8,9.360158880925654,218.73586046110006,244.42932635579587,0
1949,1214,12343.0,25899.8,9.835534310945475,209.83391395932918,218.73586046110006,0
1950,1234,12920.0,25921.6,9.551083591331269,200.6315789473684,209.83391395932918,0
1951,790,14508.0,25891.0,5.445271574303832,178.46015991177282,200.6315789473684,0
1952,493,15759.0,26051.0,3.128371089536138,165.30871248175646,178.46015991177282,0
1953,276,16903.0,26583.0,1.6328462403123707,157.26794060225996,165.30871248175646,0
1954,545,17833.0,26934.0,3.0561318903157066,151.03459877754725,157.26794060225996,0
1955,959,19388.0,27039.0,4.9463585723127705,139.46255415721066,151.03459877754725,0
1956,754,21052.0,27008.0,3.5816074482234463,128.29184875546267,139.46255415721066,0
1957,900,22323.0,27232.0,4.0317161671818305,121.99077184966178,128.29184875546267,0
1958,1077,23452.0,27376.0,4.592358860651544,116.73204843936551,121.99077184966178,0
1959,561,24597.0,27733.0,2.2807659470667154,112.74952229946742,116.73204843936551,0
1960,513,26412.0,28252.0,1.9422989550204453,106.96653036498563,112.74952229946742,0
1961,572,28069.0,28674.0,2.037835334354626,102.15540275749046,106.96653036498563,0
1962,789,29374.0,29848.0,2.6860488867706134,101.61367195478994,102.15540275749046,0
1963,758,31229.0,30226.0,2.4272310992987287,96.78824169842134,101.61367195478994,0
1964,717,34127.0,30441.0,2.1009757669880154,89.19916781434056,96.78824169842134,0
1965,812,36906.0,31341.0,2.200184251883163,84.92115103235245,89.19916781434056,0
1966,901,39423.0,31986.0,2.2854678740836567,81.13537782512746,84.92115103235245,0
1967,451,41728.0,34194.0,1.0808090490797546,81.94497699386503,81.13537782512746,0
1968,1222,45809.0,33984.0,2.6675980702482045,74.18629526948854,81.94497699386503,0
1969,2740,49682.0,33079.0,5.515075882613421,66.58145807334648,74.18629526948854,0
1970,3033,55916.0,33442.0,5.424207740181701,59.807568495600535,66.58145807334648,0
1971,2125,62640.0,35840.0,3.3924010217113665,57.21583652618135,59.807568495600535,0
1972,1068,70305.0,36885.0,1.5190953701728185,52.4642628547045,57.21583652618135,0
1973,347,81467.0,40125.0,0.4259393374004198,49.25307179594191,52.4642628547045,0
1974,-179,92227.0,52098.0,-0.19408633046721677,56.48888069654223,49.25307179594191,0
1975,-2272,114541.0,64739.0,-1.983569202294375,56.520372617665295,56.48888069654223,0
1976,-1581,136172.0,73575.0,-1.1610316364597715,54.030931469024466,56.520372617665295,0
1977,1497,158786.0,79541.0,0.9427783305833008,50.09320720970363,54.030931469024466,0
1978,-174,184891.0,88605.0,-0.09410950235544185,47.92283020806854,50.09320720970363,0
1979,427,219559.0,98192.0,0.19448075460354622,44.722375306865125,47.92283020806854,0
1980,1931,258411.0,113835.0,0.7472592111016946,44.05191729454241,44.722375306865125,0
1981,5382,287850.0,125199.0,1.8697238144867119,43.494528400208445,44.05191729454241,0
1982,8181,316698.0,132546.0,2.583218081579296,41.852490385161886,43.494528400208445,0
1983,5414,348283.0,143604.0,1.5544829922792671,41.231986631561114,41.852490385161886,0
