economy,maths,maths_se,reading,reading_se,science,science_se,flagged,code
Albania,432.81719000000004,2.89515,407.64096,2.56977,434.62710000000004,2.7101200000000003,True,
Argentina,366.8142,2.66346,388.70426000000003,2.69153,392.93391,2.9888000000000003,False,
Armenia,375.79968,1.9513600000000002,348.28569000000005,1.50259,368.63314,1.7763300000000002,False,
Australia,477.52665,1.9151600000000002,490.86328000000003,1.8518400000000002,509.10633,1.88528,False,
Austria,477.19387000000006,2.5758,467.21167,2.55479,496.91267000000005,2.7242400000000004,False,
Azerbaijan,422.39533000000006,3.9786900000000003,373.57061000000004,2.83651,408.56354000000005,3.2037700000000005,False,
B-S-J-Z (China),612.42966,2.5464700000000002,526.5182500000001,1.9851,597.0437900000001,2.15606,False,CHN (B-S-J-Z)
Belgium,479.68612,2.8086,466.32805,3.03581,489.70971000000003,2.8550500000000003,False,
Brazil,376.76794,1.74801,408.00829000000004,2.0144900000000003,408.54046000000005,1.93317,False,
Brunei Darussalam,435.18273000000005,0.8529300000000001,425.68088000000006,0.9199600000000001,439.45387000000005,0.8198900000000001,False,
Bulgaria,405.07756,4.034000000000001,386.64479000000006,3.9460900000000003,420.79373000000004,4.053330000000001,False,
Cambodia,365.84172,1.6686800000000002,347.22631,1.50048,381.93511,1.6906200000000002,False,
Canada,485.33767000000006,1.9128500000000002,489.82555,1.7807600000000001,510.05482000000006,1.78909,True,CAN
Chile,402.64522000000005,2.1761000000000004,435.65582000000006,2.75951,442.36060000000003,2.49519,False,
Chinese Taipei,546.18912,3.1154400000000004,507.78799000000004,2.94505,539.7016900000001,3.00803,False,
Colombia,380.52867000000003,2.78141,399.26735,3.3084100000000003,413.73094000000003,3.29367,False,
Costa Rica,387.09124,2.25097,416.0353,2.75558,423.96958,2.5696600000000003,False,
Croatia,455.29170000000005,1.8155000000000001,453.38734000000005,1.7813,476.30089000000004,1.7672100000000002,False,
Cyprus,411.78134000000006,1.3748300000000002,379.42867,1.2793700000000001,411.18474000000003,1.4657900000000001,False,
Czechia,477.14804000000004,2.59863,468.35668000000004,2.67601,490.27834,2.58609,False,
Denmark,470.62750000000005,2.10883,460.00949,2.3729600000000004,477.54101,2.3902900000000002,False,DNK
Dominican Republic,338.82949,1.69283,345.54215000000005,2.51011,360.8466,2.32246,False,
Dushanbe (Tajikistan),382.13727000000006,0.97906,368.08382,1.16148,333.76479,1.4187400000000001,False,
Ecuador,365.83936000000006,1.72171,384.99799,2.2962800000000003,393.42125000000004,2.1619,False,
El Salvador,346.24980000000005,1.80156,366.43167000000005,2.28304,384.6732,2.17614,False,
Estonia,507.89573,2.2875300000000003,499.24425,2.5338800000000004,527.11708,2.33436,False,EST
Finland,468.69454,2.2006900000000003,474.29731000000004,2.12025,504.37245,2.26064,False,
France,457.65501000000006,2.9950900000000003,456.33453000000003,3.2442300000000004,483.42120000000006,3.2059400000000005,False,FRA
Georgia,416.3627,2.93751,384.17862,2.48478,422.11866000000003,2.6520300000000003,False,
Germany,463.80565,3.0461600000000004,465.28206000000006,3.5622100000000003,485.52144000000004,3.5211200000000002,False,DEU
Greece,423.85217000000006,2.92445,422.66261000000003,3.1906600000000003,434.28491,2.9383800000000004,False,
Guatemala,334.30248,1.9333700000000003,337.08081000000004,2.4980800000000003,351.23403,2.5258900000000004,False,
Hong Kong (China),521.7077700000001,2.9099700000000004,480.12066000000004,3.1986800000000004,495.62666,3.0470200000000003,False,
Hungary,459.48854000000006,2.5084000000000004,452.30629000000005,2.33754,479.91184000000004,2.4439800000000003,False,
Iceland,449.73034,1.46788,422.28514,1.6164100000000001,441.38044,1.64969,False,
Indonesia,363.90169000000003,2.1007900000000004,365.20527000000004,2.45276,388.67379000000005,2.3186500000000003,False,
Ireland,479.8747,1.8344300000000002,500.44715,2.03452,499.59669,2.1706800000000004,False,
Israel,433.37492000000003,3.10413,435.83778,3.5238500000000004,442.00883000000005,3.3512800000000005,False,
Italy,467.76261000000005,2.84566,474.28961000000004,2.5982800000000004,482.98206000000005,2.4788200000000002,False,ITA
Japan,525.3758,4.204070000000001,502.71450000000004,3.7778300000000002,537.5862400000001,3.8059200000000004,False,JPN
Jordan,387.5613,2.19124,362.59825,2.08839,406.93542,2.4789000000000003,False,
Kazakhstan,413.71493000000004,1.7477600000000002,384.79808,1.51879,419.54755000000006,1.59427,False,
Kenya,325.93541000000005,2.6947900000000002,320.21398000000005,2.65314,334.94936,2.92172,False,
Korea,522.2978400000001,3.95806,500.56065000000007,3.44578,526.10531,3.3696400000000004,False,KOR
Kosovo,350.43948,1.32854,340.46438,1.2916200000000002,357.01476,1.2990400000000002,False,
