series,cycle,score
UK,2006,514.77355
UK,2009,513.71024
UK,2012,514.12932
UK,2015,509.22150000000005
UK,2018,504.66747000000004
UK,2022,499.67021000000005
UK,2025,511.35575000000006
OECD average,2006,502.74367000000007
OECD average,2009,505.74124000000006
OECD average,2012,504.73098000000005
OECD average,2015,496.9809
OECD average,2018,493.46277000000003
OECD average,2022,490.86388000000005
OECD average,2025,485.93596
