Year,20_year_avg,peak_blossom
853,101 days 00:00:00,104 days
864,100 days 20:00:00.230400,100 days
866,101 days 13:42:51.552000,106 days
869,100 days 18:00:00,95 days
889,101 days 02:40:00.336000,104 days
891,101 days 21:36:00,109 days
892,102 days 10:54:32.601600,108 days
894,102 days 18:00:00,106 days
895,102 days 20:18:27.360000,104 days
896,102 days 22:17:08.448000,104 days
902,102 days 20:48:00.288000,102 days
908,102 days 13:30:00,98 days
912,102 days 02:49:24.528000,95 days
913,102 days 13:20:00.384000,110 days
917,102 days 03:47:22.560000,95 days
923,102 days 06:00:00,104 days
926,102 days 13:12:00,98 days
930,102 days 03:36:00,97 days
933,102 days 15:36:00,106 days
941,102 days 16:48:00,109 days
949,102 days 20:24:00,107 days
950,102 days 14:24:00,95 days
955,101 days 18:00:00,89 days
957,102 days 14:24:00,112 days
958,102 days 20:24:00,109 days
959,102 days 06:00:00,97 days
960,101 days 21:36:00,101 days
961,100 days 22:48:00,87 days
963,100 days 10:48:00,94 days
965,100 days 10:48:00,104 days
966,100 days 06:00:00,98 days
967,100 days 12:00:00,103 days
969,100 days 15:36:00,98 days
972,100 days 12:00:00,107 days
974,101 days 03:36:00,108 days
975,101 days 00:00:00,101 days
977,101 days 16:48:00,112 days
979,102 days 01:12:00,104 days
985,101 days 10:48:00,94 days
989,101 days 00:00:00,100 days
991,100 days 20:24:00,104 days
1000,101 days 08:24:00,105 days
1004,102 days 18:00:00,117 days
1006,102 days 03:36:00,100 days
1007,102 days 00:00:00,106 days
1014,102 days 21:36:00,115 days
1016,103 days 09:36:00,111 days
1017,104 days 00:00:00,99 days
1018,104 days 22:48:00,113 days
1019,104 days 15:36:00,98 days
1029,105 days 13:12:00,116 days
1031,105 days 06:00:00,97 days
1032,105 days 21:36:00,111 days
1033,105 days 15:36:00,102 days
1034,105 days 01:12:00,96 days
1036,105 days 04:48:00,104 days
1041,104 days 18:00:00,103 days
1046,104 days 16:48:00,103 days
1048,105 days 14:24:00,112 days
1050,105 days 20:24:00,105 days
1060,106 days 01:12:00,108 days
1061,105 days 09:36:00,92 days
1066,104 days 19:12:00,105 days
1071,105 days 10:48:00,113 days
1073,105 days 07:12:00,103 days
1080,104 days 15:36:00,102 days
1083,103 days 21:36:00,96 days
1084,104 days 22:48:00,120 days
1088,104 days 12:00:00,104 days
1090,104 days 20:24:00,105 days
1093,104 days 07:12:00,105 days
1095,104 days 10:48:00,100 days
1096,103 days 16:48:00,96 days
1098,103 days 14:24:00,100 days
1099,103 days 22:48:00,103 days
1102,103 days 22:48:00,104 days
1104,104 days 04:48:00,108 days
1105,104 days 18:00:00,114 days
1107,104 days 09:36:00,105 days
1111,104 days 19:12:00,113 days
1112,104 days 14:24:00,104 days
1114,105 days 00:00:00,100 days
1117,105 days 04:48:00,109 days
1118,104 days 15:36:00,102 days
1120,104 days 16:48:00,104 days
1123,105 days 04:48:00,112 days
1124,105 days 07:12:00,98 days
1125,104 days 20:24:00,111 days
1126,105 days 01:12:00,108 days
1127,105 days 03:36:00,107 days
1128,105 days 10:48:00,111 days
1129,105 days 18:00:00,106 days
1130,106 days 02:24:00,103 days
1131,106 days 06:00:00,103 days
1134,106 days 09:36:00,106 days
1139,106 days 20:24:00,113 days
1140,106 days 14:24:00,103 days
1141,106 days 10:48:00,111 days
1143,106 days 16:48:00,110 days
1145,106 days 09:36:00,107 days
1151,106 days 15:36:00,109 days
1154,106 days 10:48:00,96 days
1156,105 days 12:00:00,90 days
1159,105 days 13:12:00,103 days
1161,105 days 22:48:00,112 days
1163,105 days 22:48:00,112 days
1164,106 days 01:12:00,100 days
1165,105 days 19:12:00,106 days
1166,105 days 03:36:00,95 days
1167,105 days 08:24:00,111 days
1169,105 days 09:36:00,112 days
1170,105 days 18:00:00,113 days
1172,105 days 18:00:00,103 days
1173,106 days 10:48:00,117 days
1174,106 days 18:00:00,112 days
1175,106 days 18:00:00,113 days
1176,107 days 06:00:00,113 days
1179,106 days 20:24:00,103 days
1180,106 days 06:00:00,98 days
1182,106 days 02:24:00,104 days
1183,105 days 16:48:00,101 days
1184,106 days 15:36:00,115 days
1185,107 days 21:36:00,115 days
1187,107 days 22:48:00,104 days
1188,107 days 16:48:00,107 days
1190,107 days 16:48:00,112 days
1191,108 days 00:00:00,106 days
1194,108 days 15:36:00,119 days
1199,109 days 08:24:00,109 days
1200,109 days 00:00:00,104 days
1201,108 days 04:48:00,96 days
1202,107 days 20:24:00,106 days
1203,107 days 22:48:00,105 days
1204,107 days 14:24:00,110 days
1205,107 days 06:00:00,105 days
1207,106 days 19:12:00,104 days
1210,106 days 18:00:00,112 days
1212,106 days 12:00:00,98 days
1213,106 days 22:48:00,107 days
1214,106 days 20:24:00,102 days
1215,107 days 04:48:00,108 days
1216,106 days 12:00:00,101 days
1219,105 days 19:12:00,101 days
1220,106 days 01:12:00,109 days
1221,105 days 15:36:00,99 days
1223,105 days 20:24:00,116 days
1225,105 days 19:12:00,105 days
1226,105 days 03:36:00,106 days
1227,105 days 06:00:00,111 days
1229,104 days 21:36:00,97 days
1230,105 days 04:48:00,102 days
1231,104 days 22:48:00,101 days
1232,104 days 07:12:00,92 days
1233,104 days 01:12:00,105 days
1235,104 days 07:12:00,110 days
1236,103 days 10:48:00,87 days
1240,103 days 03:36:00,106 days
1244,103 days 15:36:00,108 days
1245,103 days 16:48:00,108 days
1246,103 days 12:00:00,98 days
1247,103 days 09:36:00,106 days
1249,103 days 18:00:00,108 days
1250,104 days 12:00:00,116 days
1251,104 days 01:12:00,100 days
1254,104 days 14:24:00,110 days
1257,103 days 12:00:00,94 days
1259,103 days 01:12:00,96 days
1262,102 days 14:24:00,97 days
1263,103 days 01:12:00,120 days
1264,103 days 08:24:00,103 days
1265,103 days 03:36:00,98 days
1267,103 days 08:24:00,105 days
1268,103 days 21:36:00,103 days
1269,103 days 15:36:00,100 days
1271,103 days 03:36:00,100 days
1275,104 days 03:36:00,107 days
1278,104 days 12:00:00,113 days
1279,104 days 03:36:00,101 days
1280,103 days 20:24:00,102 days
1283,104 days 02:24:00,103 days
1284,103 days 21:36:00,102 days
1285,103 days 18:00:00,105 days
1286,103 days 13:12:00,112 days
1287,104 days 01:12:00,110 days
1288,103 days 22:48:00,108 days
1289,104 days 14:24:00,107 days
1292,105 days 03:36:00,107 days
1294,105 days 08:24:00,101 days
1295,104 days 10:48:00,102 days
1301,104 days 01:12:00,95 days
1302,103 days 22:48:00,96 days
1307,103 days 21:36:00,104 days
1311,103 days 10:48:00,94 days
1312,103 days 10:48:00,100 days
1314,103 days 12:00:00,101 days
1315,103 days 16:48:00,111 days
1316,103 days 04:48:00,103 days
1317,103 days 06:00:00,102 days
1319,103 days 22:48:00,116 days
1321,103 days 21:36:00,102 days
1322,104 days 02:24:00,106 days
1323,105 days 01:12:00,124 days
1324,104 days 08:24:00,98 days
1326,104 days 04:48:00,107 days
1329,104 days 09:36:00,112 days
1330,104 days 10:48:00,108 days
1331,104 days 16:48:00,112 days
1332,105 days 09:36:00,115 days
1342,105 days 19:12:00,110 days
1344,106 days 03:36:00,102 days
1346,106 days 16:48:00,107 days
1347,106 days 22:48:00,109 days
1349,107 days 20:24:00,112 days
1350,107 days 21:36:00,101 days
1351,108 days 14:24:00,115 days
1356,108 days 21:36:00,117 days
1357,109 days 02:24:00,107 days
1358,109 days 12:00:00,110 days
1359,108 days 22:48:00,105 days
1360,108 days 21:36:00,101 days
1361,109 days 00:00:00,108 days
1363,108 days 03:36:00,107 days
1364,108 days 18:00:00,110 days
1366,109 days 00:00:00,112 days
1367,108 days 06:00:00,97 days
1368,107 days 06:00:00,88 days
1369,106 days 08:24:00,94 days
1370,106 days 01:12:00,109 days
1372,105 days 15:36:00,102 days
1373,106 days 01:12:00,110 days
1375,105 days 20:24:00,103 days
1376,105 days 08:24:00,99 days
1377,105 days 00:00:00,105 days
1378,105 days 03:36:00,104 days
1379,104 days 13:12:00,103 days
1380,103 days 19:12:00,102 days
1381,103 days 20:24:00,108 days
1382,103 days 14:24:00,105 days
1383,103 days 10:48:00,102 days
1384,103 days 07:12:00,98 days
1385,102 days 20:24:00,99 days
1386,102 days 18:00:00,105 days
1387,102 days 06:00:00,100 days
1388,101 days 14:24:00,99 days
1398,102 days 01:12:00,106 days
1401,102 days 16:48:00,101 days
1402,103 days 03:36:00,103 days
1403,102 days 21:36:00,104 days
1406,102 days 21:36:00,102 days
1407,102 days 10:48:00,101 days
1408,102 days 20:24:00,111 days
1409,102 days 04:48:00,86 days
1410,102 days 01:12:00,102 days
1412,101 days 12:00:00,93 days
1413,100 days 21:36:00,91 days
1415,101 days 01:12:00,105 days
1416,100 days 16:48:00,101 days
1417,100 days 21:36:00,109 days
1418,100 days 16:48:00,98 days
1419,100 days 19:12:00,100 days
1420,101 days 10:48:00,112 days
1421,101 days 03:36:00,99 days
1422,101 days 14:24:00,109 days
1423,101 days 10:48:00,96 days
1424,101 days 07:12:00,103 days
1425,101 days 03:36:00,98 days
1426,100 days 22:48:00,99 days
1427,100 days 20:24:00,102 days
1429,100 days 15:36:00,98 days
1430,101 days 00:00:00,108 days
1431,100 days 13:12:00,102 days
1432,101 days 10:48:00,104 days
1433,101 days 06:00:00,98 days
1434,102 days 06:00:00,113 days
1435,102 days 10:48:00,95 days
1436,102 days 06:00:00,101 days
1437,102 days 08:24:00,103 days
1438,101 days 20:24:00,99 days
1439,102 days 00:00:00,101 days
1440,101 days 21:36:00,98 days
1441,101 days 13:12:00,105 days
1443,101 days 22:48:00,107 days
1444,101 days 22:48:00,109 days
1446,102 days 13:12:00,108 days
1447,102 days 22:48:00,111 days
1448,102 days 20:24:00,96 days
1449,102 days 15:36:00,95 days
1450,102 days 13:12:00,100 days
1451,102 days 19:12:00,103 days
1452,102 days 00:00:00,92 days
1453,102 days 06:00:00,107 days
1454,102 days 07:12:00,105 days
1455,102 days 04:48:00,96 days
1456,101 days 20:24:00,106 days
1457,102 days 08:24:00,105 days
1458,102 days 21:36:00,112 days
1459,103 days 09:36:00,113 days
1460,104 days 00:00:00,111 days
1461,104 days 06:00:00,106 days
1462,104 days 15:36:00,106 days
1463,104 days 10:48:00,101 days
1464,104 days 07:12:00,104 days
1465,103 days 18:00:00,98 days
1466,103 days 14:24:00,105 days
1467,103 days 02:24:00,101 days
1468,103 days 08:24:00,101 days
1472,104 days 07:12:00,114 days
1474,104 days 04:48:00,98 days
1476,104 days 01:12:00,100 days
1477,104 days 22:48:00,110 days
1478,105 days 08:24:00,115 days
1479,105 days 14:24:00,110 days
1480,106 days 00:00:00,104 days
1481,106 days 00:00:00,106 days
1482,106 days 03:36:00,108 days
1483,105 days 14:24:00,101 days
1484,104 days 19:12:00,97 days
1485,103 days 22:48:00,94 days
1486,103 days 14:24:00,99 days
1487,102 days 22:48:00,93 days
1488,103 days 01:12:00,103 days
1489,102 days 20:24:00,100 days
1490,102 days 19:12:00,97 days
1491,102 days 21:36:00,107 days
1492,103 days 06:00:00,108 days
1493,103 days 04:48:00,100 days
1494,102 days 19:12:00,106 days
1495,102 days 14:24:00,94 days
