noc,medal_ratio,country
BER,0.5,Bermuda
SMR,0.428571429,San Marino
CHN,0.252173913,China
FIJ,0.25,Fiji
GEO,0.242424242,Georgia
USA,0.222664016,United States
ARM,0.210526316,Armenia
CUB,0.208333333,Cuba
GBR,0.203125,Great Britain
KEN,0.196078431,Kenya
