abbrv,discipline,event,event_id,year,competitor,medal,noc,position
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,BRENDEL Sebastian,,GER,10
VOL,Volleyball,"Volleyball, Women",manual_69,2020,Japan,,JPN,10
CTR,Cycling Track,Men's Sprint,manual_43,2020,AWANG Mohd Azizulhasni,,MAS,10
CTR,Cycling Track,Women's Omnium,manual_46,2020,EDMONDSTON Holly,,NZL,10
CTR,Cycling Track,Women's Keirin,manual_44,2020,SHMELEVA Daria,,ROC,10
WRE,Wrestling,Women's Freestyle 50kg,manual_59,2020,ORSHUSH Stalvira,,ROC,10
WRE,Wrestling,Women's Freestyle 53kg,manual_60,2020,KHOROSHAVTSEVA Olga,,ROC,10
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Alexander Lifanov,,ROC,10
BAS,Basketball,"Basketball, Women",manual_63,2020,South Korea,,KOR,10
CAN,Canoe Sprint,Women's Kayak Four 500m,manual_40,2020,UKR,,UKR,10
WRE,Wrestling,Men's Freestyle 74kg,manual_57,2020,MYKHAILOV Vasyl,,UKR,10
VOL,Volleyball,"Volleyball, Men",manual_68,2020,United States,,USA,10
WRE,Wrestling,Men's Freestyle 65kg,manual_56,2020,DESTRIBATS Agustin Alejandro,,ARG,11
VOL,Volleyball,"Volleyball, Women",manual_69,2020,Argentina,,ARG,11
HAN,Handball,"Handball, Women",manual_65,2020,Brazil,,BRA,11
CAN,Canoe Sprint,Women's Kayak Four 500m,manual_40,2020,CAN,,CAN,11
FTB,Football,"Football, Women",manual_73,2020,Chile,,CHI,11
CTR,Cycling Track,Women's Omnium,manual_46,2020,LIU Jiali,,CHN,11
CTR,Cycling Track,Men's Keirin,manual_41,2020,QUINTERO CHAVARRO Kevin Santiago,,COL,11
KTE,Karate,Men's Kata,manual_52,2020,SHUEB Wael,,EOR,11
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Valentin Belaud,,FRA,11
WRE,Wrestling,Men's Freestyle 74kg,manual_57,2020,MIDANA Augusto,,GBS,11
WRE,Wrestling,Women's Freestyle 53kg,manual_60,2020,PREVOLARAKI Maria,,GRE,11
HAN,Handball,"Handball, Men",manual_64,2020,Japan,,JPN,11
CAN,Canoe Sprint,Men's Kayak Four 500m,manual_38,2020,JPN,,JPN,11
WRE,Wrestling,Women's Freestyle 50kg,manual_59,2020,ISLAMOVA Valentina Ivanovna,,KAZ,11
CTR,Cycling Track,Women's Keirin,manual_44,2020,GAXIOLA GONZALEZ Luz Daniela,,MEX,11
BAS,Basketball,"Basketball, Women",manual_63,2020,Nigeria,,NGR,11
CTR,Cycling Track,Men's Sprint,manual_43,2020,WEBSTER Sam,,NZL,11
CTR,Cycling Track,Women's Sprint,manual_47,2020,ANDREWS Ellesse,,NZL,11
WRE,Wrestling,Men's Freestyle 125kg,manual_55,2020,KOZYREV Sergei,,ROC,11
FTB,Football,"Football, Men",manual_72,2020,Romania,,ROU,11
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,CHIRILA Catalin,,ROU,11
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Kim Se-hee,,KOR,11
VOL,Volleyball,"Volleyball, Men",manual_68,2020,Tunisia,,TUN,11
DIV,Diving,Men's 10m Platform,manual_48,2020,LOSCHIAVO Brandon,,USA,11
CLB,Sport Climbing,Women's Combined,manual_53,2020,CONDIE Kyra,,USA,11
CAN,Canoe Sprint,Women's Canoe Double 500m,manual_39,2020,UZB,,UZB,11
WRE,Wrestling,Men's Freestyle 97kg,manual_58,2020,IBRAGIMOV Magomed Idrisovitch,,UZB,11
HAN,Handball,"Handball, Men",manual_64,2020,Argentina,,ARG,12
CTR,Cycling Track,Women's Omnium,manual_46,2020,EDMONDSON Annette,,AUS,12
FTB,Football,"Football, Men",manual_72,2020,Australia,,AUS,12
WRE,Wrestling,Men's Freestyle 97kg,manual_58,2020,HUSHTYN Aliaksandr,,BLR,12
CTR,Cycling Track,Women's Keirin,manual_44,2020,ZHONG Tianshi,,CHN,12
CLB,Sport Climbing,Women's Combined,manual_53,2020,SONG Yiling,,CHN,12
WRE,Wrestling,Women's Freestyle 50kg,manual_59,2020,GUZMAN LOPEZ Yusneylis,,CUB,12
WRE,Wrestling,Men's Freestyle 74kg,manual_57,2020,KENTCHADZE Avtandil,,GEO,12
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Michelle Gulyás,,HUN,12
HAN,Handball,"Handball, Women",manual_65,2020,Japan,,JPN,12
CAN,Canoe Sprint,Women's Canoe Double 500m,manual_39,2020,KAZ,,KAZ,12
WRE,Wrestling,Men's Freestyle 125kg,manual_55,2020,BATIRMURZAEV Yusup,,KAZ,12
WRE,Wrestling,Women's Freestyle 53kg,manual_60,2020,AKHMETOVA Tatyana,,KAZ,12
VOL,Volleyball,"Volleyball, Women",manual_69,2020,Kenya,,KEN,12
WRE,Wrestling,Men's Freestyle 65kg,manual_56,2020,AKMATALIEV Ernazar,,KGZ,12
CTR,Cycling Track,Men's Sprint,manual_43,2020,SAHROM Muhammad Shah Firdaus,,MAS,12
DIV,Diving,Men's 10m Platform,manual_48,2020,VILLARREAL TUDON Andres Isaac,,MEX,12
FTB,Football,"Football, Women",manual_73,2020,New Zealand,,NZL,12
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Łukasz Gutkowski,,POL,12
BAS,Basketball,"Basketball, Women",manual_63,2020,Puerto Rico,,PUR,12
CAN,Canoe Sprint,Women's Kayak Four 500m,manual_40,2020,ROC,,ROC,12
CAN,Canoe Sprint,Women's Kayak Four 500m,manual_40,2020,ROC,,ROC,12
CTR,Cycling Track,Women's Sprint,manual_47,2020,VOINOVA Anastasiia,,ROC,12
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,ALTUKHOV Pavlo,,UKR,12
VOL,Volleyball,"Volleyball, Men",manual_68,2020,Venezuela,,VEN,12
CAN,Canoe Sprint,Women's Canoe Double 500m,manual_39,2020,AUS,,AUS,13
CTR,Cycling Track,Men's Keirin,manual_41,2020,RICHARDSON Matthew,,AUS,13
CTR,Cycling Track,Women's Sprint,manual_47,2020,McCULLOCH Kaarle,,AUS,13
DIV,Diving,Men's 10m Platform,manual_48,2020,ZSOMBOR-MURRAY Nathan,,CAN,13
WRE,Wrestling,Men's Freestyle 125kg,manual_55,2020,DHESI Amarveer,,CAN,13
CTR,Cycling Track,Women's Keirin,manual_44,2020,GROS Mathilde,,FRA,13
CLB,Sport Climbing,Women's Combined,manual_53,2020,CHANOURDIE Julia,,FRA,13
FTB,Football,"Football, Men",manual_72,2020,France,,FRA,13
CTR,Cycling Track,Women's Keirin,manual_44,2020,MARCHANT Katy,,GBR,13
CTR,Cycling Track,Men's Keirin,manual_41,2020,BOETTICHER Stefan,,GER,13
WRE,Wrestling,Women's Freestyle 50kg,manual_59,2020,SEEMA Seema,,IND,13
WRE,Wrestling,Men's Freestyle 97kg,manual_58,2020,MOHAMMADIAN Mohammadhossein,,IRI,13
CTR,Cycling Track,Women's Omnium,manual_46,2020,KAY Emily,,IRL,13
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Elena Potapenko,,KAZ,13
CTR,Cycling Track,Men's Keirin,manual_41,2020,SAUNDERS Callum,,NZL,13
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,GLAZUNOW Wiktor,,POL,13
WRE,Wrestling,Men's Freestyle 74kg,manual_57,2020,RYBICKI Kamil,,POL,13
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Sebastian Stasiak,,POL,13
CTR,Cycling Track,Men's Sprint,manual_43,2020,TJON EN FA Jair,,SUR,13
WRE,Wrestling,Women's Freestyle 53kg,manual_60,2020,MATTSSON Sofia Magdalena,,SWE,13
WRE,Wrestling,Men's Freestyle 65kg,manual_56,2020,DAKHLAOUI Haithem,,TUN,13
CTR,Cycling Track,Women's Keirin,manual_44,2020,GODBY Madalyn,,USA,13
WRE,Wrestling,Men's Freestyle 125kg,manual_55,2020,BERRAHAL Djahid,,ALG,14
WRE,Wrestling,Men's Freestyle 65kg,manual_56,2020,TEVANYAN Vazgen,,ARM,14
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,FITZPATRICK Connor,,CAN,14
CTR,Cycling Track,Men's Sprint,manual_43,2020,WAMMES Nick,,CAN,14
CLB,Sport Climbing,Women's Combined,manual_53,2020,YIP Alannah,,CAN,14
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Jo Muir,,GBR,14
WRE,Wrestling,Women's Freestyle 53kg,manual_60,2020,AQUINO Rckaela Maree Ramos,,GUM,14
FTB,Football,"Football, Men",manual_72,2020,Honduras,,HON,14
CTR,Cycling Track,Women's Omnium,manual_46,2020,BALSAMO Elisa,,ITA,14
CAN,Canoe Sprint,Women's Canoe Double 500m,manual_39,2020,JPN,,JPN,14
CTR,Cycling Track,Women's Sprint,manual_47,2020,KOBAYASHI Yuka,,JPN,14
WRE,Wrestling,Men's Freestyle 74kg,manual_57,2020,OTOGURO Keisuke,,JPN,14
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Pāvels Švecovs,,LAT,14
DIV,Diving,Men's 10m Platform,manual_48,2020,QUINTERO DIAZ Rafael,,PUR,14
WRE,Wrestling,Men's Freestyle 97kg,manual_58,2020,SARITOV Albert,,ROU,14
WRE,Wrestling,Women's Freestyle 50kg,manual_59,2020,VUC Emilia Alina,,ROU,14
CTR,Cycling Track,Women's Sprint,manual_47,2020,BAO Shanju,,CHN,15
WRE,Wrestling,Women's Freestyle 53kg,manual_60,2020,HERIN AVILA Laura,,CUB,15
CTR,Cycling Track,Men's Sprint,manual_43,2020,BOETTICHER Stefan,,GER,15
WRE,Wrestling,Men's Freestyle 65kg,manual_56,2020,PILIDIS Georgios,,GRE,15
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,ADOLF Balazs,,HUN,15
WRE,Wrestling,Men's Freestyle 74kg,manual_57,2020,HOSSEINKHANI Mostafa,,IRI,15
CLB,Sport Climbing,Women's Combined,manual_53,2020,ROGORA Laura,,ITA,15
DIV,Diving,Men's 10m Platform,manual_48,2020,KIM Yeongtaek,,KOR,15
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,KIM Hyojoo,,KOR,15
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Mayan Oliver,,MEX,15
WRE,Wrestling,Women's Freestyle 50kg,manual_59,2020,IDRIS Adijat Avorshai,,NGR,15
CTR,Cycling Track,Women's Omnium,manual_46,2020,NOVOLODSKAIA Mariia,,ROC,15
FTB,Football,"Football, Men",manual_72,2020,Saudi Arabia,,KSA,15
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,HSU Wei-Ling,,TPE,15
WRE,Wrestling,Men's Freestyle 97kg,manual_58,2020,SAADAOUI Mohamed,,TUN,15
WRE,Wrestling,Men's Freestyle 125kg,manual_55,2020,KHOTSIANIVSKYI Oleksandr,,UKR,15
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Pavlo Tymoshchenko,,UKR,15
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,KORDA Jessica,,USA,15
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Gustav Gustenau,,AUT,16
CTR,Cycling Track,Women's Omnium,manual_46,2020,SHARAKOVA Tatsiana,,BLR,16
CTR,Cycling Track,Women's Keirin,manual_44,2020,FRIEDRICH Lea Sophie,,GER,16
CTR,Cycling Track,Men's Keirin,manual_41,2020,NITTA Yudai,,JPN,16
CTR,Cycling Track,Women's Keirin,manual_44,2020,KOBAYASHI Yuka,,JPN,16
WRE,Wrestling,Men's Freestyle 125kg,manual_55,2020,LAZAREV Aiaal,,KGZ,16
DIV,Diving,Men's 10m Platform,manual_48,2020,WOO Haram,,KOR,16
CTR,Cycling Track,Men's Keirin,manual_41,2020,SAHROM Muhammad Shah Firdaus,,MAS,16
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Mariana Arceo,,MEX,16
CTR,Cycling Track,Men's Sprint,manual_43,2020,RAJKOWSKI Patryk,,POL,16
WRE,Wrestling,Men's Freestyle 74kg,manual_57,2020,GOMEZ MATOS Franklin,,PUR,16
CTR,Cycling Track,Men's Keirin,manual_41,2020,DMITRIEV Denis,,ROC,16
WRE,Wrestling,Women's Freestyle 53kg,manual_60,2020,ANA Andreea Beatrice,,ROU,16
WRE,Wrestling,Men's Freestyle 65kg,manual_56,2020,DIATTA Adama,,SEN,16
FTB,Football,"Football, Men",manual_72,2020,South Africa,,RSA,16
CLB,Sport Climbing,Women's Combined,manual_53,2020,KLINGLER Petra,,SUI,16
WRE,Wrestling,Women's Freestyle 50kg,manual_59,2020,DEMIRHAN Evin,,TUR,16
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,VANDIUK Yurii,,UKR,16
CTR,Cycling Track,Women's Sprint,manual_47,2020,GODBY Madalyn,,USA,16
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,BOUALAM Roumaysa,,ALG,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,RYAN Alston,,ANT,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,QUIROGA Ramon Nicanor,,ARG,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,SOGHOMONYAN Koryun,,ARM,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,WINWOOD Alex,,AUS,17
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Ilya Palazkov,,BLR,17
BOX,boxing,Men's Middle (69-75kg),manual_31,2020,BANDARENKA Vitali,,BLR,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,MAHOMMED Rajab Otukile,,BOT,17
BOX,boxing,Men's Super Heavy (+91kg),manual_32,2020,LATYPOV Danis,,BRN,17
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,BUJOLD Mandy,,CAN,17
BOX,boxing,Men's Middle (69-75kg),manual_31,2020,SEYI NTSENGUE Dieudonne Wilfred,,CMR,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,MBAYA MULUMBA Fiston,NA,COD,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,MARTE de la ROSA Rodrigo,,DOM,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,de los SANTOS NUNEZ Leonel,,DOM,17
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,HERNANDEZ GARCIA Miguelina,,DOM,17
BOX,boxing,Women's Light (57-60kg),manual_34,2020,PALACIOS ESPINOZA Maria Jose,,ECU,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,SALAMANA Wessam,,EOR,17
BOX,boxing,Men's Middle (69-75kg),manual_31,2020,SELLA RODRIGUEZ Eldric,,EOR,17
BOX,boxing,Women's Light (57-60kg),manual_34,2020,HAMADOUCHE Maiva,,FRA,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,ALAKHVERDOVI Sakhil,,GEO,17
BOX,boxing,Men's Middle (69-75kg),manual_31,2020,KHARABADZE Giorgi,,GEO,17
DIV,Diving,Men's 10m Platform,manual_48,2020,BARTHEL Timo,,GER,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,KAUSHIK Manish,,IND,17
BOX,boxing,Men's Middle (69-75kg),manual_31,2020,KUMAR Ashish,,IND,17
BOX,boxing,Men's Middle (69-75kg),manual_31,2020,MOUSAVI Seyedshahin,,IRI,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,IRVINE Brendan,,IRL,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,ALKASBEH Obada Mohammad Mustafa,,JOR,17
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,ONGARE Christine,,KEN,17
BOX,boxing,Women's Light (57-60kg),manual_34,2020,SADIKU Donjeta,,KOS,17
CTR,Cycling Track,Women's Omnium,manual_46,2020,BALEISYTE Olivija,,LTU,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,NADIR Abdelhaq,,MAR,17
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,CHEDDAR Rabab,,MAR,17
BOX,boxing,Women's Light (57-60kg),manual_34,2020,FALCON REYES Esmeralda,,MEX,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,BAATARSUKH Chinzorig,,MGL,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,LACRUZ Enrico,,NED,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,PEZO SABOYA Leodan,,PER,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,UME John,,PNG,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,DURKACZ Damian,,POL,17
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,DRABIK Sandra,,POL,17
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,KAMINSKI Mateusz,,POL,17
CTR,Cycling Track,Men's Sprint,manual_43,2020,RUDYK Mateusz,,POL,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,RIVERA FIGUEROA Yankiel,,PUR,17
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,SOLUIANOVA Svetlana,,ROC,17
BOX,boxing,Women's Welter (64-69kg),manual_36,2020,DALGATOVA Saadat,,ROC,17
CTR,Cycling Track,Women's Sprint,manual_47,2020,SHMELEVA Daria,,ROC,17
CLB,Sport Climbing,Women's Combined,manual_53,2020,KAPLINA Iuliia,,ROC,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,GIRLEANU Cosmin-Petre,,ROU,17
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Kim Sun-woo,,KOR,17
BOX,boxing,Men's Middle (69-75kg),manual_31,2020,CHARTOI Adam,,SWE,17
BOX,boxing,Women's Light (57-60kg),manual_34,2020,ALEXIUSSON Agnes,,SWE,17
BOX,boxing,Men's Middle (69-75kg),manual_31,2020,PRINCE Aaron Solomon,,TTO,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,CIFTCI Batuhan,,TUR,17
BOX,boxing,Men's Middle (69-75kg),manual_31,2020,SSEMUJJU Kavuma David,,UGA,17
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,NANZIRI Catherine,,UGA,17
BOX,boxing,Men's Light (57-63kg),manual_30,2020,KHARTSYZ Yaroslav,,UKR,17
BOX,boxing,Men's Heavy (81-91kg),manual_29,2020,TURSUNOV Sanjar,,UZB,17
BOX,boxing,Women's Welter (64-69kg),manual_36,2020,YUNUSOVA Shakhnoza,,UZB,17
BOX,boxing,Men's Fly (48-52kg),manual_28,2020,FINOL RIVAS Yoel,,VEN,17
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,CARDOZO ROJAS Irismar del Valle,,VEN,17
BOX,boxing,Women's Fly (48-51kg),manual_33,2020,NGUYEN Thi Tam,,VIE,17
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Volha Silkina,,BLR,18
CTR,Cycling Track,Men's Sprint,manual_43,2020,XU Chao,,CHN,18
DIV,Diving,Men's 10m Platform,manual_48,2020,VILLA CASTANEDA Sebastian,,COL,18
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,MARTINEZ Pablo,,ESP,18
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,CASTREN Matilda,,FIN,18
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Justinas Kinderis,,LTU,18
CTR,Cycling Track,Women's Sprint,manual_47,2020,GAXIOLA GONZALEZ Luz Daniela,,MEX,18
CLB,Sport Climbing,Women's Combined,manual_53,2020,KRAMPL Mia,,SLO,18
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,VALENZUELA Albane,,SUI,18
CLB,Sport Climbing,Women's Combined,manual_53,2020,MACKENZIE Oceania,,AUS,19
CTR,Cycling Track,Men's Sprint,manual_43,2020,BARRETTE Hugo,,CAN,19
DIV,Diving,Men's 10m Platform,manual_48,2020,WIENS Rylan,,CAN,19
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Haydy Morsy,,EGY,19
CTR,Cycling Track,Men's Keirin,manual_41,2020,VIGIER Sebastien,,FRA,19
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Fabian Liebig,,GER,19
CTR,Cycling Track,Men's Keirin,manual_41,2020,PONOMARYOV Sergey,,KAZ,19
CTR,Cycling Track,Women's Keirin,manual_44,2020,LEE Hyejin,,KOR,19
CTR,Cycling Track,Women's Keirin,manual_44,2020,KRUPECKAITE Simona,,LTU,19
CTR,Cycling Track,Women's Sprint,manual_47,2020,KRUPECKAITE Simona,,LTU,19
CTR,Cycling Track,Men's Keirin,manual_41,2020,BUCHLI Matthijs,,NED,19
CTR,Cycling Track,Men's Keirin,manual_41,2020,WEBSTER Sam,,NZL,19
CTR,Cycling Track,Women's Keirin,manual_44,2020,LOS Urszula,,POL,19
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,MELANTEV Viktor,,ROC,19
CTR,Cycling Track,Women's Keirin,manual_44,2020,VOINOVA Anastasiia,,ROC,19
DIV,Diving,Men's 10m Platform,manual_48,2020,SOUZA FILHO Isaac,,BRA,20
CTR,Cycling Track,Men's Sprint,manual_43,2020,QUINTERO CHAVARRO Kevin Santiago,,COL,20
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,FUKSA Petr,,CZE,20
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,NUUTINEN Sanna,,FIN,20
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Patrick Dogue,,GER,20
CTR,Cycling Track,Women's Sprint,manual_47,2020,VERDUGO OSUNA Yuli,,MEX,20
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Anna Maliszewska,,POL,20
CLB,Sport Climbing,Women's Combined,manual_53,2020,STERKENBURG Erin,,RSA,20
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,SAGSTROM Madelene,,SWE,20
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,KANG Danielle,,USA,20
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Luo Shuai,,CHN,21
CTR,Cycling Track,Men's Sprint,manual_43,2020,HELAL Rayan,,FRA,21
DIV,Diving,Men's 10m Platform,manual_48,2020,EIKERMANN GREGORCHUK Jaden Shiloh,,GER,21
CTR,Cycling Track,Women's Sprint,manual_47,2020,LEE Hyejin,,KOR,21
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,MIHALACHI Victor,,ROU,21
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Samantha Schultz,,USA,21
CTR,Cycling Track,Men's Sprint,manual_43,2020,RICHARDSON Matthew,,AUS,22
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,NASCIMENTO GODMANN Jacky Jamael,,BRA,22
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Li Shuhuan,,CHN,22
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Zhang Xiaonan,,CHN,22
CTR,Cycling Track,Women's Sprint,manual_47,2020,du PREEZ Charlene,,RSA,22
DIV,Diving,Men's 10m Platform,manual_48,2020,ARIZA Oscar,,VEN,22
CTR,Cycling Track,Men's Sprint,manual_43,2020,HART Nathan,,AUS,23
CTR,Cycling Track,Men's Keirin,manual_41,2020,BARRETTE Hugo,,CAN,23
CTR,Cycling Track,Men's Keirin,manual_41,2020,BABEK Tomas,,CZE,23
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,SPILKOVA Klara,,CZE,23
DIV,Diving,Men's 10m Platform,manual_48,2020,ISHAK Mohab,,EGY,23
CTR,Cycling Track,Women's Keirin,manual_44,2020,DEMAY Coralie,,FRA,23
CTR,Cycling Track,Women's Keirin,manual_44,2020,LEE Hoi Yan Jessica,,HKG,23
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,MAGUIRE Leona,,IRL,23
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Rena Shimazu,,JPN,23
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,PARK Inbee,,KOR,23
CTR,Cycling Track,Women's Keirin,manual_44,2020,VERDUGO OSUNA Yuli,,MEX,23
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,FASSI Maria,,MEX,23
CTR,Cycling Track,Men's Keirin,manual_41,2020,RUDYK Mateusz,,POL,23
CTR,Cycling Track,Women's Keirin,manual_44,2020,KARWACKA Marlena,,POL,23
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,CHEBOTAR Vladislav,,ROC,23
CTR,Cycling Track,Men's Keirin,manual_41,2020,GLADYSHEV Ivan,,ROC,23
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Aleix Heredia,,ESP,23
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,NORDQVIST Anna,,SWE,23
GOL,Golf,Women's Individual Stroke Play,manual_50,2020,TAVATANAKIT Patty,,THA,23
CTR,Cycling Track,Women's Sprint,manual_47,2020,BASOVA Liubov,,UKR,23
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Ahmed Hamed,,EGY,24
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Natalya Coyle,,IRL,24
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,YEMELYANOV Sergey,,KAZ,24
CTR,Cycling Track,Women's Sprint,manual_47,2020,MAROZAITE Migle,,LTU,24
DIV,Diving,Men's 10m Platform,manual_48,2020,GARCIA NAVARRO Ivan,,MEX,24
CTR,Cycling Track,Men's Sprint,manual_43,2020,MITCHELL Ethan,,NZL,24
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Zhang Mingyu,,CHN,25
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,FEJES Daniel,,HUN,25
DIV,Diving,Men's 10m Platform,manual_48,2020,NISHIDA Reo,,JPN,25
CTR,Cycling Track,Women's Sprint,manual_47,2020,LOS Urszula,,POL,25
CTR,Cycling Track,Men's Sprint,manual_43,2020,YAKUSHEVSKIY Pavel,,ROC,25
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Amro El Geziry,,USA,25
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,VARGA Roland,,CAN,26
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Leydi Moya,,CUB,26
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Róbert Kasza,,HUN,26
CTR,Cycling Track,Men's Sprint,manual_43,2020,NITTA Yudai,,JPN,26
CTR,Cycling Track,Women's Sprint,manual_47,2020,KARWACKA Marlena,,POL,26
DIV,Diving,Men's 10m Platform,manual_48,2020,CHAN Jonathan,,SGP,26
MOP,Modern Penthatlon,"Modern Penthatlon, Women",manual_71,2020,Marina Carrier,,AUS,27
CTR,Cycling Track,Men's Keirin,manual_41,2020,WAMMES Nick,,CAN,27
CTR,Cycling Track,Men's Keirin,manual_41,2020,XU Chao,,CHN,27
CTR,Cycling Track,Women's Keirin,manual_44,2020,BAO Shanju,,CHN,27
CAN,canoe sprint,Men's Canoe Single 1000m,manual_37,2020,GARCIA Cayetano,,ESP,27
DIV,Diving,Men's 10m Platform,manual_48,2020,WILLIAMS Noah,,GBR,27
MOP,Modern Penthatlon,"Modern Penthatlon, Men",manual_70,2020,Charles Fernández,,GUA,27
CTR,Cycling Track,Women's Keirin,manual_44,2020,MAROZAITE Migle,,LTU,27
CTR,Cycling Track,Women's Sprint,manual_47,2020,JAMES Kirstie,,NZL,27
CTR,Cycling Track,Men's Keirin,manual_41,2020,RAJKOWSKI Patryk,,POL,27
