Date of travel,Number of tickets,30 day moving average
2020-01-01,644896,
2020-01-02,1333001,
2020-01-03,1422923,
2020-01-04,1197102,
2020-01-05,703534,
2020-01-06,1532334,
2020-01-07,1472489,
2020-01-08,1473968,
2020-01-09,1513197,
2020-01-10,1618081,
2020-01-11,1235809,
2020-01-12,719071,
2020-01-13,1546627,
2020-01-14,1538002,
2020-01-15,1558475,
2020-01-16,1612730,
2020-01-17,1726180,
2020-01-18,1412687,
2020-01-19,781631,
2020-01-20,1604082,
2020-01-21,1614242,
2020-01-22,1635585,
2020-01-23,1657646,
2020-01-24,1816232,
2020-01-25,1404480,
2020-01-26,754863,
2020-01-27,1586748,
2020-01-28,1587360,
2020-01-29,1601934,
2020-01-30,1647703,1398454.0
2020-01-31,1887110,1439861.0
2020-02-01,1646165,1450300.0
2020-02-02,856831,1431430.0
2020-02-03,1620144,1445531.0
2020-02-04,1581262,1474789.0
2020-02-05,1636763,1478270.0
2020-02-06,1711592,1486240.0
2020-02-07,1868886,1499404.0
2020-02-08,1467784,1497890.0
2020-02-09,540338,1461965.0
2020-02-10,1550917,1472469.0
2020-02-11,1588610,1501454.0
2020-02-12,1633818,1504360.0
2020-02-13,1681578,1509146.0
2020-02-14,1864201,1519337.0
2020-02-15,1260569,1507598.0
2020-02-16,722253,1474134.0
2020-02-17,1618483,1480994.0
2020-02-18,1628350,1509218.0
2020-02-19,1698083,1512351.0
2020-02-20,1686720,1514767.0
2020-02-21,1851300,1521957.0
2020-02-22,1505025,1516870.0
2020-02-23,904978,1486495.0
2020-02-24,1615254,1493521.0
2020-02-25,1639571,1523011.0
2020-02-26,1637471,1524702.0
2020-02-27,1700849,1528485.0
2020-02-28,1869402,1537400.0
2020-02-29,1443805,1530604.0
2020-03-01,861306,1496410.0
2020-03-02,1609339,1495183.0
2020-03-03,1605171,1520127.0
2020-03-04,1609190,1519762.0
2020-03-05,1600649,1520409.0
2020-03-06,1837470,1527099.0
2020-03-07,1546543,1521597.0
2020-03-08,823902,1486764.0
2020-03-09,1533206,1488945.0
2020-03-10,1516902,1521497.0
2020-03-11,1515698,1520323.0
2020-03-12,1503090,1517473.0
2020-03-13,1559442,1514993.0
2020-03-14,1151489,1497324.0
2020-03-15,643818,1456644.0
2020-03-16,1142983,1452725.0
2020-03-17,840364,1456662.0
2020-03-18,688661,1425668.0
2020-03-19,624011,1392190.0
2020-03-20,604675,1355743.0
2020-03-21,348196,1311125.0
2020-03-22,213756,1256541.0
2020-03-23,321200,1217080.0
2020-03-24,200983,1193613.0
2020-03-25,164362,1145250.0
2020-03-26,163289,1096041.0
2020-03-27,208251,1048400.0
2020-03-28,159066,997007.0
2020-03-29,111440,938409.0
2020-03-30,149795,895275.0
2020-03-31,135317,871075.0
2020-04-01,115083,821267.0
2020-04-02,119282,771737.0
2020-04-03,159015,723398.0
2020-04-04,130258,674385.0
2020-04-05,95768,616328.0
2020-04-06,136285,569320.0
2020-04-07,113608,545643.0
2020-04-08,119897,498533.0
2020-04-09,140777,452662.0
2020-04-10,110383,405818.0
2020-04-11,84856,358544.0
2020-04-12,54767,308388.0
2020-04-13,87272,272914.0
2020-04-14,125328,255631.0
2020-04-15,110741,221223.0
2020-04-16,114212,197018.0
2020-04-17,137103,178633.0
2020-04-18,97914,161096.0
2020-04-19,73760,143399.0
2020-04-20,111677,135515.0
2020-04-21,99307,131700.0
2020-04-22,99400,124307.0
2020-04-23,105440,121122.0
2020-04-24,133588,120096.0
2020-04-25,101980,118052.0
2020-04-26,77087,113680.0
2020-04-27,117997,112311.0
2020-04-28,95687,111786.0
2020-04-29,99241,110101.0
2020-04-30,104783,109083.0
2020-05-01,125106,109417.0
2020-05-02,81988,108174.0
2020-05-03,53762,104666.0
2020-05-04,110839,104018.0
2020-05-05,103511,104277.0
2020-05-06,106202,103274.0
2020-05-07,122018,103554.0
2020-05-08,96426,102772.0
2020-05-09,81755,100804.0
2020-05-10,61916,99189.0
2020-05-11,117402,100274.0
2020-05-12,110510,102132.0
2020-05-13,113535,103007.0
2020-05-14,119855,102825.0
2020-05-15,137693,103723.0
2020-05-16,90657,102938.0
2020-05-17,63669,100490.0
2020-05-18,141533,101944.0
2020-05-19,134520,103969.0
2020-05-20,146073,105116.0
2020-05-21,143500,106589.0
2020-05-22,165166,108781.0
2020-05-23,105158,108772.0
2020-05-24,72671,106741.0
2020-05-25,109755,107001.0
2020-05-26,163574,109883.0
2020-05-27,159954,111282.0
2020-05-28,161295,113469.0
2020-05-29,193659,116616.0
2020-05-30,156986,118356.0
2020-05-31,102675,117609.0
2020-06-01,201135,121580.0
2020-06-02,207588,126708.0
2020-06-03,188895,129310.0
2020-06-04,193131,132297.0
2020-06-05,212175,135829.0
2020-06-06,159215,137069.0
2020-06-07,108116,137459.0
2020-06-08,207779,141660.0
2020-06-09,210407,146609.0
2020-06-10,198289,149306.0
2020-06-11,203795,152415.0
2020-06-12,232857,156393.0
2020-06-13,212904,159494.0
2020-06-14,131120,159275.0
2020-06-15,268479,165202.0
2020-06-16,252821,171508.0
2020-06-17,252318,175200.0
2020-06-18,249405,179030.0
2020-06-19,304671,184316.0
2020-06-20,269566,188519.0
2020-06-21,146487,187896.0
2020-06-22,306607,194611.0
2020-06-23,313217,202629.0
2020-06-24,344111,210441.0
2020-06-25,368277,217264.0
2020-06-26,384073,224735.0
2020-06-27,286569,228911.0
2020-06-28,198434,229070.0
2020-06-29,319318,234481.0
2020-06-30,320912,241756.0
2020-07-01,345688,246574.0
2020-07-02,342251,251063.0
2020-07-03,404391,258246.0
2020-07-04,367075,264044.0
2020-07-05,241232,265013.0
2020-07-06,407589,273292.0
2020-07-07,400227,283029.0
2020-07-08,396339,289314.0
2020-07-09,411594,296021.0
2020-07-10,516361,306623.0
2020-07-11,469951,315495.0
2020-07-12,300649,317755.0
2020-07-13,448571,325610.0
2020-07-14,439568,335892.0
2020-07-15,464738,342434.0
2020-07-16,485684,350196.0
2020-07-17,591493,361502.0
2020-07-18,542179,371261.0
2020-07-19,311359,371484.0
2020-07-20,505926,379362.0
2020-07-21,505786,391339.0
2020-07-22,518573,398405.0
2020-07-23,535255,405806.0
2020-07-24,646587,415888.0
2020-07-25,528896,421242.0
2020-07-26,358868,420402.0
2020-07-27,496939,427414.0
2020-07-28,534754,438625.0
2020-07-29,569123,446952.0
2020-07-30,605624,456442.0
2020-07-31,752268,469995.0
2020-08-01,662805,480680.0
2020-08-02,384353,480012.0
2020-08-03,587364,487355.0
2020-08-04,584020,498781.0
2020-08-05,615842,505723.0
2020-08-06,628236,513324.0
2020-08-07,747267,525021.0
2020-08-08,710943,534999.0
2020-08-09,429855,532116.0
2020-08-10,638230,537725.0
2020-08-11,634741,548862.0
2020-08-12,633273,555018.0
2020-08-13,610403,560713.0
2020-08-14,716989,569121.0
2020-08-15,656638,574820.0
2020-08-16,399255,568412.0
2020-08-17,642090,571742.0
2020-08-18,648801,582990.0
2020-08-19,643925,587590.0
2020-08-20,702413,594144.0
2020-08-21,766420,602406.0
2020-08-22,723597,608684.0
2020-08-23,435123,601635.0
2020-08-24,695568,607191.0
2020-08-25,648055,616830.0
2020-08-26,756831,625494.0
2020-08-27,694066,630804.0
2020-08-28,834083,639636.0
2020-08-29,785410,645629.0
2020-08-30,521986,637953.0
2020-08-31,612091,636262.0
2020-09-01,745813,648311.0
2020-09-02,714501,652549.0
2020-09-03,739413,657729.0
2020-09-04,874925,666365.0
2020-09-05,797508,672007.0
2020-09-06,457330,662343.0
2020-09-07,739794,663304.0
2020-09-08,759229,674283.0
2020-09-09,776351,678887.0
2020-09-10,802698,684486.0
2020-09-11,908913,693674.0
2020-09-12,813647,700449.0
2020-09-13,496160,693088.0
2020-09-14,786985,697433.0
2020-09-15,791753,710516.0
2020-09-16,786333,715324.0
2020-09-17,825237,721205.0
2020-09-18,950406,731421.0
2020-09-19,832158,735746.0
2020-09-20,499093,726835.0
2020-09-21,780807,728742.0
2020-09-22,779509,740222.0
2020-09-23,742953,741801.0
2020-09-24,767904,745796.0
2020-09-25,906607,750789.0
2020-09-26,771534,753371.0
2020-09-27,463207,741009.0
2020-09-28,735979,739361.0
2020-09-29,733400,746408.0
2020-09-30,737717,750595.0
2020-10-01,773596,751522.0
2020-10-02,843520,755822.0
2020-10-03,680819,753869.0
2020-10-04,394820,737866.0
2020-10-05,719017,735249.0
2020-10-06,716830,743899.0
2020-10-07,750688,744262.0
2020-10-08,762741,744379.0
2020-10-09,880265,747843.0
2020-10-10,731758,745479.0
2020-10-11,439983,729848.0
2020-10-12,707563,726311.0
2020-10-13,704222,733247.0
2020-10-14,732576,731433.0
2020-10-15,763753,730500.0
2020-10-16,887509,733872.0
2020-10-17,633808,727491.0
2020-10-18,364217,707952.0
2020-10-19,679826,702874.0
2020-10-20,670300,708581.0
2020-10-21,663107,704658.0
2020-10-22,720294,702684.0
2020-10-23,809270,704894.0
2020-10-24,625033,700132.0
2020-10-25,373919,682376.0
2020-10-26,673917,679122.0
2020-10-27,648915,685312.0
2020-10-28,697302,684023.0
2020-10-29,682647,682331.0
2020-10-30,813755,684866.0
2020-10-31,657071,680982.0
2020-11-01,433681,667320.0
2020-11-02,744045,669428.0
2020-11-03,789828,682595.0
2020-11-04,861421,687341.0
2020-11-05,486209,679654.0
2020-11-06,496092,671168.0
2020-11-07,278347,655021.0
2020-11-08,182875,631775.0
2020-11-09,499020,624017.0
2020-11-10,489084,625654.0
2020-11-11,482352,618147.0
2020-11-12,496467,611221.0
2020-11-13,532984,604568.0
2020-11-14,289751,588768.0
2020-11-15,182471,565267.0
2020-11-16,504520,560957.0
2020-11-17,494096,565287.0
2020-11-18,491636,559014.0
2020-11-19,503270,553446.0
2020-11-20,525379,548855.0
2020-11-21,311971,535244.0
2020-11-22,198879,514898.0
2020-11-23,500431,510745.0
2020-11-24,492422,514695.0
2020-11-25,487566,508483.0
2020-11-26,505468,503701.0
2020-11-27,533407,498238.0
2020-11-28,340372,486829.0
2020-11-29,208859,466666.0
2020-11-30,517590,462016.0
2020-12-01,525702,465084.0
2020-12-02,621963,461014.0
2020-12-03,655855,456549.0
2020-12-04,759732,453159.0
2020-12-05,664002,459085.0
2020-12-06,384993,455382.0
2020-12-07,662204,468177.0
2020-12-08,667827,484342.0
2020-12-09,695159,490880.0
2020-12-10,704602,498064.0
2020-12-11,808357,508931.0
2020-12-12,724990,516549.0
2020-12-13,374989,511282.0
2020-12-14,659384,523603.0
2020-12-15,713428,541302.0
2020-12-16,602560,544570.0
2020-12-17,629907,549097.0
2020-12-18,681390,555422.0
2020-12-19,579278,557956.0
2020-12-20,281211,549817.0
2020-12-21,437388,553997.0
2020-12-22,422775,561460.0
2020-12-23,448528,559730.0
2020-12-24,336164,554522.0
2020-12-25,81,538272.0
2020-12-26,18030,522024.0
2020-12-27,217888,511507.0
2020-12-28,233560,507947.0
2020-12-29,293305,510761.0
2020-12-30,311524,503893.0
2020-12-31,256971,494935.0
2021-01-01,106218,477743.0
2021-01-02,211307,462925.0
2021-01-03,167487,443184.0
2021-01-04,343716,432507.0
2021-01-05,289607,429328.0
2021-01-06,267577,416174.0
2021-01-07,261327,402624.0
2021-01-08,281484,388834.0
2021-01-09,178897,371311.0
2021-01-10,110300,348042.0
2021-01-11,279698,333199.0
2021-01-12,259606,329353.0
2021-01-13,253558,315826.0
2021-01-14,257162,300617.0
2021-01-15,284549,290016.0
2021-01-16,149501,274003.0
2021-01-17,114884,255119.0
2021-01-18,276178,245016.0
2021-01-19,256156,244181.0
2021-01-20,253360,238047.0
2021-01-21,262390,232700.0
2021-01-22,293118,227520.0
2021-01-23,179083,222284.0
2021-01-24,102257,225690.0
2021-01-25,285653,234611.0
2021-01-26,267189,236254.0
2021-01-27,273612,237589.0
2021-01-28,275218,236986.0
2021-01-29,306514,236819.0
2021-01-30,158557,233539.0
2021-01-31,120363,234010.0
2021-02-01,298527,236918.0
2021-02-02,282233,240742.0
2021-02-03,282244,238693.0
2021-02-04,287181,238613.0
2021-02-05,329192,240666.0
2021-02-06,201684,238678.0
2021-02-07,117293,233205.0
2021-02-08,277385,236488.0
2021-02-09,272203,241885.0
2021-02-10,290129,242233.0
2021-02-11,292088,243315.0
2021-02-12,332215,245937.0
2021-02-13,217566,244617.0
2021-02-14,141007,239833.0
2021-02-15,318470,245465.0
2021-02-16,303359,251747.0
2021-02-17,305752,252733.0
2021-02-18,311240,254569.0
2021-02-19,346963,257690.0
2021-02-20,244728,257101.0
2021-02-21,165785,252856.0
2021-02-22,329620,257874.0
2021-02-23,326111,265336.0
2021-02-24,333974,266947.0
2021-02-25,336905,269271.0
2021-02-26,386942,273048.0
2021-02-27,293186,273647.0
2021-02-28,179954,269429.0
2021-03-01,354773,275969.0
2021-03-02,349106,283594.0
2021-03-03,344951,285141.0
2021-03-04,354874,287563.0
2021-03-05,412397,291901.0
2021-03-06,288741,291953.0
2021-03-07,186791,287206.0
2021-03-08,440524,295168.0
2021-03-09,444867,306087.0
2021-03-10,426858,311069.0
2021-03-11,447362,316908.0
2021-03-12,497959,323836.0
2021-03-13,307967,324365.0
2021-03-14,211876,320354.0
2021-03-15,485503,329285.0
2021-03-16,470982,340284.0
2021-03-17,481093,345705.0
2021-03-18,473854,351388.0
2021-03-19,536296,359073.0
2021-03-20,341992,360098.0
2021-03-21,221185,355905.0
2021-03-22,504452,364563.0
2021-03-23,484711,375194.0
2021-03-24,492704,380630.0
2021-03-25,499099,386396.0
2021-03-26,537620,393184.0
2021-03-27,352188,393694.0
2021-03-28,198659,387417.0
2021-03-29,546370,395857.0
2021-03-30,608196,410132.0
2021-03-31,600815,418333.0
2021-04-01,621303,427406.0
2021-04-02,451987,430974.0
2021-04-03,417890,433075.0
2021-04-04,287176,428901.0
2021-04-05,321820,430003.0
2021-04-06,510506,440794.0
2021-04-07,505895,442973.0
2021-04-08,513272,445253.0
2021-04-09,555700,449548.0
2021-04-10,403758,448094.0
2021-04-11,298034,441430.0
2021-04-12,676869,453727.0
2021-04-13,672973,469097.0
2021-04-14,698392,476193.0
2021-04-15,716013,484361.0
2021-04-16,813491,495441.0
2021-04-17,790193,505985.0
2021-04-18,432641,502530.0
2021-04-19,705710,514654.0
2021-04-20,719400,531261.0
2021-04-21,713300,538223.0
2021-04-22,753316,547176.0
2021-04-23,869187,559726.0
2021-04-24,814004,570223.0
2021-04-25,438605,566922.0
2021-04-26,721366,579228.0
2021-04-27,726790,596832.0
2021-04-28,727293,602863.0
2021-04-29,777668,608512.0
2021-04-30,938925,619783.0
2021-05-01,796036,625607.0
2021-05-02,478807,626501.0
2021-05-03,481708,628628.0
2021-05-04,752554,644141.0
2021-05-05,751412,658461.0
2021-05-06,786216,667651.0
2021-05-07,903259,680896.0
2021-05-08,611265,684163.0
2021-05-09,444246,680448.0
2021-05-10,720785,691015.0
2021-05-11,757556,706333.0
2021-05-12,773903,709567.0
2021-05-13,780751,713160.0
2021-05-14,903222,719987.0
2021-05-15,775756,721979.0
2021-05-16,420598,708882.0
2021-05-17,810706,709566.0
2021-05-18,846963,723377.0
2021-05-19,901735,729911.0
2021-05-20,919468,736580.0
2021-05-21,1061902,748200.0
2021-05-22,1002438,756504.0
2021-05-23,577754,746790.0
2021-05-24,832576,747409.0
2021-05-25,865921,761653.0
2021-05-26,924228,768415.0
2021-05-27,1020116,778192.0
2021-05-28,1222822,794710.0
2021-05-29,1176032,807989.0
2021-05-30,777165,802597.0
2021-05-31,880058,805397.0
2021-06-01,1060793,824797.0
2021-06-02,1035753,843265.0
