country,date,value
China,1960,62.8931922522277
China,1961,80.5728697882009
China,1962,84.8537123214593
China,1963,81.1629093887687
China,1964,73.2056127967889
China,1965,66.6604475605536
China,1966,66.1528522740509
China,1967,71.1836102106789
China,1968,72.8548597614816
China,1969,69.2104256650698
China,1970,63.898573062245
China,1971,63.2098445683585
China,1972,64.2822362678264
China,1973,63.4529725673028
China,1974,63.928552625809
China,1975,61.9918448396118
China,1976,65.8238064578732
China,1977,63.2408333876923
China,1978,60.7175586881342
China,1979,62.8950876466451
China,1980,64.6893707047716
China,1981,66.4163544200018
China,1982,66.5663504716809
China,1983,67.4514774156984
China,1984,65.7641533345128
China,1985,65.0708489538109
China,1986,64.8681816248396
China,1987,62.7825634409789
China,1988,62.1154740386413
China,1989,64.2831522718963
China,1990,63.6491229673967
China,1991,61.9187915491979
China,1992,59.7152828696155
China,1993,58.3489014706853
China,1994,58.1790541335575
China,1995,59.0622779961577
China,1996,60.0474696669644
China,1997,59.6483947390531
China,1998,60.4513347312949
China,1999,62.5713075906734
China,2000,63.5707882775929
China,2001,61.9332490132997
China,2002,60.9834432470768
China,2003,58.021994313778
China,2004,55.2362479065809
China,2005,54.3845408980567
China,2006,52.5724954751931
China,2007,50.9962877448563
China,2008,49.7734945413157
China,2009,50.0802720359376
China,2010,48.9133616670373
China,2011,50.1592932819477
China,2012,51.1426133005625
China,2013,51.7171470088026
China,2014,52.5249430107579
China,2015,53.9908904284197
China,2016,55.0387375118747
China,2017,54.8676084332767
China,2018,55.0576888619141
China,2019,56.0185730422658
China,2020,55.3304457751266
China,2021,53.9217036539298
China,2022,53.4419385959655
China,2023,55.6378354443422
United Kingdom,1970,83.7394813685699
United Kingdom,1971,84.3112175484719
United Kingdom,1972,85.5216342904164
United Kingdom,1973,84.748996106573
United Kingdom,1974,88.6849188619122
United Kingdom,1975,90.6871241100353
United Kingdom,1976,89.2114453456933
United Kingdom,1977,86.3991884150223
United Kingdom,1978,85.3301884530409
United Kingdom,1979,85.0505516346428
United Kingdom,1980,85.9700802560295
United Kingdom,1981,86.7993474181021
United Kingdom,1982,86.6919210078219
United Kingdom,1983,86.5774455806638
United Kingdom,1984,86.3655666876113
United Kingdom,1985,85.296550041836
United Kingdom,1986,87.229496650102
United Kingdom,1987,85.8399859638349
United Kingdom,1988,85.45309720504
United Kingdom,1989,84.4057947580987
United Kingdom,1990,85.0746568389389
United Kingdom,1991,86.6383299432378
United Kingdom,1992,88.2006504306946
United Kingdom,1993,88.3706451859032
United Kingdom,1994,87.955862216115
United Kingdom,1995,80.748140800263
United Kingdom,1996,80.6444664958961
United Kingdom,1997,81.6988583026101
United Kingdom,1998,82.2189462003543
United Kingdom,1999,82.950746131313
United Kingdom,2000,82.7834062531796
United Kingdom,2001,83.4299624389797
United Kingdom,2002,84.006315052638
United Kingdom,2003,84.1878229468488
United Kingdom,2004,84.5328688067852
United Kingdom,2005,84.1426160090195
United Kingdom,2006,83.506132314519
United Kingdom,2007,83.2962696089761
United Kingdom,2008,84.0924322289157
United Kingdom,2009,86.2753922063634
United Kingdom,2010,85.3830741044902
United Kingdom,2011,84.8606691968555
United Kingdom,2012,84.9286491627838
United Kingdom,2013,84.8600592468343
United Kingdom,2014,84.2246554925225
United Kingdom,2015,83.6422637468947
United Kingdom,2016,83.96099706524
United Kingdom,2017,82.8577629962708
United Kingdom,2018,83.2009790438525
United Kingdom,2019,83.0169016719929
United Kingdom,2020,81.8603974545112
United Kingdom,2021,82.197077098101
United Kingdom,2022,83.8080087776101
United Kingdom,2023,83.3930079421947
United States,1970,78.2174278838315
United States,1971,78.0269562604627
United States,1972,77.6829983347797
United States,1973,76.3798464405182
United States,1974,77.3578006824817
United States,1975,78.7743396656427
United States,1976,78.0486620134813
United States,1977,77.5830448846349
United States,1978,76.2469281539922
United States,1979,75.7469646976611
United States,1980,77.146662924215
United States,1981,76.1135264563191
United States,1982,78.5272635324777
United States,1983,79.1680769436093
United States,1984,77.4484330221841
United States,1985,78.4394208868031
United States,1986,79.1388432823518
United States,1987,79.3615112821986
United States,1988,79.2612650049518
United States,1989,79.0237132150922
United States,1990,79.7763730005514
United States,1991,80.3540490951066
United States,1992,80.4551980291786
United States,1993,80.5566300442994
United States,1994,79.9900812873358
United States,1995,79.9022716584013
United States,1996,79.4919734893143
United States,1997,78.7790968798557
United States,1998,78.8370326797948
United States,1999,79.275762077554
United States,2000,80.0390734441055
United States,2001,81.3835738266624
United States,2002,82.3009526486517
United States,2003,82.8103644671779
United States,2004,82.5384155251336
United States,2005,82.2987259108057
United States,2006,82.1549767389476
United States,2007,82.5268608453591
United States,2008,83.9785977688891
United States,2009,85.1263362712716
United States,2010,84.8649651859918
United States,2011,84.6820188962221
United States,2012,83.4430173059259
United States,2013,82.4550641700931
United States,2014,81.9889473833065
United States,2015,81.4507271077445
United States,2016,81.788323083441
United States,2017,81.6146071440991
United States,2018,81.3020646850611
United States,2019,81.010276610259
United States,2020,81.5136480784374
United States,2021,82.2984218136848
United States,2022,81.7374570657095
United States,2023,81.3353042304943
