Date,Series,Value
1971,All,25
1972,All,24.8
1973,All,24.3
1974,All,24.2
1975,All,24
1976,All,24
1977,All,24.1
1978,All,24.2
1979,All,24.2
1980,All,23.9
1981,All,24
1982,All,25
1983,All,25.5
1984,All,24.2
1985,All,23.9
1986,All,23.6
1987,All,23.1
1988,All,22.4
1989,All,21.9
1990,All,21.8
1991,All,22.4
1992,All,23.3
1993,All,23.5
1994,All,23.8
1995,All,23.8
1996,All,23.7
1997,All,23.6
1998,All,23.7
1999,All,23.3
2000,All,23.3
2001,All,23.4
2002,All,23.4
2003,All,23.3
2004,All,23.4
2005,All,23.3
2006,All,23
2007,All,23.2
2008,All,23
2009,All,23.1
2010,All,23.5
2011,All,23.3
2012,All,22.8
2013,All,22.4
2014,All,22.2
2015,All,22
2016,All,21.7
2017,All,21.5
2018,All,21.1
2019,All,20.7
2020,All,20.9
2021,All,21.3
2022,All,21.5
1971 Q1,All,24.9
1971 Q2,All,24.9
1971 Q3,All,25.1
1971 Q4,All,25.2
1972 Q1,All,24.8
1972 Q2,All,24.8
1972 Q3,All,24.8
1972 Q4,All,24.6
1973 Q1,All,24.3
1973 Q2,All,24.2
1973 Q3,All,24.4
1973 Q4,All,24.4
1974 Q1,All,24.4
1974 Q2,All,24.3
1974 Q3,All,24.1
1974 Q4,All,24.1
1975 Q1,All,24.1
1975 Q2,All,24
1975 Q3,All,23.9
1975 Q4,All,23.8
1976 Q1,All,23.9
1976 Q2,All,23.9
1976 Q3,All,24
1976 Q4,All,24
1977 Q1,All,24.1
1977 Q2,All,24.1
1977 Q3,All,24.1
1977 Q4,All,24.1
1978 Q1,All,24.2
1978 Q2,All,24.3
1978 Q3,All,24.3
1978 Q4,All,24.2
1979 Q1,All,24.2
1979 Q2,All,24.2
1979 Q3,All,24.1
1979 Q4,All,24.1
1980 Q1,All,24
1980 Q2,All,23.9
1980 Q3,All,23.9
1980 Q4,All,23.9
1981 Q1,All,23.8
1981 Q2,All,23.9
1981 Q3,All,24.1
1981 Q4,All,24.4
1982 Q1,All,24.6
1982 Q2,All,24.9
1982 Q3,All,25.2
1982 Q4,All,25.5
1983 Q1,All,25.8
1983 Q2,All,25.9
1983 Q3,All,25.4
1983 Q4,All,24.9
1984 Q1,All,24.5
1984 Q2,All,24.2
1984 Q3,All,24.2
1984 Q4,All,24
1985 Q1,All,24
1985 Q2,All,23.9
1985 Q3,All,23.9
1985 Q4,All,23.8
1986 Q1,All,23.8
1986 Q2,All,23.7
1986 Q3,All,23.5
1986 Q4,All,23.4
1987 Q1,All,23.4
1987 Q2,All,23.2
1987 Q3,All,23
1987 Q4,All,22.8
1988 Q1,All,22.6
1988 Q2,All,22.5
1988 Q3,All,22.4
1988 Q4,All,22.2
1989 Q1,All,22
1989 Q2,All,21.9
1989 Q3,All,21.9
1989 Q4,All,21.7
1990 Q1,All,21.8
1990 Q2,All,21.7
1990 Q3,All,21.7
1990 Q4,All,21.8
1991 Q1,All,22
1991 Q2,All,22.2
1991 Q3,All,22.5
1991 Q4,All,22.9
1992 Q1,All,23.1
1992 Q2,All,23.3
1992 Q3,All,23.4
1992 Q4,All,23.5
1993 Q1,All,23.4
1993 Q2,All,23.6
1993 Q3,All,23.6
1993 Q4,All,23.6
1994 Q1,All,23.6
1994 Q2,All,23.7
1994 Q3,All,23.7
1994 Q4,All,24.1
1995 Q1,All,24
1995 Q2,All,23.9
1995 Q3,All,23.7
1995 Q4,All,23.7
1996 Q1,All,23.8
1996 Q2,All,23.7
1996 Q3,All,23.8
1996 Q4,All,23.6
1997 Q1,All,23.6
1997 Q2,All,23.4
1997 Q3,All,23.6
1997 Q4,All,23.8
1998 Q1,All,23.8
1998 Q2,All,23.9
1998 Q3,All,23.6
1998 Q4,All,23.5
1999 Q1,All,23.4
1999 Q2,All,23.4
1999 Q3,All,23.3
1999 Q4,All,23.2
2000 Q1,All,23.2
2000 Q2,All,23.3
2000 Q3,All,23.2
2000 Q4,All,23.5
2001 Q1,All,23.4
2001 Q2,All,23.4
2001 Q3,All,23.5
2001 Q4,All,23.4
