period,value,series
Apr-Jun 2013,16.51341971,series1
Jul-Sep 2013,16.44907668,series1
Oct-Dec 2013,16.71334682,series1
Jan-Mar 2014,16.63951913,series1
Apr-Jun 2014,16.67499231,series1
Jul-Sep 2014,16.99953618,series1
Oct-Dec 2014,16.92381212,series1
Jan-Mar 2015,17.12675412,series1
Apr-Jun 2015,17.47753795,series1
Jul-Sep 2015,17.41786519,series1
Oct-Dec 2015,17.3068482,series1
Jan-Mar 2016,17.50289442,series1
Apr-Jun 2016,17.41407077,series1
Jul-Sep 2016,17.64113505,series1
Oct-Dec 2016,17.68187815,series1
Jan-Mar 2017,17.55115603,series1
Apr-Jun 2017,17.38774208,series1
Jul-Sep 2017,18.33385002,series1
Oct-Dec 2017,18.18359245,series1
Jan-Mar 2018,18.0106775,series1
Apr-Jun 2018,18.33930132,series1
Jul-Sep 2018,18.37219523,series1
Oct-Dec 2018,18.4799385,series1
Jan-Mar 2019,18.45955739,series2
Apr-Jun 2019,18.76570553,series2
Jul-Sep 2019,19.28753576,series2
Oct-Dec 2019,19.61470937,series2
Jan-Mar 2020,20.21828328,series2
Apr-Jun 2020,19.8734913,series2
Jul-Sep 2020,20.57204426,series2
Oct-Dec 2020,21.05419463,series2
Jan-Mar 2021,21.05334626,series2
Apr-Jun 2021,21.25228858,series2
Jul-Sep 2021,21.67899665,series2
Oct-Dec 2021,21.8166324,series2
Jan-Mar 2022,22.29643119,series2
Apr-Jun 2022,22.49160472,series2
Jul-Sep 2022,22.95067418,series2
Oct-Dec 2022,23.36229017,series2
Jan-Mar 2023,23.66780387,series2
Apr-Jun 2023,23.54015037,series2
Jul-Sep 2023,23.72322672,series2
Oct-Dec 2023,24.33579994,series2
Jan-Mar 2024,24.50946524,series2
Apr-Jun 2024,24.8061475,series2
Jul-Sep 2024,24.74594695,series2
Oct-Dec 2024,24.3708525,series2
Jan-Mar 2025,24.16658846,series2
