date,code,area_name,index,monthly_change,annual_change,rental_price,id
2025-03-01,W92000004,Wales,120.265871,0.906451,8.852249,792.0,40
2025-03-01,S92000003,Scotland,118.596692,0.229785,5.714581,1001.0,59
2025-03-01,E12000001,North East,117.132178,1.39804,9.423526,725.0,29
2025-03-01,E12000002,North West,119.971593,0.359929,9.029666,896.0,75
2025-03-01,E12000003,Yorkshire and The Humber,114.057836,0.395794,4.579336,816.0,54
2025-03-01,E12000004,East Midlands,118.054728,0.648216,8.316367,873.0,46
2025-03-01,E12000005,West Midlands,118.238585,0.265539,6.911425,920.0,59
2025-03-01,E12000006,East of England,116.731207,0.450295,8.18528,1223.0,58
2025-03-01,E12000007,London,122.519426,0.31995,9.064665,2243.0,73
2025-03-01,E12000008,South East,116.998109,0.412461,6.992488,1368.0,84
2025-03-01,E12000009,South West,114.133907,0.092349,5.423084,1168.0,55
