General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Estimates start after
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,42.5,44.7,42.9,41.8,42.1,41.2,41.2,39.2,37,32.4,28.4,28.4,33.1,37.8,40.6,43.5,43.5,43.9,41.8,40.3,37.5,34.8,35.3,36.6,39.7,40.9,41.9,43,50.6,64.5,75.5,81.1,84.1,84.9,86.5,87.3,87.3,86.1,85.6,84.9,104.8,103.4,97.5,98.9,99.9,102.3,103.6,104.1,103.9,103.5,102.9,102.6,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
