"Date","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (95% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted  						[a] [b] [c] 						IUM2WTL","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (90% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted  						[d] [e] [b] [c] 						IUMB482","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (75% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted  						[a] [d] [b] [c] 						IUMBV34","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (60% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted  						[b] [c] 						IUMZICQ","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (85% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted  						[b] [c] 						IUMZICR"
"31 Aug 26","5.52","5.16","4.92","4.79","5.02"
"31 Jul 26","5.48","5.07","4.79","4.6","4.89"
"30 Jun 26","5.54","5.18","4.8","4.59","4.93"
"31 May 26","5.63","5.31","4.91","4.77","5.03"
"30 Apr 26","5.8","5.46","5.14","4.97","5.16"
"31 Mar 26","5.23","4.79","4.45","4.3","4.51"
"28 Feb 26","4.82","4.34","3.97","3.78","4.06"
"31 Jan 26","4.8","4.36","3.93","3.72","4.1"
"31 Dec 25","4.83","4.42","3.97","3.78","4.15"
"30 Nov 25","4.91","4.49","4.06","3.91","4.23"
"31 Oct 25","5","4.57","4.2","4.03","4.31"
"30 Sep 25","5.03","4.58","4.19","4.03","4.32"
"31 Aug 25","5","4.55","4.1","3.93","4.21"
"31 Jul 25","5.05","4.62","4.21","4.02","4.28"
"30 Jun 25","5.1","4.8","4.28","4.18","4.47"
"31 May 25","5.1","4.82","4.18","4.07","4.49"
"30 Apr 25","5.29","4.96","4.42","4.23","4.63"
"31 Mar 25","5.44","5.09","4.54","4.31","4.73"
"28 Feb 25","5.64","5.26","4.65","4.45","4.86"
"31 Jan 25","5.69","5.35","4.63","4.48","4.9"
"31 Dec 24","5.7","5.37","4.6","4.47","4.88"
"30 Nov 24","5.69","5.41","4.53","4.39","4.87"
"31 Oct 24","5.61","5.3","4.4","4.19","4.75"
"30 Sep 24","5.76","5.4","4.58","4.37","4.86"
"31 Aug 24","5.9","5.54","4.8","4.55","5.07"
"31 Jul 24","5.97","5.61","4.99","4.8","5.21"
"30 Jun 24","6.07","5.65","5.16","5","5.3"
"31 May 24","6.04","5.66","5.19","5.01","5.32"
"30 Apr 24","5.87","5.47","4.98","4.86","5.16"
"31 Mar 24","5.83","5.39","4.96","4.8","5.16"
"29 Feb 24","5.73","5.26","4.76","4.62","4.99"
"31 Jan 24","5.87","5.44","4.71","4.62","5.04"
"31 Dec 23","6.18","5.69","5.03","4.89","5.38"
"30 Nov 23","6.38","5.81","5.28","5.13","5.65"
"31 Oct 23","6.6","6.06","5.6","5.52","5.94"
"30 Sep 23","6.75","6.37","5.91","5.93","6.14"
"31 Aug 23","6.93","6.57","6.18","6.21","6.35"
"31 Jul 23","6.88","6.49","6.22","6.22","6.35"
"30 Jun 23","6.28","5.75","5.49","5.47","5.59"
"31 May 23","5.67","5.08","4.72","4.69","4.92"
"30 Apr 23","5.65","5.07","4.6","4.53","4.88"
"31 Mar 23","5.77","5.23","4.74","4.57","4.98"
"28 Feb 23","5.86","5.35","4.79","4.71","5.03"
"31 Jan 23","6.02","5.66","5.14","5.01","5.26"
"31 Dec 22","6.3","6","5.43","5.33","5.57"
"30 Nov 22","6.59","6.28","5.98","5.82","6.11"
"31 Oct 22","6.42","6.2","5.99","5.94","6.17"
"30 Sep 22","4.67","4.48","4.17","4.21","4.37"
"31 Aug 22","4.14","3.93","3.6","3.51","3.69"
"31 Jul 22","3.96","3.69","3.48","3.43","3.48"
"30 Jun 22","3.48","3.15","2.87","2.87","2.95"
"31 May 22","3.2","2.85","2.63","2.55","2.72"
"30 Apr 22","2.95","2.58","2.35","2.25","2.46"
"31 Mar 22","2.8","2.38","2.14","2.01","2.22"
"28 Feb 22","2.72","2.03","1.78","1.65","1.87"
"31 Jan 22","2.73","1.95","1.64","1.42","1.74"
"31 Dec 21","2.77","1.95","1.57","1.39","1.71"
"30 Nov 21","2.91","2.02","1.53","1.35","1.74"
"31 Oct 21","2.98","2.04","1.29","1.13","1.68"
"30 Sep 21","3.22","2.16","1.2","1.13","1.8"
"31 Aug 21","3.43","2.48","1.23","1.1","1.99"
"31 Jul 21","3.53","2.79","1.29","1.16","2.16"
"30 Jun 21","3.74","3.09","1.39","1.17","2.37"
"31 May 21","3.88","3.31","1.47","1.21","2.51"
"30 Apr 21","4.01","3.38","1.49","1.24","2.56"
"31 Mar 21","4.16","3.38","1.56","1.29","2.65"
"28 Feb 21","4.1","3.49","1.61","1.3","2.73"
"31 Jan 21","4.16","3.63","1.75","1.33","2.91"
"31 Dec 20","4.2","3.75","1.86","1.35","3.02"
"30 Nov 20","4.2","3.72","1.92","1.4","3.06"
"31 Oct 20","4.13","3.52","1.94","1.49","3"
"30 Sep 20","3.95","3.29","1.75","1.46","2.55"
"31 Aug 20","3.78","2.78","1.6","1.41","2.27"
"31 Jul 20","2.58","2.5","1.45","1.32","2.01"
"30 Jun 20","2.72","2.19","1.41","1.3","1.84"
"31 May 20","3.17","1.96","1.42","1.32","1.76"
"30 Apr 20","3.07","1.89","1.38","1.32","1.64"
"31 Mar 20","3.02","1.94","1.4","1.31","1.69"
"29 Feb 20","3.02","1.97","1.4","1.3","1.69"
