Country,Country Code,Year,Value
France,FRA,1982,45.25238528
United Kingdom,GBR,1982,49.59619591
Italy,ITA,1982,43.50828909
Japan,JPN,1982,26.72291269
United States,USA,1982,17.53681228
Canada,CAN,1983,46.70888359
Spain,ESP,1983,39.76852471
France,FRA,1983,45.13982832
United Kingdom,GBR,1983,50.79554367
Italy,ITA,1983,40.18969388
Japan,JPN,1983,24.51719282
United States,USA,1983,16.66559348
Canada,CAN,1984,52.47669843
Spain,ESP,1984,41.5414303
France,FRA,1984,47.54182991
United Kingdom,GBR,1984,55.38891182
Italy,ITA,1984,42.43566737
Japan,JPN,1984,25.80350093
United States,USA,1984,17.52240742
Canada,CAN,1985,52.84194653
Spain,ESP,1985,40.86662609
France,FRA,1985,47.01651997
United Kingdom,GBR,1985,54.93166392
Italy,ITA,1985,42.63715502
Japan,JPN,1985,24.11126123
United States,USA,1985,16.60390613
Canada,CAN,1986,53.06515011
Spain,ESP,1986,35.34734209
France,FRA,1986,40.88799847
United Kingdom,GBR,1986,50.51014304
Italy,ITA,1986,36.16334691
Japan,JPN,1986,17.79909151
United States,USA,1986,16.89797715
Canada,CAN,1987,50.8663918
Spain,ESP,1987,36.31996002
France,FRA,1987,40.29273946
United Kingdom,GBR,1987,49.87741647
Italy,ITA,1987,35.56260867
Japan,JPN,1987,16.78878462
United States,USA,1987,17.97358098
Canada,CAN,1988,51.36578114
Spain,ESP,1988,36.71348191
France,FRA,1988,41.39221694
United Kingdom,GBR,1988,47.34374237
Italy,ITA,1988,35.11110157
Japan,JPN,1988,16.88851475
United States,USA,1988,19.07010071
Canada,CAN,1989,50.06663401
Spain,ESP,1989,37.38418344
France,FRA,1989,44.00178113
United Kingdom,GBR,1989,48.6599719
Italy,ITA,1989,37.05276938
Japan,JPN,1989,18.54151374
United States,USA,1989,19.41511066
Canada,CAN,1990,49.99446442
Spain,ESP,1990,35.61073324
France,FRA,1990,42.73605519
United Kingdom,GBR,1990,48.23294119
Italy,ITA,1990,36.3217494
Japan,JPN,1990,19.33571373
United States,USA,1990,19.81506735
Canada,CAN,1991,49.22346685
Spain,ESP,1991,35.47854125
France,FRA,1991,42.98368149
United Kingdom,GBR,1991,45.29980693
Italy,ITA,1991,33.8784373
Japan,JPN,1991,17.75945125
United States,USA,1991,19.78644812
Canada,CAN,1992,52.73803094
Spain,ESP,1992,35.97784215
France,FRA,1992,41.99161261
United Kingdom,GBR,1992,46.28974605
Italy,ITA,1992,34.91371162
Japan,JPN,1992,17.01806882
United States,USA,1992,19.9505945
Canada,CAN,1993,58.25079615
Spain,ESP,1993,36.94989398
France,FRA,1993,39.90512372
United Kingdom,GBR,1993,49.73079335
Italy,ITA,1993,37.7592292
Japan,JPN,1993,15.72333913
United States,USA,1993,20.0446187
Canada,CAN,1994,64.39154415
Spain,ESP,1994,41.64447873
France,FRA,1994,41.82623974
United Kingdom,GBR,1994,51.86795702
Italy,ITA,1994,40.45502883
Japan,JPN,1994,15.81030623
United States,USA,1994,21.05545916
Canada,CAN,1995,69.06174808
Spain,ESP,1995,44.77537409
France,FRA,1995,43.64612858
United Kingdom,GBR,1995,50.99577975
Italy,ITA,1995,45.68455417
Japan,JPN,1995,16.39010493
United States,USA,1995,22.45338165
Canada,CAN,1996,70.26007346
Spain,ESP,1996,46.24521926
France,FRA,1996,44.32931981
United Kingdom,GBR,1996,52.24380847
Italy,ITA,1996,42.87869833
Japan,JPN,1996,18.25386823
United States,USA,1996,22.68707199
Canada,CAN,1997,74.33661008
Spain,ESP,1997,51.16625712
France,FRA,1997,48.03349688
United Kingdom,GBR,1997,50.97340585
Italy,ITA,1997,44.58850598
Japan,JPN,1997,19.78351762
United States,USA,1997,23.4283278
Canada,CAN,1998,78.08118536
Spain,ESP,1998,52.66145437
France,FRA,1998,49.50676679
United Kingdom,GBR,1998,49.33645535
Italy,ITA,1998,45.09273823
Japan,JPN,1998,19.00318622
United States,USA,1998,22.82589398
Canada,CAN,1999,80.11502931
Spain,ESP,1999,54.63646695
France,FRA,1999,49.7609206
United Kingdom,GBR,1999,49.6314395
Italy,ITA,1999,44.6207908
Japan,JPN,1999,18.12563072
United States,USA,1999,23.31356973
Canada,CAN,2000,82.76535785
Spain,ESP,2000,60.08233375
France,FRA,2000,55.86124572
United Kingdom,GBR,2000,52.5217306
Italy,ITA,2000,50.40558983
Japan,JPN,2000,19.56237158
United States,USA,2000,25.10298556
Canada,CAN,2001,78.34421839
Spain,ESP,2001,57.99715546
France,FRA,2001,54.95936809
United Kingdom,GBR,2001,52.82161351
Italy,ITA,2001,50.03480463
Japan,JPN,2001,19.55960447
United States,USA,2001,22.96718302
Canada,CAN,2002,75.70703208
Spain,ESP,2002,55.09917924
France,FRA,2002,53.07202476
United Kingdom,GBR,2002,51.37963421
Italy,ITA,2002,48.0579243
Japan,JPN,2002,20.44712207
United States,USA,2002,22.28638421
Canada,CAN,2003,69.84009462
Spain,ESP,2003,53.4636891
France,FRA,2003,50.79783352
United Kingdom,GBR,2003,50.23952305
Italy,ITA,2003,46.14884478
Japan,JPN,2003,21.32612527
United States,USA,2003,22.62729729
Canada,CAN,2004,70.19241999
Spain,ESP,2004,54.52418269
France,FRA,2004,51.92500788
United Kingdom,GBR,2004,50.45171124
Italy,ITA,2004,47.43033039
Japan,JPN,2004,23.66435342
United States,USA,2004,24.44805666
Canada,CAN,2005,69.75913302
Spain,ESP,2005,54.76229758
France,FRA,2005,53.98070678
United Kingdom,GBR,2005,52.68071684
Italy,ITA,2005,49.30101076
Japan,JPN,2005,26.22995458
United States,USA,2005,25.63855734
Canada,CAN,2006,68.05216448
Spain,ESP,2006,56.17713481
France,FRA,2006,56.10342445
United Kingdom,GBR,2006,56.91442748
Italy,ITA,2006,53.16817918
Japan,JPN,2006,30.0163761
United States,USA,2006,26.97528581
Canada,CAN,2007,66.28341975
Spain,ESP,2007,57.74760376
France,FRA,2007,56.42075658
United Kingdom,GBR,2007,52.96435344
Italy,ITA,2007,55.06145563
Japan,JPN,2007,32.81657805
United States,USA,2007,28.01201556
Canada,CAN,2008,67.02360836
Spain,ESP,2008,55.98333004
France,FRA,2008,57.39708289
United Kingdom,GBR,2008,56.69860693
Italy,ITA,2008,54.4928758
Japan,JPN,2008,34.12947654
United States,USA,2008,29.86778753
Canada,CAN,2009,58.47439182
Spain,ESP,2009,46.99487433
France,FRA,2009,50.46245085
United Kingdom,GBR,2009,55.00438403
Italy,ITA,2009,45.41876179
Japan,JPN,2009,24.39016653
United States,USA,2009,24.75952764
Canada,CAN,2010,60.2081215
Spain,ESP,2010,52.92824056
France,FRA,2010,54.86779108
United Kingdom,GBR,2010,59.27277497
Italy,ITA,2010,52.00618837
Japan,JPN,2010,28.49847269
United States,USA,2010,28.21988294
Canada,CAN,2011,62.49873877
Spain,ESP,2011,58.79317104
France,FRA,2011,58.79057642
United Kingdom,GBR,2011,63.56540097
Italy,ITA,2011,55.14552246
Japan,JPN,2011,30.19496073
United States,USA,2011,30.84247858
Canada,CAN,2012,62.59554894
Spain,ESP,2012,60.84507479
France,FRA,2012,59.70205917
United Kingdom,GBR,2012,62.22598273
Italy,ITA,2012,55.65472084
Japan,JPN,2012,30.47091092
United States,USA,2012,30.68183958
Canada,CAN,2013,62.2310749
Spain,ESP,2013,61.97631572
France,FRA,2013,59.76405507
United Kingdom,GBR,2013,61.99911191
Italy,ITA,2013,54.8675794
Japan,JPN,2013,33.97876865
United States,USA,2013,29.94130628
Canada,CAN,2014,64.37866216
Spain,ESP,2014,63.83826195
France,FRA,2014,60.47879652
United Kingdom,GBR,2014,59.09480412
Italy,ITA,2014,55.32211515
Japan,JPN,2014,37.43143457
United States,USA,2014,29.90656934
Canada,CAN,2015,66.16490207
Spain,ESP,2015,64.18320514
France,FRA,2015,61.75169393
United Kingdom,GBR,2015,57.20354969
Italy,ITA,2015,56.41817616
Japan,JPN,2015,35.42740835
United States,USA,2015,27.68821393
Canada,CAN,2016,65.36368452
Spain,ESP,2016,63.73988263
France,FRA,2016,61.10014238
United Kingdom,GBR,2016,59.70039841
Italy,ITA,2016,55.36760281
Japan,JPN,2016,31.31024685
United States,USA,2016,26.45259779
Canada,CAN,2017,65.10106085
Spain,ESP,2017,66.65706087
France,FRA,2017,62.96184729
United Kingdom,GBR,2017,63.12165003
Italy,ITA,2017,58.60417595
Japan,JPN,2017,34.42321357
United States,USA,2017,27.12533822
Canada,CAN,2018,66.59988585
Spain,ESP,2018,67.57494025
France,FRA,2018,64.4379526
United Kingdom,GBR,2018,64.54264825
Italy,ITA,2018,60.30355124
Japan,JPN,2018,36.6099318
United States,USA,2018,27.44535913
Canada,CAN,2019,66.17148528
Spain,ESP,2019,66.87389052
France,FRA,2019,64.14147319
United Kingdom,GBR,2019,64.66513364
Italy,ITA,2019,59.87898022
Japan,JPN,2019,35.21641811
United States,USA,2019,26.27805493
Canada,CAN,2020,61.15677096
Spain,ESP,2020,60.11948061
France,FRA,2020,56.78215677
United Kingdom,GBR,2020,58.77455938
Italy,ITA,2020,55.26570577
Japan,JPN,2020,31.32579312
United States,USA,2020,23.10475333
Canada,CAN,2021,62.42416441
Spain,ESP,2021,67.39129012
France,FRA,2021,61.952314
United Kingdom,GBR,2021,59.34864775
Italy,ITA,2021,62.0679469
Japan,JPN,2021,36.77148329
United States,USA,2021,25.25348466
Canada,CAN,2022,67.55889637
Spain,ESP,2022,80.53650649
France,FRA,2022,73.2498526
United Kingdom,GBR,2022,69.52766202
Italy,ITA,2022,74.64459001
Japan,JPN,2022,46.84373214
United States,USA,2022,27.0400163
Canada,CAN,2023,67.46323886
Spain,ESP,2023,73.78843401
France,FRA,2023,67.57711106
United Kingdom,GBR,2023,65.58738398
Italy,ITA,2023,68.72774382
Japan,JPN,2023,
United States,USA,2023,
