Country,Country Code,Year,Value
France,FRA,1982,23.85369009
United Kingdom,GBR,1982,23.70252566
Italy,ITA,1982,22.38831723
Japan,JPN,1982,13.09306927
United States,USA,1982,9.067079292
Canada,CAN,1983,21.78388668
Spain,ESP,1983,20.69320585
France,FRA,1983,22.70350124
United Kingdom,GBR,1983,24.77115303
Italy,ITA,1983,19.85677886
Japan,JPN,1983,11.50792744
United States,USA,1983,9.043328661
Canada,CAN,1984,24.54013758
Spain,ESP,1984,20.23837064
France,FRA,1984,23.70634909
United Kingdom,GBR,1984,27.56805065
Italy,ITA,1984,21.43105134
Japan,JPN,1984,11.70374106
United States,USA,1984,10.0333291
Canada,CAN,1985,25.29503407
Spain,ESP,1985,20.00188504
France,FRA,1985,23.69217449
United Kingdom,GBR,1985,26.75465507
Italy,ITA,1985,21.5245621
Japan,JPN,1985,10.49188987
United States,USA,1985,9.615833587
Canada,CAN,1986,26.07751173
Spain,ESP,1986,17.15001666
France,FRA,1986,20.50452003
United Kingdom,GBR,1986,25.41408468
Italy,ITA,1986,17.45942582
Japan,JPN,1986,7.098319759
United States,USA,1986,9.888722476
Canada,CAN,1987,24.8629722
Spain,ESP,1987,18.59511725
France,FRA,1987,20.69538764
United Kingdom,GBR,1987,25.26764423
Italy,ITA,1987,17.5785579
Japan,JPN,1987,7.035788819
United States,USA,1987,10.47766165
Canada,CAN,1988,25.31289181
Spain,ESP,1988,19.41069483
France,FRA,1988,21.02549137
United Kingdom,GBR,1988,25.18093658
Italy,ITA,1988,17.5331135
Japan,JPN,1988,7.479299962
United States,USA,1988,10.57957719
Canada,CAN,1989,25.02028801
Spain,ESP,1989,20.78180602
France,FRA,1989,22.3436273
United Kingdom,GBR,1989,26.02679661
Italy,ITA,1989,18.53611086
Japan,JPN,1989,8.606761725
United States,USA,1989,10.47632046
Canada,CAN,1990,24.92016546
Spain,ESP,1990,19.88593508
France,FRA,1990,21.76032181
United Kingdom,GBR,1990,24.91137633
Italy,ITA,1990,18.0623119
Japan,JPN,1990,9.285617818
United States,USA,1990,10.56033529
Canada,CAN,1991,24.87015032
Spain,ESP,1991,19.71782143
France,FRA,1991,21.64879707
United Kingdom,GBR,1991,22.71207008
Italy,ITA,1991,16.84242795
Japan,JPN,1991,8.143276541
United States,USA,1991,10.125543
Canada,CAN,1992,26.53889838
Spain,ESP,1992,19.79029323
France,FRA,1992,20.66105326
United Kingdom,GBR,1992,23.37414895
Italy,ITA,1992,17.43452167
Japan,JPN,1992,7.499783799
United States,USA,1992,10.2416796
Canada,CAN,1993,29.10819678
Spain,ESP,1993,19.24100637
France,FRA,1993,19.11254431
United Kingdom,GBR,1993,24.90745252
Italy,ITA,1993,17.36013312
Japan,JPN,1993,6.809425135
United States,USA,1993,10.49743831
Canada,CAN,1994,31.60995591
Spain,ESP,1994,21.3333433
France,FRA,1994,20.16591701
United Kingdom,GBR,1994,25.79910547
Italy,ITA,1994,18.58394036
Japan,JPN,1994,6.970479106
United States,USA,1994,11.16231175
Canada,CAN,1995,32.9636938
Spain,ESP,1995,22.94827481
France,FRA,1995,21.02320252
United Kingdom,GBR,1995,25.21515064
Italy,ITA,1995,21.01206464
Japan,JPN,1995,7.573634501
United States,USA,1995,11.81415777
Canada,CAN,1996,33.16163352
Spain,ESP,1996,23.21285847
France,FRA,1996,21.27367508
United Kingdom,GBR,1996,25.88261668
Italy,ITA,1996,19.17401611
Japan,JPN,1996,8.938123142
United States,USA,1996,11.94043643
Canada,CAN,1997,36.20363989
Spain,ESP,1997,25.49646811
France,FRA,1997,22.51030147
United Kingdom,GBR,1997,25.20439897
Italy,ITA,1997,20.43871543
Japan,JPN,1997,9.399821984
United States,USA,1997,12.30857009
Canada,CAN,1998,38.0520106
Spain,ESP,1998,26.55950704
France,FRA,1998,23.38027481
United Kingdom,GBR,1998,24.90683535
Italy,ITA,1998,21.02978594
Japan,JPN,1998,8.629380124
United States,USA,1998,12.31063145
Canada,CAN,1999,38.25384431
Spain,ESP,1999,28.28495794
France,FRA,1999,23.68438521
United Kingdom,GBR,1999,25.32609696
Italy,ITA,1999,21.42004911
Japan,JPN,1999,8.320091715
United States,USA,1999,13.00423251
Canada,CAN,2000,38.55612203
Spain,ESP,2000,31.51897581
France,FRA,2000,27.26627147
United Kingdom,GBR,2000,26.86190895
Italy,ITA,2000,24.77785773
Japan,JPN,2000,9.098877381
United States,USA,2000,14.41021283
Canada,CAN,2001,36.3042633
Spain,ESP,2001,30.1355363
France,FRA,2001,26.69347289
United Kingdom,GBR,2001,27.27444847
Italy,ITA,2001,24.38579296
Japan,JPN,2001,9.482804509
United States,USA,2001,13.26373481
Canada,CAN,2002,35.64837348
Spain,ESP,2002,28.54518432
France,FRA,2002,25.5409745
United Kingdom,GBR,2002,26.86927321
Italy,ITA,2002,23.65045696
Japan,JPN,2002,9.591676459
United States,USA,2002,13.15499856
Canada,CAN,2003,32.97410942
Spain,ESP,2003,27.83478298
France,FRA,2003,24.68586455
United Kingdom,GBR,2003,26.18303249
Italy,ITA,2003,22.84665187
Japan,JPN,2003,9.860323691
United States,USA,2003,13.59164488
Canada,CAN,2004,32.86464868
Spain,ESP,2004,29.11219787
France,FRA,2004,25.45617156
United Kingdom,GBR,2004,26.37942232
Italy,ITA,2004,23.42050197
Japan,JPN,2004,10.8780888
United States,USA,2004,14.81930878
Canada,CAN,2005,32.90242569
Spain,ESP,2005,29.78302854
France,FRA,2005,26.94765573
United Kingdom,GBR,2005,27.40920637
Italy,ITA,2005,24.69991838
Japan,JPN,2005,12.41405886
United States,USA,2005,15.65650093
Canada,CAN,2006,32.64970526
Spain,ESP,2006,30.93583231
France,FRA,2006,28.16836936
United Kingdom,GBR,2006,29.40229804
Italy,ITA,2006,26.99469075
Japan,JPN,2006,14.35900205
United States,USA,2006,16.3338963
Canada,CAN,2007,32.05386458
Spain,ESP,2007,31.76286494
France,FRA,2007,28.56749907
United Kingdom,GBR,2007,27.45279312
Italy,ITA,2007,27.70041338
Japan,JPN,2007,15.52745068
United States,USA,2007,16.54822627
Canada,CAN,2008,32.62860281
Spain,ESP,2008,30.35940087
France,FRA,2008,29.27769803
United Kingdom,GBR,2008,29.19264558
Italy,ITA,2008,27.6301011
Japan,JPN,2008,16.89393316
United States,USA,2008,17.4419436
Canada,CAN,2009,29.95855751
Spain,ESP,2009,23.93318015
France,FRA,2009,25.62690364
United Kingdom,GBR,2009,28.122833
Italy,ITA,2009,23.01960005
Japan,JPN,2009,11.97060079
United States,USA,2009,13.82730858
Canada,CAN,2010,31.04073957
Spain,ESP,2010,26.97656121
France,FRA,2010,28.07949124
United Kingdom,GBR,2010,30.4160323
Italy,ITA,2010,26.93213852
Japan,JPN,2010,13.57996924
United States,USA,2010,15.87852751
Canada,CAN,2011,31.82034685
Spain,ESP,2011,29.25820883
France,FRA,2011,30.36923895
United Kingdom,GBR,2011,32.17780692
Italy,ITA,2011,28.27305899
Japan,JPN,2011,15.42049847
United States,USA,2011,17.27901479
Canada,CAN,2012,32.24252342
Spain,ESP,2012,29.38995484
France,FRA,2012,30.49903198
United Kingdom,GBR,2012,31.6074143
Italy,ITA,2012,27.27547801
Japan,JPN,2012,16.0561363
United States,USA,2012,17.03778831
Canada,CAN,2013,31.89913623
Spain,ESP,2013,29.02436324
France,FRA,2013,30.39931721
United Kingdom,GBR,2013,31.70968714
Italy,ITA,2013,26.23433632
Japan,JPN,2013,18.19461192
United States,USA,2013,16.3878144
Canada,CAN,2014,32.64208628
Spain,ESP,2014,30.37028572
France,FRA,2014,30.81211202
United Kingdom,GBR,2014,30.51858939
Italy,ITA,2014,26.21328696
Japan,JPN,2014,20.01277922
United States,USA,2014,16.39835512
Canada,CAN,2015,34.3149411
Spain,ESP,2015,30.57234448
France,FRA,2015,31.15907156
United Kingdom,GBR,2015,29.35759902
Italy,ITA,2015,26.70219379
Japan,JPN,2015,17.99064852
United States,USA,2015,15.2770653
Canada,CAN,2016,33.86111211
Spain,ESP,2016,29.87742503
France,FRA,2016,30.8526052
United Kingdom,GBR,2016,30.79805889
Italy,ITA,2016,26.03971207
Japan,JPN,2016,15.25227761
United States,USA,2016,14.56443856
Canada,CAN,2017,33.6466507
Spain,ESP,2017,31.52649653
France,FRA,2017,32.01321411
United Kingdom,GBR,2017,32.231299
Italy,ITA,2017,27.87044263
Japan,JPN,2017,16.83177447
United States,USA,2017,14.9478572
Canada,CAN,2018,34.27448212
Spain,ESP,2018,32.42987759
France,FRA,2018,32.72428539
United Kingdom,GBR,2018,32.96253689
Italy,ITA,2018,28.94999704
Japan,JPN,2018,18.2949862
United States,USA,2018,15.15824837
Canada,CAN,2019,33.81878946
Spain,ESP,2019,31.9669887
France,FRA,2019,32.54941778
United Kingdom,GBR,2019,33.03035336
Italy,ITA,2019,28.2765605
Japan,JPN,2019,17.75289168
United States,USA,2019,14.48304815
Canada,CAN,2020,31.68312373
Spain,ESP,2020,29.34022037
France,FRA,2020,29.4544212
United Kingdom,GBR,2020,29.08256855
Italy,ITA,2020,25.83342874
Japan,JPN,2020,15.79727763
United States,USA,2020,13.02119547
Canada,CAN,2021,31.20781146
Spain,ESP,2021,33.21486718
France,FRA,2021,31.91731965
United Kingdom,GBR,2021,29.75133522
Italy,ITA,2021,29.95503241
Japan,JPN,2021,18.64600665
United States,USA,2021,14.44550531
Canada,CAN,2022,33.71384881
Spain,ESP,2022,39.66244224
France,FRA,2022,38.56345288
United Kingdom,GBR,2022,36.09720106
Italy,ITA,2022,38.13718836
Japan,JPN,2022,25.30200902
United States,USA,2022,15.40610768
Canada,CAN,2023,33.92683079
Spain,ESP,2023,34.83246676
France,FRA,2023,34.89768471
United Kingdom,GBR,2023,33.41473199
Italy,ITA,2023,33.67320017
Japan,JPN,2023,
United States,USA,2023,
