ITL125CD,ITL125NM,ITL225CD,ITL225NM,ITL325CD,ITL325NM,LAU125CD,LAU125NM,LAD24CD,LAD24NM,ObjectId
TLC,North East (England),TLC3,Tees Valley,TLC31,Hartlepool and Stockton-on-Tees,E06000001,Hartlepool,E06000001,Hartlepool,1
TLC,North East (England),TLC3,Tees Valley,TLC31,Hartlepool and Stockton-on-Tees,E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,2
TLC,North East (England),TLC3,Tees Valley,TLC32,South Teesside,E06000002,Middlesbrough,E06000002,Middlesbrough,3
TLC,North East (England),TLC3,Tees Valley,TLC32,South Teesside,E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,4
TLC,North East (England),TLC3,Tees Valley,TLC33,Darlington,E06000005,Darlington,E06000005,Darlington,5
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC41,Durham,E06000047,County Durham,E06000047,County Durham,6
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC42,Northumberland,E06000057,Northumberland,E06000057,Northumberland,7
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E08000021,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,8
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E08000022,North Tyneside,E08000022,North Tyneside,9
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E08000023,South Tyneside,E08000023,South Tyneside,10
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC43,Tyneside,E08000037,Gateshead,E08000037,Gateshead,11
TLC,North East (England),TLC4,"Northumberland, Durham and Tyne & Wear",TLC44,Sunderland,E08000024,Sunderland,E08000024,Sunderland,12
TLD,North West (England),TLD1,Cumbria,TLD13,Cumberland,E06000063,Cumberland,E06000063,Cumberland,13
TLD,North West (England),TLD1,Cumbria,TLD14,Westmorland and Furness,E06000064,Westmorland and Furness,E06000064,Westmorland and Furness,14
TLD,North West (England),TLD3,Greater Manchester,TLD33,Manchester,E08000003,Manchester,E08000003,Manchester,15
TLD,North West (England),TLD3,Greater Manchester,TLD34,Greater Manchester South West,E08000006,Salford,E08000006,Salford,16
TLD,North West (England),TLD3,Greater Manchester,TLD34,Greater Manchester South West,E08000009,Trafford,E08000009,Trafford,17
TLD,North West (England),TLD3,Greater Manchester,TLD35,Greater Manchester South East,E08000007,Stockport,E08000007,Stockport,18
TLD,North West (England),TLD3,Greater Manchester,TLD35,Greater Manchester South East,E08000008,Tameside,E08000008,Tameside,19
TLD,North West (England),TLD3,Greater Manchester,TLD36,Greater Manchester North West,E08000001,Bolton,E08000001,Bolton,20
TLD,North West (England),TLD3,Greater Manchester,TLD36,Greater Manchester North West,E08000010,Wigan,E08000010,Wigan,21
TLD,North West (England),TLD3,Greater Manchester,TLD37,Greater Manchester North East,E08000002,Bury,E08000002,Bury,22
TLD,North West (England),TLD3,Greater Manchester,TLD37,Greater Manchester North East,E08000004,Oldham,E08000004,Oldham,23
TLD,North West (England),TLD3,Greater Manchester,TLD37,Greater Manchester North East,E08000005,Rochdale,E08000005,Rochdale,24
TLD,North West (England),TLD4,Lancashire,TLD41,Blackburn with Darwen,E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,25
TLD,North West (England),TLD4,Lancashire,TLD42,Blackpool,E06000009,Blackpool,E06000009,Blackpool,26
TLD,North West (England),TLD4,Lancashire,TLD44,Lancaster and Wyre,E07000121,Lancaster,E07000121,Lancaster,27
TLD,North West (England),TLD4,Lancashire,TLD44,Lancaster and Wyre,E07000128,Wyre,E07000128,Wyre,28
TLD,North West (England),TLD4,Lancashire,TLD45,Mid Lancashire,E07000119,Fylde,E07000119,Fylde,29
TLD,North West (England),TLD4,Lancashire,TLD45,Mid Lancashire,E07000123,Preston,E07000123,Preston,30
TLD,North West (England),TLD4,Lancashire,TLD45,Mid Lancashire,E07000124,Ribble Valley,E07000124,Ribble Valley,31
TLD,North West (England),TLD4,Lancashire,TLD45,Mid Lancashire,E07000126,South Ribble,E07000126,South Ribble,32
TLD,North West (England),TLD4,Lancashire,TLD46,East Lancashire,E07000117,Burnley,E07000117,Burnley,33
TLD,North West (England),TLD4,Lancashire,TLD46,East Lancashire,E07000120,Hyndburn,E07000120,Hyndburn,34
TLD,North West (England),TLD4,Lancashire,TLD46,East Lancashire,E07000122,Pendle,E07000122,Pendle,35
TLD,North West (England),TLD4,Lancashire,TLD46,East Lancashire,E07000125,Rossendale,E07000125,Rossendale,36
TLD,North West (England),TLD4,Lancashire,TLD47,Chorley and West Lancashire,E07000118,Chorley,E07000118,Chorley,37
TLD,North West (England),TLD4,Lancashire,TLD47,Chorley and West Lancashire,E07000127,West Lancashire,E07000127,West Lancashire,38
TLD,North West (England),TLD6,Cheshire,TLD61,Warrington,E06000007,Warrington,E06000007,Warrington,39
TLD,North West (England),TLD6,Cheshire,TLD62,Cheshire East,E06000049,Cheshire East,E06000049,Cheshire East,40
