date,value,source
2000-01-01,420,"ONS, Labour Market Survey. Average Weekly Earnings, Whole Economy Real Terms Level, SA"
2000-02-01,411,
2000-03-01,425,
2000-04-01,423,
2000-05-01,426,
2000-06-01,425,
2000-07-01,427,
2000-08-01,430,
2000-09-01,431,
2000-10-01,431,
2000-11-01,433,
2000-12-01,438,
2001-01-01,438,
2001-02-01,441,
2001-03-01,439,
2001-04-01,441,
2001-05-01,439,
2001-06-01,440,
2001-07-01,441,
2001-08-01,443,
2001-09-01,443,
2001-10-01,445,
2001-11-01,446,
2001-12-01,447,
2002-01-01,445,
2002-02-01,446,
2002-03-01,443,
2002-04-01,449,
2002-05-01,449,
2002-06-01,451,
2002-07-01,452,
2002-08-01,451,
2002-09-01,451,
2002-10-01,451,
2002-11-01,452,
2002-12-01,451,
2003-01-01,447,
2003-02-01,449,
2003-03-01,455,
2003-04-01,454,
2003-05-01,456,
2003-06-01,457,
2003-07-01,459,
2003-08-01,460,
2003-09-01,462,
2003-10-01,463,
2003-11-01,463,
2003-12-01,464,
2004-01-01,473,
2004-02-01,457,
2004-03-01,467,
2004-04-01,468,
2004-05-01,468,
2004-06-01,469,
2004-07-01,470,
2004-08-01,473,
2004-09-01,475,
2004-10-01,477,
2004-11-01,476,
2004-12-01,476,
2005-01-01,484,
2005-02-01,474,
2005-03-01,476,
2005-04-01,479,
2005-05-01,481,
2005-06-01,480,
2005-07-01,482,
2005-08-01,486,
2005-09-01,486,
2005-10-01,486,
2005-11-01,488,
2005-12-01,487,
2006-01-01,488,
2006-02-01,490,
2006-03-01,494,
2006-04-01,489,
2006-05-01,491,
2006-06-01,494,
2006-07-01,493,
2006-08-01,491,
2006-09-01,492,
2006-10-01,495,
2006-11-01,496,
2006-12-01,500,
2007-01-01,504,
2007-02-01,509,
2007-03-01,503,
2007-04-01,496,
2007-05-01,502,
2007-06-01,503,
2007-07-01,506,
2007-08-01,507,
2007-09-01,509,
2007-10-01,506,
2007-11-01,508,
2007-12-01,504,
2008-01-01,510,
2008-02-01,515,
2008-03-01,515,
2008-04-01,505,
2008-05-01,506,
2008-06-01,502,
2008-07-01,502,
2008-08-01,501,
2008-09-01,499,
2008-10-01,502,
2008-11-01,500,
2008-12-01,501,
2009-01-01,489,
2009-02-01,470,
2009-03-01,496,
2009-04-01,500,
2009-05-01,499,
2009-06-01,499,
2009-07-01,497,
2009-08-01,497,
2009-09-01,498,
2009-10-01,497,
2009-11-01,497,
2009-12-01,496,
2010-01-01,489,
2010-02-01,501,
2010-03-01,496,
2010-04-01,494,
2010-05-01,495,
2010-06-01,492,
2010-07-01,492,
2010-08-01,493,
2010-09-01,495,
2010-10-01,494,
2010-11-01,493,
2010-12-01,492,
2011-01-01,495,
2011-02-01,492,
2011-03-01,491,
2011-04-01,486,
2011-05-01,487,
2011-06-01,489,
2011-07-01,487,
2011-08-01,484,
2011-09-01,482,
2011-10-01,483,
2011-11-01,483,
2011-12-01,483,
2012-01-01,481,
2012-02-01,481,
2012-03-01,481,
2012-04-01,482,
2012-05-01,482,
2012-06-01,484,
2012-07-01,483,
2012-08-01,483,
2012-09-01,481,
