region,LA_name,value
Wales,Cardiff,1.090839972
Wales,Newport,0.544569447
Wales,Rhondda Cynon Taf,0.403084292
Wales,Caerphilly,0.228058588
Wales,Swansea,0.214260819
Scotland,Glasgow City,0.446014871
Scotland,City of Edinburgh,0.409342581
Scotland,Aberdeen City,0.226104256
Scotland,North Lanarkshire,0.186492627
Scotland,West Lothian,0.154012237
England,Westminster,18.29672562
England,Hillingdon,12.22389111
England,City of London,12.03520302
England,Hounslow,10.9560833
England,Camden,10.94265597
