"Title","BoP: trade in goods balance as per cent of GDP"
"CDID","D28J"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit",""
"Release date","28-03-2024"
"Next release","28 June 2024"
"Important notes",
"1997 Q2","-2.0"
"1997 Q3","-1.7"
"1997 Q4","-1.8"
"1998 Q1","-2.1"
"1998 Q2","-2.6"
"1998 Q3","-2.8"
"1998 Q4","-2.9"
"1999 Q1","-3.4"
"1999 Q2","-3.1"
"1999 Q3","-3.1"
"1999 Q4","-3.2"
"2000 Q1","-3.1"
"2000 Q2","-3.3"
"2000 Q3","-4.1"
"2000 Q4","-3.9"
"2001 Q1","-3.9"
"2001 Q2","-4.5"
"2001 Q3","-4.3"
"2001 Q4","-4.2"
"2002 Q1","-4.2"
"2002 Q2","-4.4"
"2002 Q3","-4.6"
"2002 Q4","-5.1"
"2003 Q1","-4.2"
"2003 Q2","-4.4"
"2003 Q3","-4.6"
"2003 Q4","-5.0"
"2004 Q1","-5.1"
"2004 Q2","-5.1"
"2004 Q3","-5.1"
"2004 Q4","-5.1"
"2005 Q1","-5.3"
"2005 Q2","-5.1"
"2005 Q3","-5.4"
"2005 Q4","-5.3"
"2006 Q1","-5.6"
"2006 Q2","-5.3"
"2006 Q3","-5.8"
"2006 Q4","-5.7"
"2007 Q1","-6.1"
"2007 Q2","-5.5"
"2007 Q3","-6.5"
"2007 Q4","-6.2"
"2008 Q1","-6.0"
"2008 Q2","-6.3"
"2008 Q3","-6.0"
"2008 Q4","-5.9"
"2009 Q1","-5.9"
"2009 Q2","-5.7"
"2009 Q3","-5.8"
"2009 Q4","-5.6"
"2010 Q1","-5.6"
"2010 Q2","-5.8"
"2010 Q3","-6.6"
"2010 Q4","-6.7"
"2011 Q1","-4.9"
"2011 Q2","-6.9"
"2011 Q3","-7.1"
"2011 Q4","-6.0"
"2012 Q1","-5.9"
"2012 Q2","-7.3"
"2012 Q3","-6.6"
"2012 Q4","-6.4"
"2013 Q1","-6.3"
"2013 Q2","-7.2"
"2013 Q3","-6.9"
"2013 Q4","-7.6"
"2014 Q1","-6.6"
"2014 Q2","-6.3"
"2014 Q3","-7.2"
"2014 Q4","-8.0"
"2015 Q1","-7.4"
"2015 Q2","-5.8"
"2015 Q3","-6.4"
"2015 Q4","-6.6"
"2016 Q1","-6.6"
"2016 Q2","-6.5"
"2016 Q3","-8.1"
"2016 Q4","-6.8"
"2017 Q1","-6.7"
"2017 Q2","-6.7"
"2017 Q3","-7.1"
"2017 Q4","-6.5"
"2018 Q1","-6.5"
"2018 Q2","-6.3"
"2018 Q3","-6.3"
"2018 Q4","-7.1"
"2019 Q1","-9.5"
"2019 Q2","-6.8"
"2019 Q3","-6.1"
"2019 Q4","-3.6"
"2020 Q1","-5.4"
"2020 Q2","-2.8"
"2020 Q3","-6.3"
"2020 Q4","-9.3"
"2021 Q1","-7.6"
"2021 Q2","-5.9"
"2021 Q3","-8.3"
"2021 Q4","-6.8"
"2022 Q1","-11.1"
"2022 Q2","-9.8"
"2022 Q3","-7.8"
"2022 Q4","-6.1"
"2023 Q1","-7.6"
"2023 Q2","-7.1"
"2023 Q3","-6.6"
"2023 Q4","-6.5"
