,date,dollar_index,bra_index,arg_index
1,01/01/1994,93.89489175,109.9503682,NA
2,01/02/1994,93.33233305,108.4694204,NA
3,01/03/1994,93.33305243,109.1658662,NA
4,01/04/1994,93.19236137,108.4454051,NA
5,01/05/1994,92.40854053,108.245277,NA
6,01/06/1994,92.08790057,109.3980147,NA
7,01/07/1994,90.73576595,103.2020493,NA
8,01/08/1994,90.46979921,108.3173231,NA
9,01/09/1994,89.43439932,113.2084534,NA
10,01/10/1994,88.69959941,117.7473583,NA
11,01/11/1994,88.88818092,121.9100224,NA
12,01/12/1994,90.56527181,124.0073647,NA
13,01/01/1995,92.06323596,126.0566763,NA
14,01/02/1995,91.36974926,126.9052193,NA
15,01/03/1995,90.21328724,119.1402498,NA
16,01/04/1995,87.10349066,117.0429075,NA
17,01/05/1995,86.6342464,121.5257765,NA
18,01/06/1995,86.56703533,121.5017611,NA
19,01/07/1995,86.37639843,122.2382325,NA
20,01/08/1995,88.3076376,123.831252,NA
21,01/09/1995,89.20604612,124.415626,NA
22,01/10/1995,89.08436736,124.1594621,NA
23,01/11/1995,89.86459128,126.0006404,NA
24,01/12/1995,90.1005494,127.7857829,NA
25,01/01/1996,90.72302257,128.7864233,NA
26,01/02/1996,90.62857765,128.9865514,NA
27,01/03/1996,90.69476103,128.5302594,NA
28,01/04/1996,90.71449272,129.6990074,NA
29,01/05/1996,90.96011116,130.8517451,NA
30,01/06/1996,91.24539851,131.6282421,NA
31,01/07/1996,91.15516713,131.7723343,NA
32,01/08/1996,90.53906566,130.5635607,NA
33,01/09/1996,90.95867239,130.323407,NA
34,01/10/1996,91.44127664,130.1873199,NA
35,01/11/1996,90.98857823,129.2747358,NA
36,01/12/1996,91.55247294,129.9391611,NA
37,01/01/1997,92.33403285,131.8123599,NA
38,01/02/1997,93.92428375,133.4133846,NA
39,01/03/1997,94.86544426,133.6615434,NA
40,01/04/1997,95.23150822,134.4300352,NA
41,01/05/1997,94.11122096,133.2292667,NA
42,01/06/1997,93.65913916,132.9811079,NA
43,01/07/1997,94.71252366,133.7495997,NA
44,01/08/1997,96.30637149,134.3419789,NA
45,01/09/1997,96.55497023,132.8850464,NA
46,01/10/1997,97.234172,131.948447,NA
47,01/11/1997,98.65557307,131.8123599,NA
48,01/12/1997,102.1139628,134.8222863,NA
49,01/01/1998,104.9350807,136.9916747,NA
50,01/02/1998,103.169711,135.3986551,NA
51,01/03/1998,102.8306754,134.7582453,NA
52,01/04/1998,102.5477517,133.5414665,NA
53,01/05/1998,103.3467824,133.181236,NA
54,01/06/1998,105.571736,133.5654819,NA
55,01/07/1998,105.8839489,132.6769132,NA
56,01/08/1998,107.5384305,131.3320525,NA
57,01/09/1998,105.6848849,127.7537624,NA
58,01/10/1998,102.713724,124.0794108,NA
59,01/11/1998,102.365953,124.0634006,NA
60,01/12/1998,101.4441131,122.6144733,NA
61,01/01/1999,101.5085494,98.36695485,NA
62,01/02/1999,102.7596618,78.92251041,NA
63,01/03/1999,103.884471,81.45212936,NA
64,01/04/1999,103.7948562,91.55459494,NA
65,01/05/1999,103.5146045,92.98751201,NA
66,01/06/1999,103.9545596,89.42523215,NA
67,01/07/1999,104.2361472,88.64073007,NA
68,01/08/1999,103.2166766,84.18988152,NA
69,01/09/1999,102.7911092,83.61351265,NA
70,01/10/1999,102.3103548,80.99583734,NA
71,01/11/1999,102.6060219,84.0778098,NA
