name,gdp,id
Connecticut,294028,9
Maine,77477,23
Massachusetts,633618,25
New Hampshire,96501,33
Rhode Island,65281,44
Vermont,36041,50
Delaware,79653,10
District of Columbia,148020,11
Maryland,432193,24
New Jersey,678968,34
New York,1834561,36
Pennsylvania,818529,42
Illinois,895343,17
Indiana,419473,18
Michigan,566033,26
Ohio,727262,39
Wisconsin,354076,55
Iowa,201097,19
Kansas,185721,20
Minnesota,395307,27
Missouri,356653,29
Nebraska,145909,31
North Dakota,59916,38
South Dakota,57498,46
Alabama,252665,1
Arkansas,148208,5
Florida,1339619,12
Georgia,701073,13
Kentucky,229885,21
Louisiana,256422,22
Mississippi,122438,28
North Carolina,661948,37
South Carolina,273325,45
Tennessee,432266,47
Virginia,616058,51
West Virginia,83654,54
Arizona,433763,4
New Mexico,112801,35
Oklahoma,212784,40
Texas,2172369,48
Colorado,445302,8
Idaho,99603,16
Montana,58520,30
Utah,235716,49
Wyoming,40516,56
California,3365083,6
Nevada,200921,32
Oregon,265147,41
Washington,702034,53
