Date,Country,Close
2025-01-20,US,8402.0
2025-01-21,US,8420.2998046875
2025-01-22,US,8429.7998046875
2025-01-23,US,8378.7001953125
2025-01-24,US,8408.900390625
2025-01-27,US,
2025-01-28,US,8399.099609375
2025-01-29,US,8447.0
2025-01-30,US,8550.099609375
2025-01-31,US,8532.2998046875
2025-02-03,US,8379.400390625
2025-02-04,US,8374.0
2025-02-05,US,8416.900390625
2025-02-06,US,8520.7001953125
2025-02-07,US,8511.400390625
2025-02-10,US,8482.7998046875
2025-02-11,US,8484.0
2025-02-12,US,8535.2998046875
2025-02-13,US,8540.0
2025-02-14,US,8555.7998046875
2025-02-17,US,8505.7998046875
2025-02-18,US,8481.0
2025-02-19,US,8419.2001953125
2025-02-20,US,8322.7998046875
2025-02-21,US,8296.2001953125
2025-02-24,US,8308.2001953125
2025-02-25,US,8251.900390625
2025-02-26,US,8240.7001953125
2025-02-27,US,8268.2001953125
2025-02-28,US,8172.39990234375
2025-03-03,US,8245.7001953125
2025-03-04,US,8198.099609375
2025-03-05,US,8141.10009765625
2025-03-06,US,8094.7001953125
2025-03-07,US,7948.2001953125
2025-03-10,US,7962.2998046875
2025-03-11,US,7890.10009765625
2025-03-12,US,7786.2001953125
2025-03-13,US,7749.10009765625
2025-03-14,US,7789.7001953125
2025-03-17,US,7854.10009765625
2025-03-18,US,7860.39990234375
2025-03-19,US,7828.2998046875
2025-03-20,US,7918.89990234375
2025-03-21,US,7931.2001953125
2025-03-24,US,7936.89990234375
2025-03-25,US,7942.5
2025-03-26,US,7999.0
2025-03-27,US,7969.0
2025-03-28,US,7982.0
2025-03-31,US,7843.39990234375
2025-04-01,US,7925.2001953125
2025-04-02,US,7934.5
2025-04-03,US,7859.7001953125
2025-01-20,Germany,122543.0
2025-01-21,Germany,123338.0
2025-01-22,Germany,122972.0
2025-01-23,Germany,122483.0
2025-01-24,Germany,122447.0
2025-01-27,Germany,124862.0
2025-01-28,Germany,124056.0
2025-01-29,Germany,123432.0
2025-01-30,Germany,126913.0
2025-01-31,Germany,126135.0
2025-02-03,Germany,125970.0
2025-02-04,Germany,125147.0
2025-02-05,Germany,125534.0
2025-02-06,Germany,126225.0
2025-02-07,Germany,124619.0
2025-02-10,Germany,125572.0
2025-02-11,Germany,126522.0
2025-02-12,Germany,124380.0
2025-02-13,Germany,124850.0
2025-02-14,Germany,128219.0
2025-02-17,Germany,128869.0
2025-02-18,Germany,128532.0
2025-02-19,Germany,127309.0
2025-02-20,Germany,127601.0
2025-02-21,Germany,127128.0
2025-02-24,Germany,125401.0
2025-02-25,Germany,125980.0
2025-02-26,Germany,124769.0
2025-02-27,Germany,124799.0
2025-02-28,Germany,122799.0
2025-03-03,Germany,
2025-03-04,Germany,
2025-03-05,Germany,123047.0
2025-03-06,Germany,123358.0
2025-03-07,Germany,125035.0
2025-03-10,Germany,124519.0
2025-03-11,Germany,123507.0
2025-03-12,Germany,123864.0
2025-03-13,Germany,125637.0
2025-03-14,Germany,128957.0
2025-03-17,Germany,130834.0
2025-03-18,Germany,131475.0
2025-03-19,Germany,132508.0
2025-03-20,Germany,131955.0
2025-03-21,Germany,132345.0
2025-03-24,Germany,131321.0
2025-03-25,Germany,132068.0
2025-03-26,Germany,132520.0
2025-03-27,Germany,133149.0
2025-03-28,Germany,131902.0
2025-03-31,Germany,130260.0
2025-04-01,Germany,131147.0
2025-04-02,Germany,131190.0
2025-04-03,Germany,131141.0
2025-01-20,Japan,7733.5
2025-01-21,Japan,7770.9501953125
