"Government revenue, percent of GDP (% of GDP)",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.0709219,18.46545113,18.31487326,15.72559325,18.47340411,22.90947437,20.24905506,22.28060047,21.3063026,22.34519108,22.03417458,24.06458709,26.72257716,35.79571218,29.39620162,33.32367122,39.34294336,40.30309646,39.189017,38.31719125,36.46488849,33.1039736,34.80477376,38.1187423,36.13141419,31.7274418,36.22969277,39.38666366
El Salvador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.26445141,16.22996356,16.46324137,17.09211073,17.9659035,18.38701181,18.33258226,16.65239965,16.34757198,16.56795924,17.51728691,16.73026648,17.00525892,18.3962428,18.73796431,18.95584433,19.99589997,20.50306406,20.7477895,19.31237011,20.62442778,20.80538203,23.5747792,24.03734263,23.59084284,23.47545015,24.35743747,25.23529595,24.55696105,24.13766678,24.50702124,25.78722465,25.76962096
Equatorial Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.0315861,21.68447847,25.03794992,19.45229287,40.62567411,52.74607124,48.48093257,37.2711838,38.37133814,22.53184166,18.08546201,16.58753544,17.96620566,27.43564154,18.49486137,19.97800662,28.38541611,28.84865252,21.56489365,24.63759575,32.66875371,39.88759507,36.84891604,34.50643462,33.37252018,26.64585391,28.32707657,27.96091093,24.87031319,24.0569326,26.47369179,16.90155888,17.47956642,19.88412133,18.62291685,14.39456225,15.30036451,30.78807927
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.15869496,37.59855436,38.67449461,39.43856468,37.12970839,36.15107083,35.01168525,36.13848142,36.68810945,36.32591795,34.74341764,36.18540585,36.29182207,36.52487395,42.96358017,39.79760588,37.97143258,38.49045845,38.15186296,38.01891593,39.13734871,38.4424773,38.20987097,38.13792047,39.24585235,39.45131041,39.39230741,38.68689522
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.4176929,15.47078705,18.21287558,16.52058794,17.90632553,17.86758206,16.52239722,18.75086588,19.98518312,21.02699039,23.01313585,22.20149283,21.3303008,19.22988391,19.39518009,20.13997701,20.90723008,22.05044337,22.41481772,23.837052,22.84638519,22.65401182,22.1330999,23.0696924,26.2100803,26.5272936,35.18198486,31.80452973,33.98637741,29.96488657,21.08691299,20.64123082,29.5676555,28.50460502,28.80455733,27.60256646,25.24933704,28.22967667,25.06757166,27.32312747,28.91022601,24.85019427,23.26795226
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.93307143,11.98808319,12.80845319,13.66029224,15.13192353,14.98651949,15.86534433,14.83670548,18.08719546,19.68655991,13.99807778,11.3210115,9.312853058,9.651599405,12.23900614,14.63253006,14.86136413,16.1761782,17.48436848,18.27016082,16.71793093,18.67766681,19.10531508,21.44947759,20.497795,18.76773956,18.27909542,16.95398912,15.87368065,16.1806583,17.16248427,16.6210024,15.47630183,15.82525775,14.90141568,15.37866765,15.61251447,14.74335028,13.07028981,12.81935619,11.70494837,11.03076308,8.538085268
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.85951414,24.79603585,24.6606564,24.28746332,23.75714534,24.73547936,33.11348819,25.76535348,22.84381293,22.48782284,24.43928343,23.27913706,23.71278364,22.85595712,24.63863019,23.80476352,24.18364742,23.3282654,24.25291731,25.78444351,25.33385041,25.83025649,26.7052297,26.7008241,26.38308354,26.01935244,28.10198049,26.77861866,23.54993076,20.68926947,21.36223434
Finland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.058819771,7.254899979,7.450980186,7.599999905,8.163269997,7.5,6.86274004,6.785709858,6.333330154,6.349209785,7.377049923,6.774189949,6.71875,6.96969986,6.805550098,6.375,6.25,6.444449902,6.288660049,9.787229538,10.1086998,9.900989532,9.903849602,9.724769592,10.51720047,10.81299973,11.52000046,11.16279984,11.42860031,11.20569992,11.25,11.3125,10.70059967,11.21389961,12.51029968,11.67109966,8.703700066,12.10960007,12.65690041,14.18010044,15.07909966,16.12100029,15.71140003,15.28110027,15.15040016,15.44659996,16.39559937,16.23399925,17.8125,17.63380051,11.33950043,12.43719959,12.90040016,12.66180038,12.29370022,12.08959961,12.62860012,12.59090042,12.07929993,22.5366993,26.11700058,26.14349937,24.98940086,23.10549927,30.31959915,23.63870049,24.17070007,24.86490059,23.61969948,21.85989952,19.92639923,22.69910049,19.66340065,19.84679985,20.76230049,21.22730064,20.38030052,20.51250076,21.94440079,19.68479919,21.57360077,19.12150002,21.45229912,21.5489006,22.19930077,23.28750038,23.80780029,23.09020042,22.9102993,22.99600029,20.25259972,23.27869987,22.88010025,43.53,47.49,47.93,45.11,43.72,43.78,46.15,45.8,45.91,47.61,49.62,50.77,49.38,51.52,51.12,53.2,55.77,56.48,56.08,56.09,55.13,56.25,54.85,53.96,52.65,54.8,52.25,52.53,51.76,51.33,51.67,52.04,51.68,52.05,51.61,51.37,52.63234982,53.2792471,54.29104204,54.28643238,54.06438489,53.94863873,52.97855511,52.52589286,52.38974727,51.6068863,52.95751634,52.19691048
France,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.89669991,14.28629971,13.08440018,13.40890026,13.24960041,13.22710037,12.56239986,12.90170002,12.72389984,11.92660046,11.67039967,11.4691,11.74300003,11.95699978,12.17259979,12.57450008,11.94799995,11.59759998,11.34799957,11.22780037,11.62899971,11.74610043,11.23589993,10.82289982,11.30599976,11.33829975,10.77359962,10.24240017,10.62530041,10.3263998,10.44629955,10.39939976,9.839949608,10.27210045,no data,no data,no data,no data,no data,7.573659897,16.82659912,14.85449982,12.64179993,12.06879997,12.32849979,10.33310032,13.76060009,13.84689999,13.90690041,19.2371006,17.00020027,18.00889969,14.48820019,18.92950058,20.09180069,16.03009987,11.15340042,10.68340015,no data,no data,no data,no data,no data,no data,no data,no data,14.01830006,17.54590034,15.54959965,18.24060059,18.55879974,19.1760006,18.4829998,20.37249947,21.37649918,18.84970093,18.82379913,19.12039948,19.67869949,20.48690033,20.22660065,20.55109978,20.14629936,20.35330009,20.77389908,20.98760033,20.81970024,20.5916996,20.18600082,20.96960068,20.52300072,19.90550041,21.71249962,21.7234993,22.92650032,21.76309967,22.70560074,22.33419991,42.98220062,44.56399918,45.69380188,46.14400101,46.9620018,47.66189957,48.42089844,48.80649948,47.98040009,48.58459854,47.35749817,47.02420044,47.10800171,47.70840073,47.39640045,48.61009979,48.59999847,48.9272995,50.47200012,50.87179947,50.12979889,50.79040146,50.1651001,50.00830078,49.58789825,49.31029892,49.64350128,50.60350037,50.59970093,49.85820007,49.93799973,49.16379929,49.54410172,51.13592364,52.12628854,53.14369518,53.30894307,53.17239742,53.04859299,53.54503357,53.35559593,52.28715538,52.36266045,52.63090307,53.52996655
Gabon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.75827505,23.05291373,21.64078456,21.52562454,22.37992653,27.71683878,24.34320818,31.10429067,32.38377386,26.61103301,31.42922248,31.90054547,29.44661134,29.00210686,27.86667479,28.74491952,29.80671977,27.45076105,29.92343674,29.36833384,25.78827316,23.48341413,30.1537586,31.60545811,29.73511011,21.13613971,17.13766525,16.41448709,16.91817061,19.59414222,17.61742129,14.74136812,18.09816711
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.76372617,12.49343444,14.78008448,14.78042123,14.97627077,14.99655056,16.11471298,15.79847888,15.53538191,22.44427436,23.75258219,25.94075664,28.45977086,29.85186507,28.47054506,26.88303458,26.96524317,27.68838051,25.83204604,26.23067085,26.29570894,26.85271698,27.13752595,26.37027487,27.10464869,25.21338637,25.51960399,26.86960268
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.17800045,11.28439999,12.82789993,13.01780033,12.87619972,13.36180019,13.86639977,15.81389999,15.81550026,16.4382,16.43939972,18.04640007,16.59970093,16.59569931,17.49729919,16.78610039,17.41950035,17.14830017,18.30920029,17.37859917,18.1243,19.76530075,19.43499947,19.39839935,17.25469971,17.64119911,17.9647007,17.63229942,18.30550003,20.10980034,19.26449966,19.05480003,17.37899971,37.69670105,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.56999969,12.90540028,12.23060036,12.63389969,13.38630009,14.81379986,11.64830017,11.46389961,10.61240005,12.08279991,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.97970009,31.31150055,30.39430046,30.29899979,30.34449959,28.51239967,30.12400055,30.61779976,30.76919937,30.08209991,22.5965004,28.71459961,29.70829964,30.53709984,30.48920059,30.6257,30.04450035,31.53190041,29.85400009,29.25760078,39.99089813,41.08209991,41.42639923,43.51699829,44.32960129,44.54489899,45.94110107,46.48300171,45.12379837,44.73220062,45.20740128,45,45.56499863,44.97249985,45.12129974,45.37739944,44.49520111,44.13209915,43.56029892,44.37129974,42.78609848,43.39440155,44.70759964,45.14530182,45.52629852,45.37139893,45.70769882,45.47159958,45.66770172,46.61380005,46.23389816,44.53730011,44.10089874,44.31110001,43.31380081,43.57709885,43.69459915,43.74300003,43.98899841,44.89279938,43.59460068,44.35702193,44.9273124,44.98436694,44.88257618,45.1016463,45.51407772,45.51123912,46.27089988,46.52880882,46.12248915,47.3499841,46.9776182
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.465569973,9.651320457,12.07610035,10.91670036,7.82738018,9.21969986,9.980839729,8.520750046,9.821399689,11.81890011,9.25524044,6.713570118,7.46036005,9.148730278,7.312270164,5.78178978,5.324339867,5.531809807,2.874597404,1.965597715,2.715059849,2.452451266,3.854011167,5.115153678,6.465443467,6.896977968,6.667307615,6.929853553,5.021476882,6.051040034,5.09375773,7.304567582,8.405477156,9.074037093,7.327561933,6.279206457,7.033297923,5.89126609,8.61556328,10.8767022,8.499836214,10.85920582,12.5598816,11.8088315,12.05830216,12.72618705,11.76966133,12.15796176,12.40912023,14.05301649,13.64866061,12.44752549,13.15434054,14.61595342,13.14477078,13.61589188,14.10399547,14.97138371,14.06799797,15.18243355,15.83869428
Greece,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.0678997,10.15279961,13.46619987,15.32409954,14.22270012,11.3657999,10.56449986,16.67000008,17.375,15.42879963,14.52250004,15.20610046,17.05690002,15.50010014,19.87999916,15.74559975,17.88999939,14.40999985,16.91959953,18.36370087,20.16570091,18.65789986,18.91069984,17.52980042,18.01939964,18.27680016,19.15859985,16.5855999,17.63540077,15.48880005,18.11969948,14.71570015,12.68299961,8.702560425,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.30890083,20.28800011,22.11269951,23.76740074,26.41790009,20.23270035,18.18729973,21.32169914,22.76889992,22.44610023,20.78089905,20.66570091,21.40299988,no data,no data,no data,no data,no data,no data,no data,no data,13.87919998,13.96510029,14.35000038,15.43470001,18.44009972,14.62720013,17.16760063,16.37529945,28.87590027,16.81439972,18.3253994,16.60300064,16.65509987,16.65710068,17.29089928,17.27499962,17.51819992,19.11100006,20.67749977,21.9776001,22.94210052,23.05270004,21.9340992,22.51749992,22.68330002,20.61170006,20.86470032,23.36750031,24.00440025,24.9279995,24.7098999,21.80466776,21.71113453,20.71641758,22.88572526,23.73622913,24.4190882,24.334106,24.80349116,25.5822365,23.86078336,22.57325605,24.86405314,25.21192125,25.89566483,26.79652036,28.05227866,36.26858936,36.9245999,37.64994072,38.88059523,40.36056776,42.36266965,40.51999422,39.77278984,38.76135379,38.7866774,39.37372642,39.17066767,40.3622768,40.66944915,38.86938291,41.56002927,44.61211561,46.94528641,48.07737208,46.52452098,48.16492694,50.19484911,49.40108421,49.30495996,48.03191692,49.56712574,50.03715426,50.18987646
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.19567968,22.49553599,20.33824678,22.97334354,21.90297539,22.78150075,23.23253468,21.62998508,22.90629566,22.04113936,23.53756753,23.51307856,21.84908407,25.89279872,24.14956988,27.46578676,27.13542209,21.75623376,24.18043672,22.75501716,24.63256513,23.61128837,20.80346875,20.86567851,24.49404478,24.4610283,26.21970114,25.60354743,26.95874852,26.61234565,28.13735087,31.57094392,33.15680691
