Date,Price,Open,High,Low,Change %
05/30/2022,"13,775.17","13,775.17","13,775.17","13,775.17",1.15%
05/27/2022,"13,618.26","13,618.26","13,618.26","13,618.26",6.51%
05/26/2022,"12,785.99","12,785.99","12,785.99","12,785.99",18.35%
05/25/2022,"10,803.99","10,803.99","10,803.99","10,803.99",-11.43%
05/24/2022,"12,198.86","12,198.86","12,198.86","12,198.86",0.45%
05/23/2022,"12,144.57","12,144.57","12,144.57","12,144.57",-8.69%
05/20/2022,"13,301.03","13,301.03","13,301.03","13,301.03",0.46%
05/19/2022,"13,239.71","13,239.71","13,239.71","13,239.71",37.75%
05/18/2022,"9,611.44","9,611.44","9,611.44","9,611.44",3.03%
05/17/2022,"9,328.45","9,328.45","9,328.45","9,328.45",2.78%
05/16/2022,"9,076.03","9,076.03","9,076.03","9,076.03",22.35%
05/13/2022,"7,417.83","7,417.83","7,417.83","7,417.83",0.01%
05/12/2022,"7,417.23","7,417.23","7,417.23","7,417.23",0.00%
05/11/2022,"7,417.23","7,417.23","7,417.23","7,417.23",0.28%
05/10/2022,"7,396.53","7,396.53","7,396.53","7,396.53",3.87%
05/09/2022,"7,121.10","7,121.10","7,121.10","7,121.10",11.12%
05/06/2022,"6,408.42","6,408.42","6,408.42","6,408.42",0.00%
05/05/2022,"6,408.42","6,408.42","6,408.42","6,408.42",0.25%
05/04/2022,"6,392.31","6,392.31","6,392.31","6,392.31",-52.51%
04/28/2022,"13,460.57","13,460.57","13,460.57","13,460.57",-2.62%
04/20/2022,"13,822.99","13,822.99","13,822.99","13,822.99",6.80%
04/19/2022,"12,943.23","12,943.23","12,943.23","12,943.23",0.00%
04/18/2022,"12,943.23","12,943.23","12,943.23","12,943.23",0.00%
04/14/2022,"12,943.23","12,943.23","12,943.23","12,943.23",-2.75%
04/13/2022,"13,309.53","13,309.53","13,309.53","13,309.53",8.85%
04/12/2022,"12,227.72","12,227.72","12,227.72","12,227.72",-7.01%
04/11/2022,"13,148.91","13,148.91","13,148.91","13,148.91",1.04%
04/08/2022,"13,013.86","13,013.86","13,013.86","13,013.86",27.50%
04/07/2022,"10,207.32","10,207.32","10,207.32","10,207.32",211.21%
04/05/2022,"3,279.87","3,279.87","3,279.87","3,279.87",0.04%
04/04/2022,"3,278.67","3,278.67","3,278.67","3,278.67",0.56%
04/01/2022,"3,260.49","3,260.49","3,260.49","3,260.49",5.34%
03/31/2022,"3,095.30","3,095.30","3,095.30","3,095.30",0.06%
03/30/2022,"3,093.40","3,093.40","3,093.40","3,093.40",-26.82%
03/29/2022,"4,227.29","4,227.29","4,227.29","4,227.29",-9.36%
03/28/2022,"4,663.86","4,663.86","4,663.86","4,663.86",-9.79%
03/25/2022,"5,170.27","5,170.27","5,170.27","5,170.27",0.16%
03/24/2022,"5,162.14","5,162.14","5,162.14","5,162.14",99.34%
03/23/2022,"2,589.57","2,589.57","2,589.57","2,589.57",18.64%
03/22/2022,"2,182.70","2,182.70","2,182.70","2,182.70",14.62%
03/21/2022,"1,904.30","1,904.30","1,904.30","1,904.30",-6.52%
03/18/2022,"2,037.05","2,037.05","2,037.05","2,037.05",-54.19%
03/16/2022,"4,446.79","4,446.79","4,446.79","4,446.79",-0.59%
03/15/2022,"4,473.31","4,473.31","4,473.31","4,473.31",-35.67%
03/11/2022,"6,954.17","6,954.17","6,954.17","6,954.17",91.16%
03/10/2022,"3,637.94","3,637.94","3,637.94","3,637.94",-14.14%
03/09/2022,"4,236.94","4,236.94","4,236.94","4,236.94",-11.96%
03/08/2022,"4,812.32","4,812.32","4,812.32","4,812.32",131.17%
03/07/2022,"2,081.69","2,081.69","2,081.69","2,081.69",25.23%
03/04/2022,"1,662.24","1,662.24","1,662.24","1,662.24",-0.78%
03/03/2022,"1,675.24","1,675.24","1,675.24","1,675.24",-0.63%
03/02/2022,"1,685.86","1,685.86","1,685.86","1,685.86",308.71%
02/24/2022,412.48,412.48,412.48,412.48,20.04%
02/23/2022,343.62,343.62,343.62,343.62,9.80%
02/22/2022,312.94,312.94,312.94,312.94,16.56%
02/21/2022,268.49,268.49,268.49,268.49,12.46%
02/18/2022,238.74,238.74,238.74,238.74,14.31%
02/17/2022,208.86,208.86,208.86,208.86,-3.67%
02/16/2022,216.82,216.82,216.82,216.82,-12.05%
02/15/2022,246.53,246.53,246.53,246.53,14.19%
02/14/2022,215.89,215.89,215.89,215.89,16.68%
02/11/2022,185.03,185.03,185.03,185.03,3.30%
02/10/2022,179.12,179.12,179.12,179.12,-7.21%
02/09/2022,193.03,193.03,193.03,193.03,-3.03%
02/08/2022,199.06,199.06,199.06,199.06,0.03%
02/07/2022,199.01,199.01,199.01,199.01,2.51%
02/04/2022,194.14,194.14,194.14,194.14,-2.98%
02/03/2022,200.1,200.1,200.1,200.1,-8.18%
02/02/2022,217.93,217.93,217.93,217.93,-1.78%
02/01/2022,221.88,221.88,221.88,221.88,-2.65%
01/31/2022,227.93,227.93,227.93,227.93,7.51%
01/28/2022,212.01,212.01,212.01,212.01,-10.49%
01/27/2022,236.86,236.86,236.86,236.86,-3.19%
01/26/2022,244.66,244.66,244.66,244.66,-1.58%
01/25/2022,248.58,248.58,248.58,248.58,22.47%
01/24/2022,202.98,202.98,202.98,202.98,1.02%
01/21/2022,200.93,200.93,200.93,200.93,14.71%
01/20/2022,175.17,175.17,175.17,175.17,-12.82%
01/19/2022,200.93,200.93,200.93,200.93,5.67%
01/18/2022,190.15,190.15,190.15,190.15,8.55%
01/17/2022,175.17,175.17,175.17,175.17,10.67%
01/14/2022,158.28,158.28,158.28,158.28,17.65%
01/13/2022,134.54,134.54,134.54,134.54,3.81%
01/12/2022,129.6,129.6,129.6,129.6,-1.50%
01/11/2022,131.58,131.58,131.58,131.58,5.53%
01/10/2022,124.68,124.68,124.68,124.68,0.81%
01/07/2022,123.68,123.68,123.68,123.68,3.28%
01/06/2022,119.75,119.75,119.75,119.75,0.02%
01/05/2022,119.73,119.73,119.73,119.73,-4.71%
01/04/2022,125.65,125.65,125.65,119.71,-0.02%
