"Government expenditure, percent of GDP (% of GDP)",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,53.21053733,41.69675633,41.5985295,41.8819414,41.16932973,40.8469804,43.30986544,44.65819541,49.11930502,42.32404642,42.36978258,41.46050235,40.4388562,40.86859303,44.35741164,43.62999547,43.18765396,44.67508716,42.65017159,42.62206018,41.93412949,39.75102113,38.98008567,40.59462246,41.0539035,47.21877988,46.507409,44.65442217
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.17216765,14.56491298,13.66795961,12.87736487,11.43897533,13.09788682,12.67473021,13.50810764,13.59657592,14.4612965,14.84228838,14.58940086,14.38582725,14.46536343,13.1969995,16.14177042,15.85723113,15.21354755,16.5025966,17.5808322,18.10908886,17.56062831,17.33677153,20.38409518,20.73465325,22.12902814
Denmark,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.821430206,5.947559834,5.964710236,5.783410072,5.601910114,6.097559929,7.09401989,7.243050098,7.146259785,6.984300137,6.870470047,6.438489914,6.288559914,6.21999979,6.202020168,6.284890175,6.222849846,6.910480022,6.585999966,6.368120193,5.960669994,5.590380192,5.551579952,5.417240143,6.700469971,5.44287014,6.994470119,5.411159992,6.091370106,6.974840164,6.451610088,5.962940216,5.595180035,5.371580124,4.389090061,5.403530121,4.91106987,6.270299911,7.742340088,10.58240032,7.206600189,9.162949562,9.230480194,7.031509876,7.685039997,10.92479992,8.578399658,9.575030327,13.03660011,6.389180183,6.899209976,8.884340286,10.35990047,12.92409992,11.31219959,8.990599632,8.711509705,9.114970207,8.486820221,10.27190018,12.19029999,15.81019974,16.59799957,16.89979935,9.446209908,8.066430092,10.15540028,11.55210018,11.18640041,10.95240021,10.04629993,10.21370029,10.19999981,10.67920017,17.06159973,16.8404007,16.36569977,16.03210068,17.10880089,16.27540016,16.41729927,15.62419987,17.02949905,18.19440079,17.62360001,17.13470078,21.14459991,22.16480064,24.25760078,25.3239994,24.38660049,42.17029953,42.14289856,39.50529861,43.61700058,45.29410172,44.9659996,45.64910126,47.16740036,49.57720184,52.66199875,56.31990051,57.73770142,57.91809845,56.64020157,55.52130127,52.31909943,53.98960114,56.13980103,56.20759964,55.41090012,56.07410049,57.125,60.21429825,60.19110107,59.28170013,58.90919876,56.68149948,56.33140182,55.49509811,53.67060089,54.18970108,54.56510162,55.06679916,54.55220032,52.78850174,51.58530045,50.80559921,51.90010071,58.417099,58.46699905,56.42931168,57.95492564,55.82037823,55.21771281,54.52764644,52.47861642,50.54953123,50.54832547,49.66777804,53.47669364,49.80481102,44.89097454
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.18806553,27.68229516,34.86514111,35.30892534,30.91932482,26.99689557,23.6640111,24.99307277,24.00789702,23.52217911,23.20554418,20.95779952,23.39335593,25.84519509,26.6956219,26.21204918,23.84986608,26.57083976,28.82625973,31.00406604,26.62960465,25.27800455,26.47666692,26.81364681,28.98545369,41.96315845,32.66236091,28.16687196,26.8121224,24.40424088,25.46318545,24.09061523,20.39470316
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.48032075,28.95574863,27.36929348,25.17543633,27.18855123,28.75326333,28.45754298,28.15016142,33.04164289,35.20133706,38.51794442,29.62010165,28.61139469,30.10656808,30.24918706,30.95729022,29.69117504,34.06396696,34.74056784,35.90870965,39.42725543,35.21695807,36.17204913,33.44204451,32.70734341,32.39310333,48.03486638,53.97979713,63.43154965,48.28094072,66.76003494,65.97795709,47.00336679
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.78199959,21.11339951,15.86209965,20.03849983,19.01099968,21.52479935,21.69039917,21.45660019,21.93029976,22.12639999,20.12290001,19.95680046,15.67370033,15.12619972,16.6821003,12.76210022,15.22980022,15.02869987,15.47789955,15.45339966,13.30860043,13.77390003,14.09860039,13.74720001,14.61909962,13.70499992,12.50290012,11.38300037,12.28170013,13.75380039,12.83640003,12.11839962,10.16749954,10.19989967,9.323630333,9.797280312,10.40320015,11.21080017,12.75380039,11.34290028,9.097189903,8.650529861,10.44050026,13.0223999,12.13679981,10.98019981,11.3725996,11.91259956,11.80860043,13.13910007,14.0926768,14.89155869,16.47505641,17.22398616,17.33264739,15.50064989,16.95006333,16.32073236,18.47976503,16.14397597,16.04948633,15.96521696,19.78494222,18.47724837,16.99984259,16.68115516,16.97443819,17.06411858,16.3516433,17.86131576,22.09281615,18.53785178,18.51064581
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.00795679,21.75749762,21.01850447,20.60544337,23.09074201,23.21602027,20.21813796,21.58114324,20.3082943,20.47772519,21.3928439,21.21267986,24.12465701,35.23338354,32.96619655,34.68107917,39.46967172,43.13696063,47.47877638,46.44505902,43.19214038,43.16639,40.59005585,40.92267563,39.58601409,38.85144986,37.8368803,39.34036442
El Salvador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.87739801,18.53459601,20.7520556,18.50858278,18.90894838,18.56387897,21.03497484,18.62477022,19.28749793,19.65041354,20.96278892,21.67533888,22.50927812,22.34704279,21.49722347,22.42892691,23.41194155,22.82727853,24.54830593,25.95869796,25.58986705,25.27540265,27.38270919,28.4945398,27.60833108,27.10759302,27.46163723,27.76348143,27.26286805,27.20792347,32.68397053,31.23989644,28.20889835
Equatorial Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,115.3596299,118.9856876,182.999634,227.9468078,116.7967353,212.9313225,284.5164711,594.7697869,256.3074107,509.8442696,141.5013868,22.94291415,14.75259509,35.08712707,18.68598936,22.64532188,13.47648993,11.25452556,13.78167185,10.76358249,14.12182875,18.09293865,19.68894342,19.89269239,39.84715722,31.17890716,27.49252761,35.19963368,29.27359677,31.59790183,41.57078264,27.81849665,20.06960395,19.35342769,16.79936344,16.16560176,12.65941536,17.19872127
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.52709224,38.63643972,35.80535063,38.90308225,40.65513506,36.36628778,34.96744701,35.87435347,35.03605728,34.05993575,33.71779037,33.43668218,33.73750787,39.45103132,45.85242141,40.2744707,37.42463536,39.24553028,38.42411577,37.76443107,39.52476253,39.3973671,39.23615496,39.27129893,39.12594245,44.92673895,41.83840531,39.61885128
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.30576557,18.87501945,18.13269934,16.96215779,16.95303564,18.99858159,18.80417853,16.75081799,16.56120537,15.37636908,17.70573558,19.01562716,24.00888084,22.29197856,22.72317548,19.2955769,21.84423962,20.05521924,21.39604978,25.03400824,24.00469416,24.82596916,25.71598033,25.11574547,30.06568813,28.14067238,26.76427649,29.50491473,32.4502218,32.87983541,30.15277021,24.40465987,26.27273072,27.9471842,31.47099425,33.64130461,34.24624778,35.07781169,34.60544069,34.01048107,33.4507879,29.39969844,27.76894827
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.4964053,14.18288102,16.40741627,21.25065319,18.8237993,19.69787219,19.84802686,18.38084695,21.56999429,24.01661126,20.85872374,17.32103666,14.23534932,13.773496,17.6251609,17.38949742,18.78934947,17.9403103,21.12963139,26.80883857,25.59829459,22.43806725,24.86954558,27.04148114,23.14907361,22.89002928,22.06701617,20.52142422,18.75603072,17.11277509,18.4832356,18.22813019,16.64824062,17.75578891,17.48370684,17.32573465,17.91296873,17.98671979,16.09935926,15.35276872,14.46925516,13.79758676,12.69645996
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.10504835,26.69573637,24.85581055,23.50809154,27.2132437,29.24003606,27.71652836,24.59866071,24.17333985,26.98923765,28.11955108,26.73665287,24.69435521,24.03459909,25.3960427,23.50708909,22.8345289,26.19502491,25.547916,26.50392129,26.01671269,25.90904047,30.18908373,30.64387954,32.08174605,28.11372126,32.47785395,30.39151699,31.61220922,34.34588532,33.48147341
Finland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.86274004,7.254899979,7.647059917,8.800000191,8.163269997,8.958330154,7.450980186,6.607140064,6.166669846,6.190480232,6.557380199,6.774189949,7.34375,8.181819916,7.36111021,6.75,10.7954998,7.444449902,6.804120064,11.91489983,11.84780025,10.19799995,11.53849983,11.0092001,9.655170441,10.56910038,13.43999958,13.79850006,11.72929955,11.34749985,10.92109966,11.5625,11.84710026,11.50290012,11.02880001,12.9442997,20.09259987,19.60370064,15.25549984,16.77020073,14.46329975,18.42099953,15.67160034,18.20280075,18.05310059,15.77079964,18.46150017,17.01889992,19.75,19.9531002,13.95349979,14.0692997,15.70880032,16.47270012,16.03960037,16.52659988,14.10389996,22.35289955,48.95100021,58.38040161,42.55319977,40.33209991,46.51160049,29.45199966,45.66210175,29.62960052,22.29269981,27.63509941,23.8757,20.7609005,21.16559982,22.67700005,19.83169937,20.84679985,21.90159988,21.14389992,22.11269951,20.63750076,22.46910095,22.71199989,23.93910027,21.62619972,22.80080032,23.21430016,23.27619934,23.54630089,25.49580002,22.15119934,21.85339928,22.84289932,20.42830086,21.7954998,22.9090004,38.57,39.84,41.66,41.28,40.31,40.08,41.04,42.74,44.39,44.38,46.29,46.94,47.75,46.43,44.39,47.88,56.68,61.8,64.16,62.58,61.05,59.5,56.07,52.32,50.98,47.94,47.28,48.47,49.34,49.12,49.02,48.07,46.57,47.88,54.09,53.91,53.65155204,55.43904853,56.81599052,57.27390924,56.48981716,55.64688899,53.63255134,53.38042165,53.33822512,57.18582747,55.76000319,53.04708729
France,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.24330044,13.64840031,13.23880005,13.63650036,13.59529972,13.81270027,13.05799961,12.96930027,12.54090023,11.83909988,11.35579967,11.10770035,11.77779961,12.25889969,12.25010014,12.64080048,11.97929955,11.58450031,11.05959988,11.01900005,11.42169952,12.14039993,11.60289955,10.61340046,11.00360012,11.16059971,10.81569958,10.01519966,10.77260017,10.43859959,10.56359959,10.08670044,9.609000206,10.22169971,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.20409966,13.78499985,13.8842001,12.77270031,17.76059914,18.64620018,20.06879997,16.34880066,23.89019966,24.40320015,20.24539948,15.91539955,17.57670021,no data,no data,no data,no data,no data,no data,no data,no data,22.12030029,25.15060043,24.66200066,25.55050087,24.11759949,23.59199905,25.30610085,25.16340065,22.16049957,19.89019966,21.44039917,21.11109924,19.59840012,19.92510033,22.17840004,21.90679932,21.68029976,22.59160042,21.02809906,21.05550003,21.38809967,21.38940048,22.72850037,21.46159935,20.49819946,20.03899956,19.77569962,19.74860001,19.87479973,22.03860092,21.69249916,21.43239975,44.71020126,44.92229843,45.96099854,48.53160095,49.87039948,50.23730087,51.22109985,51.88399887,51.28250122,50.71099854,50.0564003,48.92699814,49.58349991,50.69179916,52.00059891,55.06999969,54.06620026,54.3905983,54.50030136,54.18310165,52.75939941,52.59970093,51.68889999,51.66279984,52.87379837,53.40090179,53.26050186,53.56940079,52.97579956,52.60879898,53.28089905,56.73770142,56.6271019,56.29068452,57.10727287,57.22778778,57.21360242,56.79757209,56.68584938,56.50345066,55.64455047,55.35180616,61.34675421,59.11490058,58.33646827
