Country,debt,Population,Colour
Saudi Arabia,257.734317,28571770,#1b9e77
Senegal,25.22421,14668522,#d95f02
Serbia,2.229897,7111024,#d95f02
Serbia,38.482695,7111024,#d95f02
Seychelles,1.26768,93920,#e7298a
Sierra Leone,3.128391,6163195,#1b9e77
Singapore,835.045613,5888926,#e7298a
Sint Maarten,540.91026,42083,#66a61e
Slovakia,75.43594800000001,5445829,#e6ab02
Slovenia,46.84989000000001,1972126,#d95f02
Solomon Is.,0.37518,647581,#d95f02
South Africa,280.72772199999997,54841552,#66a61e
South Korea,928.1129759999999,51181299,#7570b3
Spain,1697.543942,48958159,#e6ab02
Sudan,65.45664,37345935,#e6ab02
Suriname,3.7867300000000004,591919,#e7298a
Sweden,192.86652999999998,9960487,#1b9e77
Switzerland,357.74518,8236303,#1b9e77
Taiwan,200.01337999999998,23508428,#d95f02
Tajikistan,3.9583600000000003,8468555,#66a61e
Tanzania,35.798058,53950935,#1b9e77
Thailand,314.486502,68414135,#e7298a
Timor-Leste,0.33177199999999996,1291358,#e7298a
Togo,6.122592000000001,7965055,#7570b3
Tonga,0.22481700000000004,106479,#66a61e
Trinidad and Tobago,14.640675000000002,1218208,#d95f02
Tunisia,39.888838,11403800,#7570b3
Turkey,397.1823999999999,80845215,#66a61e
Turkmenistan,4.172922,5351277,#66a61e
Tuvalu,0.00504,11052,#e7298a
Uganda,25.30437,39570125,#7570b3
Ukraine,152.776853,44033874,#66a61e
United Arab Emirates,149.698626,6072475,#7570b3
United Kingdom,3468.6734189999997,64769452,#1b9e77
United States of America,33228.90981899999,326625791,#1b9e77
Uruguay,46.966304,3360148,#1b9e77
Uzbekistan,31.727592,29748859,#d95f02
Vanuatu,0.545688,282814,#e7298a
Vietnam,147.34104000000002,96160163,#e6ab02
Yemen,13.973880000000001,28036829,#e7298a
Zimbabwe,30.932496,13805084,#1b9e77
