General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,346,270.6,245,206.4,23,20.1,19.1,16.2,7.7,7.5,6.8,6.9,8.7,9.2,8.4,8,7.4,6.1,7.4,no data,no data,no data,no data,no data,no data,no data,no data
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,72.2,71.2,68.2,63.8,60.6,64.1,60.2,57.5,58.2,56.7,53.6,55.1,59.7,57.7,59.4,62.1,70.4,72,73.7,73.3,71.9,69.5,67.4,75.8,75.2,65.5,62.9,64.2,59.7,60.3,58.8,58.2
Algeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,93.4,75.2,83.3,115.4,104,98.4,86.3,86.7,75.6,58,54.3,51.3,41.4,35.2,26.3,23.6,13.5,8.1,9.8,10.5,9.3,9.3,7.1,7.7,8.7,20.4,27.2,38.4,46,52,62.8,55.6,55.1,58.8,63.9,68.1,72.2,75.8
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.8,15.3,15.2,15.1,14.8,17.2,20.9,27.7,33.5,35,36.5,41.5,42.5,42,41,39.8,37.9,36.3,35.4,46.4,48.6,39.4,37.7,35.7,34.4,33.4,32.3,31.1
Angola,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,133.9,113.5,73.7,58,47.7,33.5,18.7,21,31.4,56.3,37.2,29.6,26.7,33.1,39.8,57.1,75.7,69.3,93,113.6,138.9,86.8,66.7,84.9,77.1,67.9,61,54.3,48
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,98.1,99.1,95.5,90.1,89.7,98.3,91.7,87,102.6,104.6,105.1,118,126.3,125.1,120.1,92.6,89.1,77.8,76,100.6,89.7,91.8,87.5,95.8,101.4,99.1,86.1,92.2,87.8,81.8,98.2,96.3,86.2,80.5,77.2,75.2,74,72.7,71.4
Argentina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25,26.9,28.4,30.7,32.6,31.7,34.1,38.9,40.8,48,147.2,125.2,117.9,80.3,70.8,62.1,53.8,55.4,43.5,38.9,40.4,43.5,44.7,52.6,53.1,57,85.2,88.8,102.8,80.8,84.7,89.5,79.9,76.8,75.8,73.3,69.5
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.8,46.5,45.2,39.2,39.6,38.1,38.2,33,26.4,20.5,16.2,14.2,14.6,34.1,39.7,42,41.2,40.9,43.7,48.7,56.7,58.9,55.7,53.7,67.4,63.4,49.2,47.9,48.7,49.5,49.6,49.7,49.6
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.1,54.8,51.1,41,39.3,38.6,44.3,47.1,40.8,42.5,45.1,45.5,44.6,40.3,48.8,54.7,59.3,65.5,70,77.7,74.2,75.4,75.8,73.3,71.1,112.3,101.8,90.1,82.9,80.2,77.4,74.6,71.6,68.5
Australia,no data,no data,no data,no data,no data,no data,no data,no data,no data,17,16.4,21.6,27.6,30.7,31.7,31.2,29.3,25.9,23.7,22.6,19.5,17.1,15,13.2,11.9,10.9,9.9,9.7,11.7,16.6,20.4,24,27.5,30.5,34,37.8,40.6,41.2,41.8,46.7,57.2,55.9,50.7,51.9,55.6,56.3,56.3,55.7,54.9
Austria,no data,no data,no data,no data,no data,no data,no data,no data,57.4,56.3,55.9,56.1,56,60.6,63.7,67.9,67.8,63.1,68.8,61.1,65.7,66.4,67,64.9,64.8,68.3,67,64.7,68.4,79.6,82.4,82.2,81.7,81,83.8,84.4,82.5,78.6,74.1,70.6,82.9,82.3,78.5,74.8,74,71.7,70.7,68.9,68.2
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.2,16.7,11.4,14.3,25.4,13.1,13,11.9,10.7,9.7,6.9,5.3,4,3.2,4.7,5,5,5.8,6.2,8.5,18,20.6,22.5,18.7,17.7,21.3,26.3,17.3,18.2,18,20.8,22.9,24.5,26
