country,year,debt_gdp,gdp,debt,iso3,short_country,id
Albania,2023,0.629,23.032,14.487128,ALB,Albania,8
Algeria,2023,0.551,224.107,123.48295700000001,DZA,Algeria,12
Andorra,2023,0.377,3.692,1.3918840000000001,AND,Andorra,20
Angola,2023,0.8490000000000001,93.796,79.63280400000001,AGO,Angola,24
Antigua and Barbuda,2023,0.805,1.949,1.5689450000000003,ATG,Antigua and Barbuda,28
Argentina,2023,0.895,621.833,556.540535,ARG,Argentina,32
Armenia,2023,0.479,24.54,11.75466,ARM,Armenia,51
Aruba,2023,0.8290000000000001,3.827,3.1725830000000004,ABW,Aruba,533
Australia,2023,0.519,1687.713,875.923047,AUS,Australia,36
Austria,2023,0.748,526.182,393.584136,AUT,Austria,40
Azerbaijan,2023,0.182,77.392,14.085344,AZE,Azerbaijan,31
"Bahamas, The",2023,0.8420000000000001,13.876,11.683592,BHS,Bahamas,44
Bahrain,2023,1.212,44.994,54.532728,BHR,Bahrain,48
Bangladesh,2023,0.39399999999999996,446.349,175.861506,BGD,Bangladesh,50
Barbados,2023,1.15,6.22,7.153,BRB,Barbados,52
Belarus,2023,0.441,68.864,30.369024000000003,BLR,Belarus,112
Belgium,2023,1.06,627.511,665.16166,BEL,Belgium,56
Belize,2023,0.593,3.218,1.9082739999999998,BLZ,Belize,84
Benin,2023,0.53,19.94,10.568200000000001,BEN,Benin,204
Bhutan,2023,1.234,2.686,3.314524,BTN,Bhutan,64
Bolivia,2023,0.8079999999999999,46.796,37.811167999999995,BOL,"Bolivia, Plurinational State of",68
Bosnia and Herzegovina,2023,0.28600000000000003,26.945,7.706270000000001,BIH,Bosnia and Herzegovina,70
Botswana,2023,0.187,20.756,3.881372,BWA,Botswana,72
Brazil,2023,0.8809999999999999,2126.809,1873.718729,BRA,Brazil,76
Brunei Darussalam,2023,0.023,15.153,0.348519,BRN,Brunei Darussalam,96
Bulgaria,2023,0.21,103.099,21.65079,BGR,Bulgaria,100
Burkina Faso,2023,0.612,20.785,12.72042,BFA,Burkina Faso,854
Burundi,2023,0.727,3.19,2.31913,BDI,Burundi,108
Cabo Verde,2023,1.131,2.598,2.938338,CPV,Cabo Verde,132
Cambodia,2023,0.353,30.943,10.922879,KHM,Cambodia,116
Cameroon,2023,0.419,49.262,20.640778,CMR,Cameroon,120
Canada,2023,1.064,2117.805,2253.34452,CAN,Canada,124
Central African Republic,2023,0.501,2.76,1.38276,CAF,Central African Republic,140
Chad,2023,0.43200000000000005,12.596,5.441472000000001,TCD,Chad,148
Chile,2023,0.384,344.4,132.2496,CHL,Chile,152
"China, People's Republic of",2023,0.83,17700.899,14691.74617,CHN,China,156
Colombia,2023,0.55,363.835,200.10925,COL,Colombia,170
Comoros,2023,0.33299999999999996,1.364,0.454212,COM,Comoros,174
"Congo, Dem. Rep. of the",2023,0.133,67.512,8.979096,COD,DR Congo,180
"Congo, Republic of",2023,0.978,14.407,14.090046,COG,Congo,178
Costa Rica,2023,0.63,85.59,53.9217,CRI,Costa Rica,188
Croatia,2023,0.638,80.185,51.158030000000004,HRV,Croatia,191
Cyprus,2023,0.7859999999999999,32.032,25.177151999999996,CYP,Cyprus,196
Czech Republic,2023,0.45399999999999996,335.243,152.20032199999997,CZE,Czechia,203
Côte d'Ivoire,2023,0.568,79.43,45.11624,CIV,Côte d'Ivoire,384
Denmark,2023,0.301,420.8,126.6608,DNK,Denmark,208
Djibouti,2023,0.418,3.873,1.618914,DJI,Djibouti,262
Dominica,2023,0.9390000000000001,0.697,0.654483,DMA,Dominica,212
Dominican Republic,2023,0.598,120.629,72.136142,DOM,Dominican Republic,214
Ecuador,2023,0.555,118.686,65.87073000000001,ECU,Ecuador,218
Egypt,2023,0.927,398.397,369.31401900000003,EGY,Egypt,818
El Salvador,2023,0.73,35.339,25.797469999999997,SLV,El Salvador,222
Equatorial Guinea,2023,0.38299999999999995,10.041,3.845703,GNQ,Equatorial Guinea,226
Estonia,2023,0.21600000000000003,41.799,9.028584,EST,Estonia,233
Eswatini,2023,0.424,4.648,1.9707519999999998,SWZ,Eswatini,748
Ethiopia,2023,0.379,155.804,59.049716000000004,ETH,Ethiopia,231
Fiji,2023,0.836,5.511,4.607196,FJI,Fiji,242
Finland,2023,0.736,305.689,224.98710400000002,FIN,Finland,246
France,2023,1.1,3049.016,3353.9176,FRA,France,250
Gabon,2023,0.649,19.319,12.538031,GAB,Gabon,266
"Gambia, The",2023,0.723,2.388,1.726524,GMB,Gambia,270
Georgia,2023,0.396,30.023,11.889108,GEO,Georgia,268
Germany,2023,0.659,4429.838,2919.263242,DEU,Germany,276
Ghana,2023,0.8490000000000001,76.628,65.05717200000001,GHA,Ghana,288
