Category,Share
Education,15%
Social Security & Employment,14%
Health & Sanitation,9%
"Agriculture, Forestry, & Water",9%
Rural & Urban Development,7%
Defense,6%
Transportation,5%
Debt Interest Payments,4%
Science & Technology,4%
Energy & Environment,2%
Funds Transfers,0.5%
Other,24%
