date,January,February,March,April,May,June,July,August,September,October,November,December
1999,2.7,3,3.5,3.3,2.9,4,3.2,3.1,3.1,3.4,3.5,4
2000,2.9,3.4,3.7,3.4,3.4,3.6,3.6,3.8,3.8,4.1,4.4,4.9
2001,3.2,3.7,4.3,4.4,4.6,4.7,4.4,4.6,4.2,4.8,5.1,5.7
2002,3.7,4,4.7,5.1,4.7,5,5.5,5.1,5.1,5.9,5.7,6.5
2003,4.7,5.2,6,6.2,5.9,6.1,6.7,6.4,6.5,7.1,6.8,8.5
2004,5.6,6.6,7.8,7.7,7.4,7.9,8.4,8.3,8.3,8.9,9.4,11.2
2005,6.9,8.3,10,9.5,9.5,9.9,10.7,10.6,10.7,11.5,12.3,13.8
2006,8.3,10.1,12.4,11.4,12.9,14.5,13.5,14.2,14.3,15.8,16.2,19.6
2007,11.7,14.1,16.9,16.7,17.5,18.5,19.3,20,18.7,22.2,22.6,24.9
2008,15.6,21,23.2,25.2,24.3,25.3,28.7,27.1,27.2,26.7,21.1,23.3
2009,10.3,13.2,14.2,14.1,13.1,14.7,15.2,14.8,16.8,18.4,18.4,20.6
2010,11.1,15.2,18.4,18.9,19.1,19.3,20.8,23.6,23.2,24.5,24.5,27
2011,16.2,21.7,26.8,26.9,27.9,27.5,26.9,29.4,26.8,28.7,29.8,30
2012,19.1,24.7,28.4,26.8,28.2,27,29.7,30,27.4,32.2,30.6,31.9
2013,21.7,26.5,28.4,29.8,26.4,28.2,30.3,28.4,28.7,30.6,29.8,32.5
2014,21,24.1,27.4,27.8,26.2,26.7,29.2,25.3,26,26.8,23.1,24.5
2015,12.2,15.4,17.1,16.2,15.3,16.2,16.8,16.2,16.8,16.9,16.4,17.5
2016,9.8,12.9,15.4,15.1,14.4,16,16.1,18.4,18,18.2,17.6,19.6
2017,13.618,15.476,19.003,18.264,19.636,20.82,20.842,22.447,20.558,21.526,22.012,24.182
2018,16.726,19.13,21.659,20.991,21.354,21.061,21.244,21.671,19.809,21.5,21.282,22.429
2019,16.369,18.182,20.906,22.02,19.856,19.974,22.312,21.926,20.932,23.837,23.217,24.345
2020,17.061,18.418,20.475,17.541,17.213,19.056,19.734,19.948,20.497,21.882,22.756,25.06
2021,17.676,21.061,25.845,26.292,24.436,25.324,26.284,26.041,25.534,26.869,27.863,30.769
2022,24.772,27.521,,,,,,,,,,
