date,Q1,Q2,Q3,Q4
1999,98.2,103.2,111.5,112.1
2000,111.4,110.2,110.5,108.3
2001,104.7,105.1,106,104.5
2002,103.8,104.4,104.4,106.2
2003,107.6,108,106.2,107.7
2004,107.2,108,107.3,106.2
2005,105.6,106,106,107.8
2006,107.3,108.1,108.2,108.9
2007,108.1,108.6,108.2,109.2
2008,109.2,107.9,106.4,98.7
2009,90.8,88.8,91.4,97.4
2010,104.1,105,103.8,105.1
2011,103.3,103.3,105,105.2
2012,105.7,104.9,103.5,102.4
2013,101.1,101.7,101.5,102.5
2014,100,100.6,101.4,100.9
2015,98.5,96.9,98.3,98.4
2016,99.8,100.3,100.1,100.5
2017,101.3,102.3,102.6,101
2018,102.6,102.7,102.6,103.2
2019,101.4,101.4,102.8,103.1
2020,101.5,92.7,96.7,98.7
2021,100.5,111.2,105,105.8
2022,103,95.5,96.5,97.3
2023,98.2,,,
