date,January,February,March,April,May,June,July,August,September,October,November,December
1999,2175,2184,2143,2059,1924,1783,1689,1616,1533,1484,1470,1443
2000,1436,1436,1405,1350,1258,1191,1178,1176,1158,1170,1204,1196
2001,1238,1279,1277,1266,1216,1173,1188,1208,1199,1230,1292,1311
2002,1464,1541,1572,1593,1550,1509,1535,1565,1571,1606,1668,1677
2003,1791,1860,1858,1856,1798,1745,1746,1744,1719,1736,1793,1823
2004,1860,1886,1888,1864,1807,1767,1788,1812,1861,1954,2092,2109
2005,2183,2251,2237,2208,2107,2033,2015,1984,1931,1918,1980,2009
2006,2070,2128,2123,2090,2008,1935,1929,1911,1857,1851,1903,1911
2007,1973,1970,1930,1862,1783,1690,1681,1662,1623,1657,1731,1732
2008,1779,1773,1741,1679,1599,1530,1526,1499,1461,1474,1561,1733
2009,2040,2333,2524,2582,2515,2439,2441,2395,2337,2309,2345,2349
2010,2490,2542,2495,2383,2229,2072,1993,1906,1804,1738,1756,1741
2011,1828,1862,1850,1788,1687,1585,1543,1495,1425,1392,1410,1401
2012,1479,1504,1474,1411,1335,1263,1231,1205,1163,1150,1183,1185
2013,1250,1279,1250,1213,1158,1116,1100,1075,1038,1024,1049,1049
2014,1095,1134,1118,1099,1063,1025,1029,1020,988,985,1013,1025
2015,1126,1209,1221,1225,1199,1164,1163,1146,1121,1111,1149,1150
2016,1217,1270,1267,1253,1193,1138,1111,1079,1029,1013,1032,1021
2017,1077,1102,1083,1050,1008,965,951,927,886,872,898,895
2018,944,962,933,909,873,838,835,822,799,788,810,797
2019,896,957,956,940,899,863,857,842,798,782,797,782
2020,839,869,855,1839,2545,3152,3637,3953,3989,3750,3409,2953
2021,2768,2447,2000,1762,1587,1416,1326,1226,1112,1061,1012,919
2022,857,834,838,847,851,841,821,806,748,695,687,645
2023,666,670,652,636,631,,,,,,,
