id,name,nominal,pct
13097,Saint-Martin-de-Crau,< 20,0.0
13100,Saint-Rémy-de-Provence,61 ,0.4
13103,Salon-de-Provence,38 ,0.1
13104,Sausset-les-Pins - Carry-le-Rouet,< 20,0.1
13105,Sénas,< 20,0.1
13119,Carnoux-en-Provence,< 20,0.1
14020,Argences,< 20,0.0
14027,Aunay-sur-Odon,40 ,0.4
14047,Bayeux,98 ,0.2
14118,Caen,189 ,0.1
14174,Condé-en-Normandie,243 ,0.9
14191,Courseulles-sur-Mer,< 20,0.1
14225,Dives-sur-Mer,59 ,0.1
14228,Douvres-la-Délivrande - Luc-sur-Mer,20 ,0.1
14258,Falaise,129 ,0.4
14333,Honfleur,51 ,0.3
14342,Isigny-sur-Mer,< 20,0.2
14366,Lisieux,43 ,0.1
14370,Le Molay-Littry,45 ,0.5
14371,Livarot-Pays-d'Auge,47 ,0.7
14431,Mézidon-Canon,< 20,0.1
14478,Orbec,42 ,0.3
14488,Ouistreham,23 ,0.1
14514,Pont-l'Évêque,< 20,0.2
14654,Saint-Pierre-sur-Dives,36 ,0.3
14689,Thury-Harcourt,34 ,0.3
14712,Troarn,< 20,0.0
14752,Villers-Bocage,49 ,0.2
14762,Vire Normandie,420 ,1.2
15014,Aurillac,76 ,0.1
15119,Massiac,< 20,0.1
15120,Mauriac,43 ,0.3
15122,Maurs,61 ,0.5
15138,Murat,< 20,0.1
15162,Riom-ès-Montagnes,< 20,0.1
15187,Saint-Flour,< 20,0.1
16015,Angoulême,643 ,0.4
16028,Barbezieux-Saint-Hilaire,244 ,1.3
16070,Chabanais,471 ,6.2
16073,Chalais,615 ,5.6
16078,Champniers,32 ,0.2
16085,Chasseneuil-sur-Bonnieure,449 ,4.8
16090,Châteauneuf-sur-Charente,135 ,1.4
16102,Cognac,220 ,0.5
16106,Confolens,714 ,6.5
16167,Jarnac,241 ,1.1
16192,Terres-de-Haute-Charente,208 ,3.8
16206,Mansle,399 ,3.7
16223,Montbron,417 ,4.7
16281,La Rochefoucauld-en-Angoumois,133 ,0.9
16286,Rouillac,140 ,1.6
16292,Ruffec,959 ,5.1
17003,Aigrefeuille-d'Aunis,22 ,0.1
17019,Ars-en-Ré,s,s
17024,Aulnay,233 ,3.6
17093,Le Château-d'Oléron,< 20,0.1
17131,Cozes,100 ,0.8
17140,Dolus-d'Oléron,s,s
17161,La Flotte,22 ,0.2
17168,Fouras,< 20,0.1
17172,Gémozac,102 ,1.1
17197,Jonzac,127 ,0.8
17218,Marans,23 ,0.1
17219,Marennes-Hiers-Brouage,< 20,0.1
17224,Matha,359 ,2.9
17240,Montendre,109 ,0.9
17241,Montguyon,139 ,1.3
17283,Pons,234 ,1.2
17299,Rochefort,49 ,0.1
17300,La Rochelle,187 ,0.1
17306,Royan,85 ,0.2
17347,Saint-Jean-d'Angély,321 ,1.4
17385,Saint-Pierre-d'Oléron,< 20,0.1
17397,Saint-Savinien,183 ,1.1
17415,Saintes,190 ,0.3
