date,country,category,value
2016-01-01,England,rent_yoy,3.5
2016-02-01,England,rent_yoy,3.5
2016-03-01,England,rent_yoy,3.4
2016-04-01,England,rent_yoy,3.5
2016-05-01,England,rent_yoy,3.4
2016-06-01,England,rent_yoy,3.4
2016-07-01,England,rent_yoy,3.6
2016-08-01,England,rent_yoy,3.4
2016-09-01,England,rent_yoy,3.4
2016-10-01,England,rent_yoy,3.5
2016-11-01,England,rent_yoy,3.7
2016-12-01,England,rent_yoy,3.6
2017-01-01,England,rent_yoy,3.6
2017-02-01,England,rent_yoy,3.5
2017-03-01,England,rent_yoy,3.2
2017-04-01,England,rent_yoy,3.2
2017-05-01,England,rent_yoy,2.8
2017-06-01,England,rent_yoy,3.0
2017-07-01,England,rent_yoy,2.7
2017-08-01,England,rent_yoy,2.4
2017-09-01,England,rent_yoy,2.2
2017-10-01,England,rent_yoy,1.9
2017-11-01,England,rent_yoy,1.7
2017-12-01,England,rent_yoy,1.6
2018-01-01,England,rent_yoy,1.2
2018-02-01,England,rent_yoy,1.1
2018-03-01,England,rent_yoy,1.0
2018-04-01,England,rent_yoy,0.8
2018-05-01,England,rent_yoy,0.7
2018-06-01,England,rent_yoy,0.6
2018-07-01,England,rent_yoy,0.6
2018-08-01,England,rent_yoy,0.7
2018-09-01,England,rent_yoy,0.8
2018-10-01,England,rent_yoy,0.9
2018-11-01,England,rent_yoy,1.0
2018-12-01,England,rent_yoy,1.1
2019-01-01,England,rent_yoy,1.3
2019-02-01,England,rent_yoy,1.4
2019-03-01,England,rent_yoy,1.7
2019-04-01,England,rent_yoy,1.6
2019-05-01,England,rent_yoy,2.1
2019-06-01,England,rent_yoy,2.0
2019-07-01,England,rent_yoy,1.9
2019-08-01,England,rent_yoy,1.9
2019-09-01,England,rent_yoy,2.1
2019-10-01,England,rent_yoy,2.0
2019-11-01,England,rent_yoy,2.1
2019-12-01,England,rent_yoy,2.1
2020-01-01,England,rent_yoy,2.1
2020-02-01,England,rent_yoy,2.1
2020-03-01,England,rent_yoy,2.0
2020-04-01,England,rent_yoy,2.0
2020-05-01,England,rent_yoy,1.7
2020-06-01,England,rent_yoy,1.7
2020-07-01,England,rent_yoy,1.7
2020-08-01,England,rent_yoy,1.6
2020-09-01,England,rent_yoy,1.5
2020-10-01,England,rent_yoy,1.5
2020-11-01,England,rent_yoy,1.2
2020-12-01,England,rent_yoy,1.0
2021-01-01,England,rent_yoy,1.0
2021-02-01,England,rent_yoy,1.0
2021-03-01,England,rent_yoy,1.0
2021-04-01,England,rent_yoy,1.1
2021-05-01,England,rent_yoy,0.9
2021-06-01,England,rent_yoy,1.0
2021-07-01,England,rent_yoy,1.0
2021-08-01,England,rent_yoy,1.2
2021-09-01,England,rent_yoy,1.2
2021-10-01,England,rent_yoy,1.5
2021-11-01,England,rent_yoy,1.8
2021-12-01,England,rent_yoy,2.3
2022-01-01,England,rent_yoy,2.6
2022-02-01,England,rent_yoy,2.8
2022-03-01,England,rent_yoy,3.1
2022-04-01,England,rent_yoy,3.5
2022-05-01,England,rent_yoy,3.9
2022-06-01,England,rent_yoy,4.0
2022-07-01,England,rent_yoy,4.4
2022-08-01,England,rent_yoy,4.7
2022-09-01,England,rent_yoy,5.1
2022-10-01,England,rent_yoy,5.1
2022-11-01,England,rent_yoy,5.4
2022-12-01,England,rent_yoy,5.5
2023-01-01,England,rent_yoy,5.7
2023-02-01,England,rent_yoy,5.8
2023-03-01,England,rent_yoy,6.0
2023-04-01,England,rent_yoy,6.4
2023-05-01,England,rent_yoy,7.0
2023-06-01,England,rent_yoy,7.4
2023-07-01,England,rent_yoy,7.6
2023-08-01,England,rent_yoy,7.8
2023-09-01,England,rent_yoy,7.8
2023-10-01,England,rent_yoy,8.1
2023-11-01,England,rent_yoy,8.1
2023-12-01,England,rent_yoy,8.1
2024-01-01,England,rent_yoy,8.3
2024-02-01,England,rent_yoy,8.8
2024-03-01,England,rent_yoy,9.1
2024-04-01,England,rent_yoy,8.9
2024-05-01,England,rent_yoy,8.6
2024-06-01,England,rent_yoy,8.6
2024-07-01,England,rent_yoy,8.6
2016-01-01,Wales,rent_yoy,1.2
2016-02-01,Wales,rent_yoy,0.9
2016-03-01,Wales,rent_yoy,0.8
2016-04-01,Wales,rent_yoy,0.6
2016-05-01,Wales,rent_yoy,0.4
2016-06-01,Wales,rent_yoy,0.3
2016-07-01,Wales,rent_yoy,0.3
2016-08-01,Wales,rent_yoy,0.9
2016-09-01,Wales,rent_yoy,1.4
2016-10-01,Wales,rent_yoy,1.4
2016-11-01,Wales,rent_yoy,1.3
2016-12-01,Wales,rent_yoy,1.4
2017-01-01,Wales,rent_yoy,1.5
2017-02-01,Wales,rent_yoy,1.7
2017-03-01,Wales,rent_yoy,1.7
2017-04-01,Wales,rent_yoy,1.7
2017-05-01,Wales,rent_yoy,2.0
2017-06-01,Wales,rent_yoy,2.5
2017-07-01,Wales,rent_yoy,2.8
2017-08-01,Wales,rent_yoy,2.6
2017-09-01,Wales,rent_yoy,2.3
2017-10-01,Wales,rent_yoy,2.3
2017-11-01,Wales,rent_yoy,2.2
2017-12-01,Wales,rent_yoy,2.5
2018-01-01,Wales,rent_yoy,2.0
2018-02-01,Wales,rent_yoy,1.8
2018-03-01,Wales,rent_yoy,2.1
2018-04-01,Wales,rent_yoy,2.4
2018-05-01,Wales,rent_yoy,2.5
2018-06-01,Wales,rent_yoy,2.0
2018-07-01,Wales,rent_yoy,1.8
2018-08-01,Wales,rent_yoy,1.8
2018-09-01,Wales,rent_yoy,1.8
2018-10-01,Wales,rent_yoy,1.7
2018-11-01,Wales,rent_yoy,1.8
2018-12-01,Wales,rent_yoy,2.1
2019-01-01,Wales,rent_yoy,2.4
2019-02-01,Wales,rent_yoy,2.5
2019-03-01,Wales,rent_yoy,2.3
2019-04-01,Wales,rent_yoy,2.3
2019-05-01,Wales,rent_yoy,2.0
2019-06-01,Wales,rent_yoy,2.2
2019-07-01,Wales,rent_yoy,1.9
2019-08-01,Wales,rent_yoy,2.0
2019-09-01,Wales,rent_yoy,2.6
2019-10-01,Wales,rent_yoy,2.6
2019-11-01,Wales,rent_yoy,2.8
2019-12-01,Wales,rent_yoy,2.3
2020-01-01,Wales,rent_yoy,2.2
2020-02-01,Wales,rent_yoy,2.2
2020-03-01,Wales,rent_yoy,2.1
2020-04-01,Wales,rent_yoy,1.8
2020-05-01,Wales,rent_yoy,2.3
2020-06-01,Wales,rent_yoy,2.3
2020-07-01,Wales,rent_yoy,2.8
2020-08-01,Wales,rent_yoy,2.6
2020-09-01,Wales,rent_yoy,1.6
2020-10-01,Wales,rent_yoy,1.5
2020-11-01,Wales,rent_yoy,1.5
2020-12-01,Wales,rent_yoy,1.6
2021-01-01,Wales,rent_yoy,2.0
2021-02-01,Wales,rent_yoy,2.0
2021-03-01,Wales,rent_yoy,2.0
2021-04-01,Wales,rent_yoy,2.1
2021-05-01,Wales,rent_yoy,2.0
2021-06-01,Wales,rent_yoy,2.0
2021-07-01,Wales,rent_yoy,1.4
2021-08-01,Wales,rent_yoy,1.9
2021-09-01,Wales,rent_yoy,2.1
2021-10-01,Wales,rent_yoy,2.4
2021-11-01,Wales,rent_yoy,2.8
2021-12-01,Wales,rent_yoy,2.8
2022-01-01,Wales,rent_yoy,2.7
2022-02-01,Wales,rent_yoy,2.8
2022-03-01,Wales,rent_yoy,2.9
2022-04-01,Wales,rent_yoy,3.1
2022-05-01,Wales,rent_yoy,3.5
2022-06-01,Wales,rent_yoy,3.6
2022-07-01,Wales,rent_yoy,4.3
2022-08-01,Wales,rent_yoy,4.6
2022-09-01,Wales,rent_yoy,5.4
2022-10-01,Wales,rent_yoy,5.5
2022-11-01,Wales,rent_yoy,5.5
