date,share.index,rebased_share_index,party,group
01/01/1923,39.34226495,100,Conservative,0
01/02/1923,40.07576481,100.5030199,Conservative,0
01/03/1923,40.60921925,100.8631031,Conservative,0
01/04/1923,41.47608271,101.4382693,Conservative,0
01/05/1923,41.07599188,101.1743167,Conservative,0
01/06/1923,40.90928737,101.0635769,Conservative,0
01/07/1923,39.17556044,99.8843697,Conservative,0
01/08/1923,38.6087651,99.48751294,Conservative,0
01/09/1923,39.14221954,99.8611846,Conservative,0
01/10/1923,39.00885593,99.7682463,Conservative,0
01/11/1923,39.04219683,99.79151063,Conservative,0
01/12/1923,38.642106,99.51101824,Conservative,0
01/01/1924,38.97551502,100,Labour,1
01/02/1924,40.17578751,100.828049,Labour,1
01/03/1924,39.77569668,100.5548138,Labour,1
01/04/1924,39.84237849,100.6005433,Labour,1
01/05/1924,39.90906029,100.6461964,Labour,1
01/06/1924,39.9757421,100.6917732,Labour,1
01/07/1924,40.14244661,100.8053835,Labour,1
01/08/1924,40.54253744,101.0761347,Labour,1
01/09/1924,40.24246932,100.8733235,Labour,1
01/10/1924,40.64256015,101.143405,Labour,1
01/11/1924,42.07621896,100,Conservative,2
01/12/1924,42.30960527,100.1479195,Conservative,2
01/01/1925,43.00976423,100.5868313,Conservative,2
01/02/1925,43.07644603,100.6282591,Conservative,2
01/03/1925,42.40962798,100.211064,Conservative,2
01/04/1925,42.30960527,100.1479195,Conservative,2
01/05/1925,41.87617354,99.87255734,Conservative,2
01/06/1925,41.84283264,99.85125773,Conservative,2
01/07/1925,41.40940091,99.57280774,Conservative,2
01/08/1925,42.37628708,100.1900324,Conservative,2
01/09/1925,42.20958257,100.0846256,Conservative,2
01/10/1925,43.17646874,100.6902808,Conservative,2
01/11/1925,44.07667311,101.2420963,Conservative,2
01/12/1925,44.17669581,101.3027121,Conservative,2
01/01/1926,44.21003672,101.3228869,Conservative,2
01/02/1926,43.87662769,101.1204509,Conservative,2
01/03/1926,43.07644603,100.6282591,Conservative,2
01/04/1926,42.90974152,100.5245689,Conservative,2
01/05/1926,43.67658228,100.9982497,Conservative,2
01/06/1926,44.54344574,101.523802,Conservative,2
01/07/1926,44.27671852,101.3631909,Conservative,2
01/08/1926,45.14358199,101.8816883,Conservative,2
01/09/1926,45.51033191,102.098062,Conservative,2
