,Date,Value,Measure
0,1990-01-07,0.06750000000000012,Spread
1,1990-01-14,0.12999999999999937,Spread
2,1990-01-21,0.08250000000000002,Spread
3,1990-01-28,0.1480000000000004,Spread
4,1990-02-04,0.166,Spread
5,1990-02-11,0.11800000000000033,Spread
6,1990-02-18,0.08999999999999986,Spread
7,1990-02-25,0.10249999999999959,Spread
8,1990-03-04,0.06999999999999992,Spread
9,1990-03-11,0.018000000000000328,Spread
10,1990-03-18,-0.051999999999999956,Spread
11,1990-03-25,-0.10999999999999979,Spread
12,1990-04-01,-0.04800000000000004,Spread
13,1990-04-08,0.026000000000001224,Spread
14,1990-04-15,0.06250000000000044,Spread
15,1990-04-22,0.07999999999999971,Spread
16,1990-04-29,0.07400000000000055,Spread
17,1990-05-06,0.07599999999999944,Spread
18,1990-05-13,0.1280000000000001,Spread
19,1990-05-20,0.11999999999999993,Spread
20,1990-05-27,0.1260000000000005,Spread
21,1990-06-03,0.12249999999999961,Spread
22,1990-06-10,0.1260000000000005,Spread
23,1990-06-17,0.12800000000000084,Spread
24,1990-06-24,0.10999999999999979,Spread
25,1990-07-01,0.15600000000000022,Spread
26,1990-07-08,0.1924999999999999,Spread
27,1990-07-15,0.22799999999999976,Spread
28,1990-07-22,0.3499999999999993,Spread
29,1990-07-29,0.41600000000000004,Spread
30,1990-08-05,0.48999999999999966,Spread
31,1990-08-12,0.74,Spread
32,1990-08-19,0.7100000000000003,Spread
33,1990-08-26,0.6900000000000002,Spread
34,1990-09-02,0.7219999999999995,Spread
35,1990-09-09,0.7950000000000004,Spread
36,1990-09-16,0.782,Spread
37,1990-09-23,0.8400000000000005,Spread
38,1990-09-30,0.8339999999999996,Spread
39,1990-10-07,0.8020000000000003,Spread
40,1990-10-14,0.9049999999999998,Spread
41,1990-10-21,0.8320000000000001,Spread
42,1990-10-28,0.8120000000000005,Spread
43,1990-11-04,0.89,Spread
44,1990-11-11,0.8859999999999999,Spread
45,1990-11-18,0.7599999999999998,Spread
46,1990-11-25,0.7224999999999997,Spread
47,1990-12-02,0.742,Spread
48,1990-12-09,0.7099999999999997,Spread
49,1990-12-16,0.6880000000000006,Spread
50,1990-12-23,0.764,Spread
