,State and Local Taxes,Revenues
0,Utility ,388.9
1, Sales ,73.06
2,Transaction ,582.31
3,Transportation ,336.09
4,Recreation ,274.35
5,Business ,112.74
6,Income ,366.6
7,Personal Property,403.32
8,Replacement ,163.68
9,Auto Rental ,3.96
10,State Reimbursements,2.0
