country,date,value
Brazil,2024-03-01,355280.14100000006
Canada,2024-03-01,542089.3180000001
Mexico,2024-03-01,260317.632
South Korea,2024-03-01,316610.036
Taiwan,2024-03-01,80316.276
Germany,2024-03-01,49086.449
Japan,2024-03-01,98659.68699999999
Brazil,2024-04-01,349829.9510000001
Canada,2024-04-01,532836.9469999999
Mexico,2024-04-01,383951.915
South Korea,2024-04-01,189043.048
Taiwan,2024-04-01,75272.49500000001
Germany,2024-04-01,88777.515
Japan,2024-04-01,89267.309
Brazil,2024-05-01,410963.58600000007
Canada,2024-05-01,521110.38599999994
Mexico,2024-05-01,281300.01800000004
South Korea,2024-05-01,334554.981
Taiwan,2024-05-01,106185.707
Germany,2024-05-01,80412.61300000001
Japan,2024-05-01,98155.374
Brazil,2024-06-01,281672.457
Canada,2024-06-01,505935.639
Mexico,2024-06-01,190710.82799999995
South Korea,2024-06-01,190203.743
Taiwan,2024-06-01,76084.201
Germany,2024-06-01,59188.740000000005
Japan,2024-06-01,76256.48399999998
Brazil,2024-07-01,375106.50600000005
Canada,2024-07-01,491711.7260000001
Mexico,2024-07-01,153479.24700000003
South Korea,2024-07-01,185249.896
Taiwan,2024-07-01,79216.612
Germany,2024-07-01,100076.88800000002
Japan,2024-07-01,132561.77099999998
Brazil,2024-08-01,413005.5259999999
Canada,2024-08-01,453352.32999999996
Mexico,2024-08-01,146186.24
South Korea,2024-08-01,243115.00899999996
Taiwan,2024-08-01,77037.65000000001
Germany,2024-08-01,114642.64000000001
Japan,2024-08-01,69899.408
Brazil,2024-09-01,299566.6819999999
Canada,2024-09-01,450202.175
Mexico,2024-09-01,242348.857
South Korea,2024-09-01,245511.66800000003
Taiwan,2024-09-01,86036.73500000002
Germany,2024-09-01,72594.49900000001
Japan,2024-09-01,70792.68000000001
Brazil,2024-10-01,330393.004
Canada,2024-10-01,494588.2039999999
Mexico,2024-10-01,327116.6269999999
South Korea,2024-10-01,146874.793
Taiwan,2024-10-01,43098.825000000004
Germany,2024-10-01,127121.61399999999
Japan,2024-10-01,125184.40900000001
Brazil,2024-11-01,277469.4360000001
Canada,2024-11-01,430989.38499999995
Mexico,2024-11-01,255566.60700000002
South Korea,2024-11-01,162020.72900000002
Taiwan,2024-11-01,78407.441
Germany,2024-11-01,66887.829
Japan,2024-11-01,69985.78800000002
Brazil,2024-12-01,103379.753
Canada,2024-12-01,472483.31700000004
Mexico,2024-12-01,296899.236
South Korea,2024-12-01,189660.27700000003
Taiwan,2024-12-01,83387.449
Germany,2024-12-01,87676.31099999999
Japan,2024-12-01,68632.03100000002
Brazil,2025-01-01,531053.2359999999
Canada,2025-01-01,588903.94
Mexico,2025-01-01,428739.9700000001
South Korea,2025-01-01,295922.3260000002
Taiwan,2025-01-01,77159.49300000002
Germany,2025-01-01,87897.92100000002
Japan,2025-01-01,88269.66699999996
Brazil,2025-02-01,404113.92799999996
Canada,2025-02-01,437031.70999999996
Mexico,2025-02-01,253418.19400000002
South Korea,2025-02-01,175679.92599999995
Taiwan,2025-02-01,73531.87700000001
Germany,2025-02-01,80428.01500000003
Japan,2025-02-01,103801.26399999997
Brazil,2025-03-01,404699.184915
Canada,2025-03-01,359004.3048760001
Mexico,2025-03-01,317259.2949140002
South Korea,2025-03-01,222967.66694999996
Taiwan,2025-03-01,111577.08262199997
Germany,2025-03-01,97227.06978999994
Japan,2025-03-01,81734.84369799998
Brazil,2025-04-01,51741.536086
Canada,2025-04-01,8815.575515999997
Mexico,2025-04-01,3970.0428330000004
South Korea,2025-04-01,48680.94370800003
Taiwan,2025-04-01,23901.577037999992
Germany,2025-04-01,10674.023391999996
Japan,2025-04-01,13456.666619999993
