DateTime,tax_type,tax_rate
1973-04-01,Small profits rate,0.42
1974-04-01,Small profits rate,0.42
1975-04-01,Small profits rate,0.42
1975-04-01,Small profits rate,0.42
1976-04-01,Small profits rate,0.42
1977-04-01,Small profits rate,0.42
1978-04-01,Small profits rate,0.42
1979-04-01,Small profits rate,0.42
1979-04-01,Small profits rate,0.4
1980-01-01,Small profits rate,0.4
1980-01-01,Small profits rate,0.4
1981-04-01,Small profits rate,0.4
1982-04-01,Small profits rate,0.4
1982-04-01,Small profits rate,0.38
1983-04-01,Small profits rate,0.38
1983-04-01,Small profits rate,0.3
1984-04-01,Small profits rate,0.3
1984-04-01,Small profits rate,0.3
1985-04-01,Small profits rate,0.3
1985-04-01,Small profits rate,0.3
1986-04-01,Small profits rate,0.3
1986-04-01,Small profits rate,0.29
1987-04-01,Small profits rate,0.29
1987-04-01,Small profits rate,0.27
1988-04-01,Small profits rate,0.27
1988-04-01,Small profits rate,0.25
1989-04-01,Small profits rate,0.25
1990-04-01,Small profits rate,0.25
1990-04-01,Small profits rate,0.25
1991-04-01,Small profits rate,0.25
1991-04-01,Small profits rate,0.25
1992-04-01,Small profits rate,0.25
1993-06-01,Small profits rate,0.25
1993-06-01,Small profits rate,0.25
1994-04-01,Small profits rate,0.25
1995-04-01,Small profits rate,0.25
1996-04-01,Small profits rate,0.25
1996-04-01,Small profits rate,0.24
1997-04-01,Small profits rate,0.24
1997-04-01,Small profits rate,0.21
1998-04-01,Small profits rate,0.21
1999-04-01,Small profits rate,0.21
1999-04-01,Small profits rate,0.2
2000-04-01,Small profits rate,0.2
2001-04-01,Small profits rate,0.2
2002-04-01,Small profits rate,0.2
2002-04-01,Small profits rate,0.19
2003-04-01,Small profits rate,0.19
2004-04-01,Small profits rate,0.19
2005-04-01,Small profits rate,0.19
2006-04-01,Small profits rate,0.19
2006-04-01,Small profits rate,0.19
2007-04-01,Small profits rate,0.19
2007-04-01,Small profits rate,0.2
2008-04-01,Small profits rate,0.2
2008-04-01,Small profits rate,0.21
2009-04-01,Small profits rate,0.21
2010-04-01,Small profits rate,0.21
2011-03-01,Small profits rate,0.21
2011-03-01,Small profits rate,0.21
2011-04-01,Small profits rate,0.21
2011-04-01,Small profits rate,0.2
2012-04-01,Small profits rate,0.2
2012-04-01,Small profits rate,0.2
2013-04-01,Small profits rate,0.2
2013-04-01,Small profits rate,0.2
2014-04-01,Small profits rate,0.2
2014-04-01,Small profits rate,0.2
2015-01-01,Small profits rate,0.2
2015-01-01,Small profits rate,0.2
2015-04-01,Small profits rate,0.2
2015-04-01,Small profits rate,0.2
2016-01-01,Small profits rate,0.2
2016-01-01,Small profits rate,0.2
2016-04-01,Small profits rate,0.2
2016-04-01,Small profits rate,
2017-04-01,Small profits rate,
2017-04-01,Small profits rate,
2018-04-01,Small profits rate,
2019-04-01,Small profits rate,
2020-04-01,Small profits rate,
