Country,Category,Percentage
Mexico,Underqualification,0.12
Mexico,Overqualification,0.38
Portugal,Underqualification,0.16
Portugal,Overqualification,0.27
Türkiye,Underqualification,0.14
Türkiye,Overqualification,0.28
Greece,Underqualification,0.17
Greece,Overqualification,0.25
Ireland,Underqualification,0.19
Ireland,Overqualification,0.22
New Zealand,Underqualification,0.19
New Zealand,Overqualification,0.22
Spain,Underqualification,0.31
Spain,Overqualification,0.10
United Kingdom,Underqualification,0.26
United Kingdom,Overqualification,0.14
Germany,Underqualification,0.21
Germany,Overqualification,0.19
Estonia,Underqualification,0.21
Estonia,Overqualification,0.17
Australia,Underqualification,0.18
Australia,Overqualification,0.20
Iceland,Underqualification,0.15
Iceland,Overqualification,0.23
Italy,Underqualification,0.18
Italy,Overqualification,0.19
Canada,Underqualification,0.23
Canada,Overqualification,0.14
Netherlands,Underqualification,0.23
Netherlands,Overqualification,0.14
Latvia,Underqualification,0.18
Latvia,Overqualification,0.17
Switzerland,Underqualification,0.17
Switzerland,Overqualification,0.18
Norway,Underqualification,0.14
Norway,Overqualification,0.21
Austria,Underqualification,0.12
Austria,Overqualification,0.22
Lithuania,Underqualification,0.17
Lithuania,Overqualification,0.17
OECD Average,Underqualification,0.17
OECD Average,Overqualification,0.17
Belgium,Underqualification,0.22
Belgium,Overqualification,0.11
France,Underqualification,0.21
France,Overqualification,0.11
Korea,Underqualification,0.21
Korea,Overqualification,0.11
United States,Underqualification,0.16
United States,Overqualification,0.15
EU Average,Underqualification,0.16
EU Average,Overqualification,0.15
Denmark,Underqualification,0.14
Denmark,Overqualification,0.16
Luxembourg,Underqualification,0.14
Luxembourg,Overqualification,0.15
Finland,Underqualification,0.20
Finland,Overqualification,0.08
Sweden,Underqualification,0.12
Sweden,Overqualification,0.15
Slovenia,Underqualification,0.12
Slovenia,Overqualification,0.10
Poland,Underqualification,0.13
Poland,Overqualification,0.09
Hungary,Underqualification,0.12
Hungary,Overqualification,0.09
Slovak Republic,Underqualification,0.07
Slovak Republic,Overqualification,0.13
Czechia,Underqualification,0.09
Czechia,Overqualification,0.07
