date,uk_tfp
1950-01-01,
1951-01-01,
1952-01-01,
1953-01-01,
1954-01-01,0.744318425655365
1955-01-01,0.742429316043854
1956-01-01,0.731307625770569
1957-01-01,0.727299511432648
1958-01-01,0.726810991764069
1959-01-01,0.741845846176148
1960-01-01,0.746580064296722
1961-01-01,0.745192348957062
1962-01-01,0.748933255672455
1963-01-01,0.762313902378082
1964-01-01,0.774428427219391
1965-01-01,0.772159159183502
1966-01-01,0.779643774032593
1967-01-01,0.786200881004334
1968-01-01,0.825162351131439
1969-01-01,0.801650524139404
1970-01-01,0.813037693500519
1971-01-01,0.841868281364441
1972-01-01,0.852662324905396
1973-01-01,0.877902448177338
1974-01-01,0.843088865280151
1975-01-01,0.828959822654724
1976-01-01,0.845153510570526
1977-01-01,0.848919570446014
1978-01-01,0.866127669811249
1979-01-01,0.87871116399765
1980-01-01,0.861326098442078
1981-01-01,0.872337341308594
1982-01-01,0.891428232192993
1983-01-01,0.922784149646759
1984-01-01,0.91445118188858
1985-01-01,0.927548289299011
1986-01-01,0.938574910163879
1987-01-01,0.957858741283417
1988-01-01,0.967674732208252
1989-01-01,0.951215922832489
1990-01-01,0.936218559741974
1991-01-01,0.931552231311798
1992-01-01,0.934883892536163
1993-01-01,0.949084401130676
1994-01-01,0.959398090839386
1995-01-01,0.957683920860291
1996-01-01,0.956362187862396
1997-01-01,0.976218700408936
1998-01-01,0.984906256198883
1999-01-01,0.991198301315308
2000-01-01,1.0126223564148
2001-01-01,1.016117811203
2002-01-01,1.02082276344299
2003-01-01,1.03604209423065
2004-01-01,1.04172587394714
2005-01-01,1.04797208309174
2006-01-01,1.05330979824066
2007-01-01,1.05969798564911
2008-01-01,1.04089832305908
2009-01-01,1.00172996520996
2010-01-01,1.01071655750275
2011-01-01,1.01364231109619
2012-01-01,1.00909698009491
2013-01-01,1.0080748796463
2014-01-01,1.01404857635498
2015-01-01,1.01628375053406
2016-01-01,1.01578724384308
2017-01-01,1.02354860305786
2018-01-01,1.02196455001831
2019-01-01,1.01816308498383
2020-01-01,0.972712874412537
2021-01-01,1.0
2022-01-01,1.01048302650452
2023-01-01,0.998529374599457
