REF_AREA,TIME_PERIOD,gfcf_pct_gdp
AUS,1970,30.5970518401266
CAN,1970,21.6267860401705
DNK,1970,25.2325003558909
FRA,1970,26.1072333957082
KOR,1970,25.62203161551
NOR,1970,27.9864525292254
CHN,1970,24.1000262766051
AUS,1971,30.0271221392868
CAN,1971,22.4875817636355
DNK,1971,24.6849245786608
FRA,1971,26.3131374121963
KOR,1971,23.1364984308871
NZL,1971,23.019693654267
NOR,1971,30.5694043558121
CHN,1971,24.8049414824447
AUS,1972,29.028701996312
CAN,1972,22.1941314822808
DNK,1972,25.8196246832771
FRA,1972,26.4246099581532
KOR,1972,21.2315601769297
NZL,1972,24.9523567526363
NOR,1972,28.8583620433361
USA,1972,21.8686430408644
CHN,1972,24.5883043223157
AUS,1973,28.4423856398379
CAN,1973,22.706556563332
DNK,1973,25.7067486726741
FRA,1973,26.6832222132246
KOR,1973,24.0443302280758
NZL,1973,24.875027168007
NOR,1973,30.0635736715719
USA,1973,22.2178569023191
CHN,1973,24.2447294066507
AUS,1974,25.8114244071977
CAN,1974,23.5168419987862
DNK,1974,24.8432069561252
FRA,1974,27.2695128516327
KOR,1974,26.844843897824
NZL,1974,27.8338278931751
NOR,1974,31.7943329853237
USA,1974,21.7895826093372
CHN,1974,26.5164889485206
AUS,1975,26.1732181580744
CAN,1975,24.2761116856256
DNK,1975,22.338773572577
FRA,1975,25.8111788148876
KOR,1975,26.900737697264
NZL,1975,30.2011065249846
NOR,1975,34.7584216376004
USA,1975,20.6487728677717
CHN,1975,29.0017409585126
AUS,1976,25.74996366958
CAN,1976,23.788509898731
DNK,1976,24.2077568106141
FRA,1976,25.4302033068177
KOR,1976,26.1027510952679
NZL,1976,26.9068251808351
NOR,1976,37.0902360301654
USA,1976,21.1247712729501
CHN,1976,28.9885088188135
AUS,1977,26.2822218842674
CAN,1977,23.2797746934328
DNK,1977,23.4478597755814
FRA,1977,24.4997486074696
KOR,1977,29.0212194296353
NZL,1977,24.4022503516174
NOR,1977,37.2198689402991
USA,1977,22.4539418760261
CHN,1977,28.0794986791178
AUS,1978,26.6432901961774
CAN,1978,22.9447585044134
DNK,1978,23.0053100102788
FRA,1978,24.0387802068679
KOR,1978,33.2578459901749
