country_code,year,gdp_per_hour,indexed_2000,p10,p90
AUS,1995,47.3651872678764,138.92291866060893,73.7287099532162,119.15794100451153
AUS,1996,28.447785330903,83.43784951695578,78.28575490181568,95.44325262887716
AUS,1997,50.8287079677144,149.0814851567507,82.55805453775649,120.84553546820604
AUS,1998,31.4441541558966,92.22625143327387,90.56580611858341,98.57605642354187
AUS,1999,53.2109862953977,156.06874895604605,93.32340216806978,125.09885976387092
AUS,2000,34.0945811710092,100.0,100.0,100.0
AUS,2001,55.9628084497333,164.13989123092313,99.92210708877577,130.14958514213373
AUS,2002,37.131788691505,108.9081825210346,100.07003879457697,112.9141862624287
AUS,2003,58.0215846031521,170.17831752245763,101.10170135197774,143.08608166613882
AUS,2004,40.1955415302869,117.8942229226308,103.59517462071307,128.13986034782982
AUS,2005,58.6695438287431,172.07879320902205,102.41753553303921,169.77326069660705
AUS,2006,43.8313449232654,128.55809755638063,106.36716301113105,152.86255982958795
AUS,2007,59.3923292763002,174.19873550698375,107.60781837840227,173.8745015838049
AUS,2008,46.2233272485165,135.57382334944307,107.02448773829661,166.8277879232891
AUS,2009,61.2341993655344,179.60097253695596,105.7490664780711,173.91482001758484
AUS,2010,49.75513574947,145.9326791548243,105.90222399779203,166.44317037272864
AUS,2011,62.6219832084402,183.67136670295275,108.95620079869195,180.43075115664453
AUS,2012,51.6558286643652,151.50744455628748,105.37574340122478,176.0323580881275
AUS,2013,65.1315130763989,191.03186148472344,108.9135688534266,190.73485473224028
AUS,2014,57.0392066824886,167.29698598259753,107.60143025708284,181.8643256072528
AUS,2015,66.6276420106326,195.42003368936065,111.57575360781838,204.26970091518817
AUS,2016,59.8316324903609,175.48721948001534,109.75213327284052,198.27358864357458
AUS,2017,67.3316449827884,197.48488666005625,112.92094199837705,211.68474587727326
AUS,2018,62.4562272620369,183.18520162712468,112.48580492122971,212.09309167065194
AUS,2019,68.4392838733405,200.73361080480078,112.82315704504768,219.9496804785964
AUS,2020,69.7132000303643,204.47002906620773,114.12420197413894,229.2672017515385
AUS,2021,70.7547998324159,207.52505941495204,115.52379133507482,242.81399760127127
AUS,2022,68.1022481020544,199.74507902141966,114.89515334036724,261.32531394956897
AUS,2023,68.165761842534,199.93136592772018,114.60564836443956,240.21474771711718
AUT,1995,62.1361273726532,91.89105500986089,73.7287099532162,119.15794100451153
AUT,1996,62.1166989848262,91.86232301238933,78.28575490181568,95.44325262887716
AUT,1997,62.6376038489207,92.6326719147974,82.55805453775649,120.84553546820604
AUT,1998,64.9229690553123,96.01242261343167,90.56580611858341,98.57605642354187
AUT,1999,66.1523838261821,97.83056328483845,93.32340216806978,125.09885976387092
AUT,2000,67.619342672674,100.0,100.0,100.0
AUT,2001,68.4757286704652,101.26648080851174,99.92210708877577,130.14958514213373
AUT,2002,69.6851215184024,103.05501172309268,100.07003879457697,112.9141862624287
AUT,2003,70.3462559248839,104.03274143821557,101.10170135197774,143.08608166613882
AUT,2004,71.4937550137757,105.72973972825591,103.59517462071307,128.13986034782982
AUT,2005,73.1975453469749,108.24941866309379,102.41753553303921,169.77326069660705
AUT,2006,75.0015413270462,110.91728840090525,106.36716301113105,152.86255982958795
AUT,2007,76.8400778001229,113.6362389266099,107.60781837840227,173.8745015838049
AUT,2008,76.7530505808636,113.50753726253046,107.02448773829661,166.8277879232891
AUT,2009,76.4593648159336,113.07321513912318,105.7490664780711,173.91482001758484
AUT,2010,77.4342800385513,114.51498488145415,105.90222399779203,166.44317037272864
AUT,2011,77.9865395807036,115.33170317584165,108.95620079869195,180.43075115664453
AUT,2012,78.5899306990941,116.22403826006651,105.37574340122478,176.0323580881275
AUT,2013,78.4572858142604,116.02787414549385,108.9135688534266,190.73485473224028
AUT,2014,78.3634440744509,115.88909471330717,107.60143025708284,181.8643256072528
AUT,2015,79.7046992996006,117.87263251792966,111.57575360781838,204.26970091518817
AUT,2016,79.697427942038,117.86187914873794,109.75213327284052,198.27358864357458
AUT,2017,80.6164664051292,119.22101460727086,112.92094199837705,211.68474587727326
AUT,2018,80.8468093907365,119.56166119817655,112.48580492122971,212.09309167065194
AUT,2019,80.7901806860852,119.47791488770821,112.82315704504768,219.9496804785964
AUT,2020,83.2201184302116,123.07146911063084,114.12420197413894,229.2672017515385
AUT,2021,82.9907512281334,122.73226557357712,115.52379133507482,242.81399760127127
AUT,2022,85.0801438104704,125.82219886744417,114.89515334036724,261.32531394956897
AUT,2023,83.3832357040562,123.31269782921544,114.60564836443956,240.21474771711718
AUT,2024,83.4260174235068,123.37596629317802,115.95562727554262,294.32620970159763
BEL,1995,72.0019642176341,92.87727328868162,73.7287099532162,119.15794100451153
BEL,1996,72.9358032445152,94.08185740593035,78.28575490181568,95.44325262887716
BEL,1997,74.8453331762089,96.54501150520974,82.55805453775649,120.84553546820604
BEL,1998,75.3619643631008,97.21142799059032,90.56580611858341,98.57605642354187
BEL,1999,76.9125705755804,99.21159671549194,93.32340216806978,125.09885976387092
BEL,2000,77.5237705287032,100.0,100.0,100.0
BEL,2001,77.7013223156304,100.22902883298417,99.92210708877577,130.14958514213373
BEL,2002,78.2341747032393,100.91636948214881,100.07003879457697,112.9141862624287
BEL,2003,78.8936579045809,101.76705462922564,101.10170135197774,143.08608166613882
BEL,2004,81.4428473508001,105.05532276793201,103.59517462071307,128.13986034782982
BEL,2005,82.6831584844655,106.6552335117034,102.41753553303921,169.77326069660705
BEL,2006,83.1122661291929,107.20875102226944,106.36716301113105,152.86255982958795
