year,country,value
2000-01-01,Canada,0.195993356617119
2001-01-01,Canada,0.201517646904638
2002-01-01,Canada,0.19974918048031
2003-01-01,Canada,0.200124009557343
2004-01-01,Canada,0.208745968478518
2005-01-01,Canada,0.218374293828034
2006-01-01,Canada,0.228852031372989
2007-01-01,Canada,0.233389957278501
2008-01-01,Canada,0.234690170424371
2009-01-01,Canada,0.223069697467248
2010-01-01,Canada,0.23461236964645601
2011-01-01,Canada,0.235104953995433
2012-01-01,Canada,0.244941864760659
2013-01-01,Canada,0.24187212084222398
2014-01-01,Canada,0.243893293738975
2015-01-01,Canada,0.23850581931048498
2016-01-01,Canada,0.227723764559748
2017-01-01,Canada,0.226963325471202
2018-01-01,Canada,0.22676090231482998
2019-01-01,Canada,0.22579977290439002
2020-01-01,Canada,0.231842365277416
2021-01-01,Canada,0.23789323664906
2022-01-01,Canada,0.229501146990116
2023-01-01,Canada,0.228530818287483
2024-01-01,Canada,0.225959576167528
2000-01-01,France,0.208814379037151
2001-01-01,France,0.208602882389306
2002-01-01,France,0.203363313536887
2003-01-01,France,0.20498950633934498
2004-01-01,France,0.208372793779546
2005-01-01,France,0.212552645424979
2006-01-01,France,0.218977868505057
2007-01-01,France,0.225857089020594
2008-01-01,France,0.22933013507489497
2009-01-01,France,0.214495235712121
2010-01-01,France,0.214821676799635
2011-01-01,France,0.21699292783705298
2012-01-01,France,0.216559249264002
2013-01-01,France,0.212695637926893
2014-01-01,France,0.209583861621479
2015-01-01,France,0.205598696757557
2016-01-01,France,0.209212601092418
2017-01-01,France,0.21420433607564401
2018-01-01,France,0.218753900672966
2019-01-01,France,0.224160955392444
2020-01-01,France,0.22436230851181602
2021-01-01,France,0.234832287343303
2022-01-01,France,0.23485770821461302
2023-01-01,France,0.228344674932245
2024-01-01,France,0.22096846539157
2000-01-01,Germany,0.228829484518656
2001-01-01,Germany,0.215433631059471
2002-01-01,Germany,0.198867030080599
2003-01-01,Germany,0.19263882256862502
2004-01-01,Germany,0.188314639081743
2005-01-01,Germany,0.187644203275559
2006-01-01,Germany,0.194624059220668
2007-01-01,Germany,0.197151702055684
2008-01-01,Germany,0.199630399184329
2009-01-01,Germany,0.188381977329318
2010-01-01,Germany,0.191861612229759
2011-01-01,Germany,0.20008118212828202
2012-01-01,Germany,0.19966312766139901
2013-01-01,Germany,0.19577146883983101
2014-01-01,Germany,0.19782574460457
2015-01-01,Germany,0.19747751074657502
2016-01-01,Germany,0.20043846883303398
2017-01-01,Germany,0.201339289732412
2018-01-01,Germany,0.208175234345652
2019-01-01,Germany,0.211522978107472
2020-01-01,Germany,0.213426763110307
2021-01-01,Germany,0.21181504152251002
2022-01-01,Germany,0.216010467765749
2023-01-01,Germany,0.21191687740412501
2024-01-01,Germany,0.204603173503166
2000-01-01,Italy,0.212257586739508
2001-01-01,Italy,0.21191892455512998
2002-01-01,Italy,0.2181208675062
2003-01-01,Italy,0.212842346571997
2004-01-01,Italy,0.21359802085447602
2005-01-01,Italy,0.216734394073244
2006-01-01,Italy,0.219242418666958
2007-01-01,Italy,0.219944755997434
2008-01-01,Italy,0.21562045770846003
2009-01-01,Italy,0.203159597572588
2010-01-01,Italy,0.20238664522959302
2011-01-01,Italy,0.199088467204091
2012-01-01,Italy,0.18482391893923603
2013-01-01,Italy,0.173118980803026
2014-01-01,Italy,0.168397294480548
2015-01-01,Italy,0.17080917997036799
2016-01-01,Italy,0.172934651927051
2017-01-01,Italy,0.175794629155864
2018-01-01,Italy,0.179722011780771
2019-01-01,Italy,0.18129179030399498
2020-01-01,Italy,0.182018164062184
2021-01-01,Italy,0.207705217357607
2022-01-01,Italy,0.217757352760856
2023-01-01,Italy,0.22658714403148297
2024-01-01,Italy,0.221523278072561
2000-01-01,Japan,0.284871419080841
2001-01-01,Japan,0.277309731011096
2002-01-01,Japan,0.262604182019213
2003-01-01,Japan,0.257133538154767
2004-01-01,Japan,0.253239274810451
2005-01-01,Japan,0.259010440257525
