country,year,capital_per_worker
Canada,1950,50796.5
Canada,1951,52075.2
Canada,1952,52713.3
Canada,1953,54043.2
Canada,1954,54373.8
Canada,1955,55609.2
Canada,1956,57960.8
Canada,1957,59251.6
Canada,1958,60381.4
Canada,1959,61912.4
Canada,1960,63291.0
Canada,1961,64624.8
Canada,1962,66354.8
Canada,1963,68115.7
Canada,1964,70212.7
Canada,1965,73133.6
Canada,1966,76356.9
Canada,1967,78664.7
Canada,1968,81214.9
Canada,1969,84306.1
Canada,1970,86659.0
Canada,1971,88726.6
Canada,1972,91343.8
Canada,1973,94557.6
Canada,1974,97787.5
Canada,1975,101013.5
Canada,1976,104427.4
Canada,1977,107979.0
Canada,1978,111617.9
Canada,1979,115458.9
Canada,1980,119319.1
Canada,1981,123789.5
Canada,1982,126719.9
Canada,1983,129376.6
Canada,1984,132089.0
Canada,1985,135362.5
Canada,1986,138600.3
Canada,1987,142246.7
Canada,1988,146235.3
Canada,1989,150066.5
Canada,1990,153131.1
Canada,1991,155604.8
Canada,1992,157662.2
Canada,1993,159483.6
Canada,1994,161850.9
Canada,1995,163790.5
Canada,1996,166052.5
Canada,1997,169352.0
Canada,1998,172754.3
Canada,1999,176225.4
Canada,2000,179629.1
Canada,2001,183125.2
Canada,2002,186418.6
Canada,2003,190193.1
Canada,2004,194695.4
Canada,2005,199898.4
Canada,2006,205413.3
Canada,2007,210762.0
Canada,2008,215734.5
Canada,2009,218586.6
Canada,2010,222722.8
Canada,2011,227299.6
Canada,2012,232246.1
Canada,2013,237052.0
Canada,2014,242151.7
Canada,2015,246306.4
Canada,2016,249137.3
Canada,2017,251828.1
Canada,2018,254464.5
Canada,2019,256996.0
Canada,2020,259496.2
Canada,2021,263874.6
Canada,2022,267131.8
Canada,2023,268984.2
Germany,1950,22416.5
Germany,1951,23870.3
Germany,1952,25575.1
Germany,1953,27251.6
Germany,1954,29217.3
Germany,1955,31969.7
Germany,1956,34651.9
Germany,1957,37248.8
Germany,1958,39722.9
Germany,1959,42665.5
Germany,1960,46288.2
Germany,1961,49764.4
Germany,1962,53158.6
Germany,1963,56238.4
Germany,1964,59886.3
Germany,1965,63716.5
Germany,1966,67228.0
Germany,1967,69839.3
Germany,1968,73004.6
Germany,1969,76882.1
Germany,1970,81258.1
Germany,1971,86014.9
Germany,1972,90463.0
Germany,1973,94830.5
Germany,1974,98551.5
Germany,1975,102183.3
Germany,1976,106047.0
Germany,1977,109933.4
Germany,1978,113936.2
Germany,1979,118096.1
Germany,1980,122030.7
Germany,1981,125384.1
Germany,1982,128480.5
Germany,1983,131917.1
Germany,1984,135364.2
Germany,1985,138590.1
Germany,1986,141580.9
Germany,1987,144447.3
Germany,1988,147237.7
Germany,1989,149908.7
Germany,1990,152921.3
Germany,1991,156321.1
Germany,1992,159708.7
Germany,1993,162513.1
Germany,1994,166080.9
Germany,1995,169580.8
Germany,1996,172925.1
Germany,1997,176436.1
Germany,1998,181289.0
Germany,1999,186305.1
Germany,2000,190300.3
Germany,2001,193650.7
Germany,2002,196097.4
Germany,2003,198461.8
Germany,2004,200859.3
Germany,2005,203310.7
Germany,2006,207119.8
Germany,2007,211226.8
Germany,2008,214711.3
Germany,2009,216919.3
Germany,2010,219491.2
Germany,2011,222386.5
Germany,2012,225029.3
Germany,2013,227240.5
Germany,2014,229156.6
Germany,2015,230092.1
Germany,2016,231341.4
Germany,2017,233651.9
Germany,2018,236394.2
Germany,2019,239378.4
Germany,2020,242191.9
Germany,2021,245045.2
Germany,2022,246909.2
Germany,2023,248354.3
France,1950,60812.9
France,1951,61827.9
France,1952,62797.6
France,1953,63762.7
France,1954,65176.3
France,1955,66782.0
France,1956,68670.0
France,1957,70824.0
France,1958,73242.5
France,1959,75410.1
France,1960,78455.3
France,1961,81320.9
France,1962,83803.1
France,1963,86877.6
France,1964,90811.9
France,1965,94828.0
France,1966,99223.7
France,1967,103865.3
France,1968,108639.9
France,1969,113979.3
France,1970,119378.6
France,1971,124914.1
France,1972,130625.9
France,1973,136739.9
France,1974,142886.9
France,1975,148126.3
France,1976,153296.5
France,1977,157919.2
France,1978,162564.3
France,1979,167230.9
France,1980,171782.7
France,1981,175785.6
France,1982,179342.9
France,1983,182331.0
France,1984,185050.3
France,1985,187754.7
France,1986,190676.4
France,1987,193885.1
France,1988,197715.7
France,1989,202073.7
France,1990,206644.6
France,1991,210840.1
France,1992,214452.7
France,1993,217182.8
France,1994,220103.4
France,1995,222992.5
France,1996,225759.4
France,1997,228371.2
France,1998,231447.6
France,1999,234803.7
France,2000,238320.7
France,2001,241652.0
France,2002,244482.6
France,2003,247363.2
France,2004,250398.5
France,2005,253549.8
France,2006,257124.9
France,2007,261304.5
France,2008,265414.4
France,2009,267977.2
France,2010,270735.1
France,2011,273585.1
France,2012,276181.6
France,2013,278483.5
France,2014,280629.5
France,2015,283045.5
France,2016,285905.7
France,2017,288942.0
France,2018,292126.6
France,2019,295764.8
France,2020,298349.1
France,2021,302268.4
France,2022,306038.8
France,2023,309664.2
United Kingdom,1950,35841.8
United Kingdom,1951,38148.0
United Kingdom,1952,39545.0
United Kingdom,1953,41237.7
United Kingdom,1954,42969.2
United Kingdom,1955,45063.0
United Kingdom,1956,47008.2
United Kingdom,1957,48988.3
United Kingdom,1958,50657.5
United Kingdom,1959,52514.4
United Kingdom,1960,54917.6
United Kingdom,1961,57269.6
United Kingdom,1962,59130.1
United Kingdom,1963,61242.2
United Kingdom,1964,64661.0
United Kingdom,1965,67853.5
United Kingdom,1966,70872.8
United Kingdom,1967,74173.7
United Kingdom,1968,77935.1
United Kingdom,1969,81407.2
United Kingdom,1970,84799.3
United Kingdom,1971,88059.1
United Kingdom,1972,91149.9
United Kingdom,1973,94729.6
United Kingdom,1974,98063.3
United Kingdom,1975,101135.2
United Kingdom,1976,104273.0
United Kingdom,1977,107131.3
United Kingdom,1978,110032.8
United Kingdom,1979,112900.4
United Kingdom,1980,115136.1
United Kingdom,1981,116620.1
United Kingdom,1982,118648.7
United Kingdom,1983,120948.6
United Kingdom,1984,123820.5
United Kingdom,1985,126821.1
United Kingdom,1986,129848.3
United Kingdom,1987,133661.1
United Kingdom,1988,138862.0
United Kingdom,1989,144406.6
United Kingdom,1990,148943.8
United Kingdom,1991,152117.7
United Kingdom,1992,155406.2
United Kingdom,1993,158736.2
United Kingdom,1994,162817.9
United Kingdom,1995,167040.1
United Kingdom,1996,171731.6
United Kingdom,1997,175191.3
United Kingdom,1998,179025.1
United Kingdom,1999,182641.2
United Kingdom,2000,186628.0
United Kingdom,2001,190600.4
United Kingdom,2002,194351.7
United Kingdom,2003,197997.3
United Kingdom,2004,201484.5
United Kingdom,2005,204955.1
United Kingdom,2006,208383.7
United Kingdom,2007,211918.1
United Kingdom,2008,214646.1
United Kingdom,2009,215676.4
United Kingdom,2010,217014.0
United Kingdom,2011,218163.5
United Kingdom,2012,219565.0
United Kingdom,2013,221288.8
United Kingdom,2014,223493.8
United Kingdom,2015,226209.8
United Kingdom,2016,229339.9
United Kingdom,2017,232787.4
United Kingdom,2018,236099.5
United Kingdom,2019,239577.5
United Kingdom,2020,241866.5
United Kingdom,2021,244899.8
United Kingdom,2022,247722.8
United Kingdom,2023,250412.9
Italy,1950,34730.2
Italy,1951,35951.7
Italy,1952,37144.9
Italy,1953,38632.5
Italy,1954,40221.2
Italy,1955,42307.0
Italy,1956,44489.8
Italy,1957,46850.0
Italy,1958,49181.6
Italy,1959,51733.4
Italy,1960,54875.8
Italy,1961,58514.4
Italy,1962,62345.1
Italy,1963,66267.8
Italy,1964,69349.9
Italy,1965,71870.1
Italy,1966,74640.8
Italy,1967,78068.3
Italy,1968,81704.4
Italy,1969,85968.7
Italy,1970,92809.0
Italy,1971,99430.6
Italy,1972,105915.2
Italy,1973,112668.5
Italy,1974,119345.9
Italy,1975,124885.1
Italy,1976,130254.0
Italy,1977,135697.9
Italy,1978,141035.3
Italy,1979,146853.4
Italy,1980,152913.2
Italy,1981,158396.5
Italy,1982,163558.2
Italy,1983,168412.5
Italy,1984,173594.8
Italy,1985,178706.6
Italy,1986,184019.6
Italy,1987,189617.8
Italy,1988,195692.0
Italy,1989,202029.1
Italy,1990,208557.2
Italy,1991,214920.8
Italy,1992,220818.0
Italy,1993,224872.7
Italy,1994,228120.5
Italy,1995,233176.0
Italy,1996,239243.4
Italy,1997,244279.2
Italy,1998,249616.2
Italy,1999,255294.0
Italy,2000,261669.8
Italy,2001,268035.8
Italy,2002,274280.9
Italy,2003,279046.8
Italy,2004,283244.1
Italy,2005,287865.0
Italy,2006,293145.4
Italy,2007,297767.6
Italy,2008,300951.4
Italy,2009,302729.9
Italy,2010,304929.2
Italy,2011,307080.2
Italy,2012,307954.7
Italy,2013,308140.7
Italy,2014,308721.2
Italy,2015,310099.1
Italy,2016,311975.1
Italy,2017,314114.5
Italy,2018,316706.5
Italy,2019,319567.8
Italy,2020,321728.2
Italy,2021,326592.7
Italy,2022,332081.2
Italy,2023,338630.3
Japan,1950,10667.1
Japan,1951,11050.6
Japan,1952,11288.8
Japan,1953,11497.5
Japan,1954,11800.9
Japan,1955,12222.3
Japan,1956,12781.9
Japan,1957,13559.5
Japan,1958,14287.8
Japan,1959,15199.7
Japan,1960,16573.4
Japan,1961,18333.8
Japan,1962,20154.3
Japan,1963,22135.4
Japan,1964,24447.5
Japan,1965,26712.3
Japan,1966,29335.4
Japan,1967,32544.5
Japan,1968,36446.4
Japan,1969,40982.5
Japan,1970,46351.6
Japan,1971,51557.5
Japan,1972,57014.8
Japan,1973,62835.9
Japan,1974,67359.8
Japan,1975,71566.2
Japan,1976,75847.7
Japan,1977,80044.9
Japan,1978,84660.5
Japan,1979,89453.0
Japan,1980,93676.8
Japan,1981,98000.8
Japan,1982,102161.5
Japan,1983,106014.5
Japan,1984,110019.0
Japan,1985,114425.5
Japan,1986,118963.8
Japan,1987,123943.3
Japan,1988,129973.3
Japan,1989,136655.4
Japan,1990,143872.1
Japan,1991,150863.8
Japan,1992,157098.5
Japan,1993,162608.6
Japan,1994,167705.1
Japan,1995,172996.9
Japan,1996,178958.7
Japan,1997,184271.1
Japan,1998,188744.8
Japan,1999,192881.4
Japan,2000,196851.2
Japan,2001,200325.4
Japan,2002,202969.1
Japan,2003,205424.5
Japan,2004,207819.4
Japan,2005,210468.1
Japan,2006,213014.5
Japan,2007,215123.8
Japan,2008,216652.2
Japan,2009,216995.1
Japan,2010,217319.2
Japan,2011,217992.1
Japan,2012,219065.6
Japan,2013,220601.6
Japan,2014,222396.0
Japan,2015,224319.2
Japan,2016,226113.7
Japan,2017,227996.0
Japan,2018,229983.9
Japan,2019,232055.0
Japan,2020,233982.9
Japan,2021,236364.5
Japan,2022,238771.6
Japan,2023,241205.4
United States,1950,69127.1
United States,1951,70104.1
United States,1952,71157.9
United States,1953,72468.7
United States,1954,73504.0
United States,1955,74744.0
United States,1956,75884.4
United States,1957,76879.4
United States,1958,77685.3
United States,1959,78996.9
United States,1960,80249.6
United States,1961,81460.8
United States,1962,83022.1
United States,1963,84838.1
United States,1964,86937.5
United States,1965,89429.4
United States,1966,92199.5
United States,1967,94737.9
United States,1968,97403.8
United States,1969,100006.2
United States,1970,101874.9
United States,1971,104111.3
United States,1972,106825.8
United States,1973,109988.3
United States,1974,112515.3
United States,1975,114168.0
United States,1976,116278.0
United States,1977,118990.2
United States,1978,122325.8
United States,1979,125794.0
United States,1980,128368.4
United States,1981,130751.6
United States,1982,132327.0
United States,1983,134286.3
United States,1984,137365.5
United States,1985,140766.4
United States,1986,144117.7
United States,1987,147301.6
United States,1988,150354.6
United States,1989,153330.1
United States,1990,155657.0
United States,1991,156942.3
United States,1992,158380.4
United States,1993,160139.6
United States,1994,162359.8
United States,1995,164850.3
United States,1996,167841.0
