year,country,value,p10,p90
1981,Canada,0.13907665911966086,,
1982,Canada,0.1256681805652517,,
1983,Canada,0.10580419447635511,,
1984,Canada,0.0989315693549153,,
1985,Canada,0.10389238981095011,,
1986,Canada,0.10284829956515944,,
1987,Canada,0.10555319534209956,,
1988,Canada,0.1106853790273952,,
1989,Canada,0.11033847097660901,,
1990,Canada,0.10400272609241369,,
1991,Canada,0.09817562089165609,,
1992,Canada,0.0891798295185653,,
1993,Canada,0.08739861613280211,,
1994,Canada,0.09164339143303066,,
1995,Canada,0.09172808286467048,,
1996,Canada,0.09709897491841459,,
1997,Canada,0.11002110425767912,,
1998,Canada,0.11659266725355875,,
1999,Canada,0.11457972650797103,,
2000,Canada,0.10905357793487026,,
2001,Canada,0.10930214067972996,,
2002,Canada,0.09916863115672882,,
2003,Canada,0.09630786126605613,,
2004,Canada,0.10064526465283834,,
2005,Canada,0.106616535006577,,
2006,Canada,0.11358849769210819,,
2007,Canada,0.11203547530172855,,
2008,Canada,0.11489154462683779,,
2009,Canada,0.09714548275541698,,
2010,Canada,0.10419387676705584,,
2011,Canada,0.11117192568696818,,
2012,Canada,0.12355181504388398,,
2013,Canada,0.12253140627899547,,
2014,Canada,0.1297424730487476,,
2015,Canada,0.11557689979255859,,
2016,Canada,0.1050902601041208,,
2017,Canada,0.1031158424042144,,
2018,Canada,0.10248090621400706,,
2019,Canada,0.10899508679901927,,
2020,Canada,0.10258690842309078,,
2021,Canada,0.1083677929567498,,
2022,Canada,0.10927478748757537,,
2023,Canada,0.10735100111188466,,
2024,Canada,0.10593951498041942,,
1970,France,0.11562924664910984,,
1971,France,0.11684432943444233,,
1972,France,0.11765184225359619,,
1973,France,0.11832723359087025,,
1974,France,0.11926311643702635,,
1975,France,0.1093342675403952,,
1976,France,0.10960909066850962,,
1977,France,0.1088522346634196,,
1978,France,0.10538827717430323,,
1979,France,0.10384556691591618,,
1980,France,0.1097569888584597,,
1981,France,0.107694008594249,,
1982,France,0.10657473412207615,,
1983,France,0.10026321081735301,,
1984,France,0.0973208221450148,,
1985,France,0.0985993151128098,,
1986,France,0.10063920448390265,,
1987,France,0.1045121053813449,,
1988,France,0.10885679406091488,,
1989,France,0.11207821750489329,,
1990,France,0.11615663519847437,,
1991,France,0.11727089957546546,,
1992,France,0.11023728840159068,,
1993,France,0.1005648732780152,,
1994,France,0.09751957525590793,,
1995,France,0.0971396991800316,,
1996,France,0.09621582235455324,,
1997,France,0.09400705235109891,,
1998,France,0.09838867143978496,,
1999,France,0.1039249599325662,,
2000,France,0.11020332099256626,,
2001,France,0.11103152148047508,,
2002,France,0.10567052373824909,,
2003,France,0.10412172054612417,,
2004,France,0.10470632259967937,,
2005,France,0.10561740184445625,,
2006,France,0.10950878776663832,,
2007,France,0.11523253574028429,,
2008,France,0.11842660076782935,,
2009,France,0.10649122794329817,,
2010,France,0.10714767194881565,,
2011,France,0.11166387523183419,,
2012,France,0.11138044407408244,,
2013,France,0.10840700545980113,,
2014,France,0.10966577056367828,,
2015,France,0.11042333211713869,,
2016,France,0.11304683641040439,,
2017,France,0.1160615103196104,,
2018,France,0.1191784127693617,,
2019,France,0.12088018173454641,,
2020,France,0.12083642147557741,,
2021,France,0.12647171528848708,,
2022,France,0.12693415803151573,,
2023,France,0.1265821853314378,,
2024,France,0.12265293752022081,,
1995,Germany,0.12242293137115584,,
1996,Germany,0.12154975733189524,,
1997,Germany,0.12179871694506879,,
1998,Germany,0.1248305155984986,,
1999,Germany,0.1254481908686529,,
2000,Germany,0.13101387075871285,,
2001,Germany,0.12433262128051101,,
2002,Germany,0.11170120898100193,,
2003,Germany,0.10828405799688522,,
2004,Germany,0.1088716289292817,,
2005,Germany,0.10992858094947353,,
2006,Germany,0.1134973497432177,,
2007,Germany,0.11688209517665682,,
2008,Germany,0.11882492430328108,,
2009,Germany,0.10598082575171304,,
2010,Germany,0.10901745906716728,,
2011,Germany,0.11348060183988531,,
2012,Germany,0.11257609099482742,,
2013,Germany,0.11009844827104995,,
2014,Germany,0.1128270681226485,,
2015,Germany,0.11460918747145309,,
2016,Germany,0.1157385586549864,,
2017,Germany,0.1174917719487205,,
2018,Germany,0.12089964269386105,,
2019,Germany,0.12297754206622022,,
2020,Germany,0.118602784346455,,
2021,Germany,0.11722383049908469,,
2022,Germany,0.12015847034258391,,
2023,Germany,0.11979991989211497,,
2024,Germany,0.11385733788868946,,
1995,Italy,0.10537778657673959,,
1996,Italy,0.10446325987210273,,
1997,Italy,0.10487825858585705,,
1998,Italy,0.10824101990016599,,
1999,Italy,0.11088117979224135,,
2000,Italy,0.11669473936894001,,
2001,Italy,0.11533932115366151,,
2002,Italy,0.12318915264066645,,
2003,Italy,0.11220356642127353,,
2004,Italy,0.1129126153235565,,
2005,Italy,0.11195571450118058,,
2006,Italy,0.11290014861550106,,
2007,Italy,0.1130866129642427,,
2008,Italy,0.11078464272599442,,
2009,Italy,0.09750699889679164,,
2010,Italy,0.10208025033241264,,
2011,Italy,0.1038689068689995,,
2012,Italy,0.09721308458547796,,
2013,Italy,0.0916342448811596,,
2014,Italy,0.0932724083877779,,
2015,Italy,0.09611019478732766,,
2016,Italy,0.09985848077436675,,
2017,Italy,0.10353409271347055,,
2018,Italy,0.10779958018711787,,
