year,country,value,p10,p90
1970,Canada,0.216267860401705,,
1971,Canada,0.224875817636355,,
1972,Canada,0.221941314822808,,
1973,Canada,0.22706556563332,,
1974,Canada,0.235168419987862,,
1975,Canada,0.242761116856256,,
1976,Canada,0.23788509898731,,
1977,Canada,0.23279774693432798,,
1978,Canada,0.229447585044134,,
1979,Canada,0.233060276487441,,
1980,Canada,0.238622351927927,,
1981,Canada,0.25019681939852,,
1982,Canada,0.22568595577836098,,
1983,Canada,0.21023412355571602,,
1984,Canada,0.20159701809145703,,
1985,Canada,0.20706481849980102,,
1986,Canada,0.210365911550804,,
1987,Canada,0.218600261867618,,
1988,Canada,0.226287059694302,,
1989,Canada,0.22961408858823798,,
1990,Canada,0.217046416899472,,
1991,Canada,0.20263675006020498,,
1992,Canada,0.193853036317779,,
1993,Canada,0.186566394971066,,
1994,Canada,0.19394246261231501,,
1995,Canada,0.18347300032105998,,
1996,Canada,0.188067696787985,,
1997,Canada,0.20299451112880199,,
1998,Canada,0.205547191637216,,
1999,Canada,0.201901526598652,,
2000,Canada,0.195991939034655,,
2001,Canada,0.20151623835889101,,
2002,Canada,0.199748009121266,,
2003,Canada,0.200123212089768,,
2004,Canada,0.20874487452937798,,
2005,Canada,0.218371682411947,,
2006,Canada,0.228847443946428,,
2007,Canada,0.23338980934434,,
2008,Canada,0.234690028792287,,
2009,Canada,0.223069697467248,,
2010,Canada,0.234612088007068,,
2011,Canada,0.235104953995433,,
2012,Canada,0.244942400972854,,
2013,Canada,0.24187237514371202,,
2014,Canada,0.243893171480447,,
2015,Canada,0.23850593913610102,,
2016,Canada,0.22772353970679401,,
2017,Canada,0.226963325471202,,
2018,Canada,0.226760598029678,,
2019,Canada,0.22579977290439002,,
2020,Canada,0.231842260868704,,
2021,Canada,0.23789286139620403,,
2022,Canada,0.23082657073158297,,
2023,Canada,0.230403942262261,,
2024,Canada,0.229101597496711,,
1970,France,0.261072333957082,,
1971,France,0.263131374121963,,
1972,France,0.264246099581532,,
1973,France,0.266832222132246,,
1974,France,0.272695128516327,,
1975,France,0.25811178814887603,,
1976,France,0.254302033068177,,
1977,France,0.24499748607469599,,
1978,France,0.24038780206867902,,
1979,France,0.23935145729708102,,
1980,France,0.247845795308479,,
1981,France,0.24257097546787298,,
1982,France,0.236181805877523,,
1983,France,0.222177272788779,,
1984,France,0.214770395906001,,
1985,France,0.21285706338441598,,
1986,France,0.21274444659456399,,
1987,France,0.219015871811541,,
1988,France,0.226367382528957,,
1989,France,0.23163335215927902,,
1990,France,0.23380842142932998,,
1991,France,0.231542814081211,,
1992,France,0.21928086301217997,,
1993,France,0.204658265941959,,
1994,France,0.201350361018155,,
1995,France,0.197468961999087,,
1996,France,0.19461316626004202,,
1997,France,0.189622191489104,,
1998,France,0.193445588173251,,
1999,France,0.201747054792753,,
2000,France,0.208814379037151,,
2001,France,0.208602882389306,,
2002,France,0.203363313536887,,
2003,France,0.20498950633934498,,
2004,France,0.208372793779546,,
2005,France,0.212552645424979,,
2006,France,0.218977868505057,,
2007,France,0.225857089020594,,
2008,France,0.22933013507489497,,
2009,France,0.214495235712121,,
2010,France,0.214821676799635,,
2011,France,0.21699292783705298,,
2012,France,0.216559249264002,,
2013,France,0.212695637926893,,
2014,France,0.209583861621479,,
2015,France,0.205598696757557,,
2016,France,0.209212601092418,,
2017,France,0.21420433607564401,,
2018,France,0.218753900672966,,
2019,France,0.224160955392444,,
2020,France,0.22436230851181602,,
2021,France,0.234832287343303,,
2022,France,0.23485770821461302,,
2023,France,0.228344674932245,,
2024,France,0.22096846539157,,
1970,Germany,0.29251985298842803,,
1971,Germany,0.299479138277709,,
1972,Germany,0.29286932173882396,,
1973,Germany,0.276872362465856,,
1974,Germany,0.249277795082198,,
1975,Germany,0.236348889877939,,
1976,Germany,0.234562245298558,,
1977,Germany,0.237398794764358,,
1978,Germany,0.242842413417054,,
1979,Germany,0.251967206655276,,
1980,Germany,0.258950604039612,,
1981,Germany,0.247305167531309,,
1982,Germany,0.23333014782719602,,
1983,Germany,0.235636129384275,,
1984,Germany,0.23106436269321498,,
1985,Germany,0.225967620635475,,
1986,Germany,0.22474240348274702,,
1987,Germany,0.226306535864986,,
1988,Germany,0.22883114759828602,,
1989,Germany,0.235623805704226,,
1990,Germany,0.24372175656394202,,
1991,Germany,0.248395021393432,,
1992,Germany,0.250085093193129,,
1993,Germany,0.239617262453481,,
1994,Germany,0.240247113741961,,
1995,Germany,0.234646539609354,,
1996,Germany,0.22932913676525502,,
1997,Germany,0.225726166390468,,
1998,Germany,0.22700871775346,,
1999,Germany,0.22833471336966402,,
2000,Germany,0.228829484518656,,
2001,Germany,0.215433631059471,,
2002,Germany,0.198867030080599,,
2003,Germany,0.19263882256862502,,
2004,Germany,0.188314639081743,,
