firm_size,management_score,density
10-19 employees,-0.05,0.11
20-49 employees,-0.05,0.03
50-99 employees,-0.05,0.02
100-149 employees,-0.05,0.01
250+ employees,-0.05,0.01
10-19 employees,-0.03,0.17
20-49 employees,-0.03,0.05
50-99 employees,-0.03,0.04
100-149 employees,-0.03,0.02
250+ employees,-0.03,0.02
10-19 employees,-0.01,0.24
20-49 employees,-0.01,0.08
50-99 employees,-0.01,0.05
100-149 employees,-0.01,0.04
250+ employees,-0.01,0.02
10-19 employees,0.01,0.3
20-49 employees,0.02,0.12
50-99 employees,0.01,0.06
100-149 employees,0.02,0.05
250+ employees,0.01,0.03
10-19 employees,0.03,0.34
20-49 employees,0.04,0.16
50-99 employees,0.04,0.08
100-149 employees,0.04,0.06
250+ employees,0.04,0.04
10-19 employees,0.05,0.38
20-49 employees,0.06,0.21
50-99 employees,0.06,0.09
100-149 employees,0.06,0.07
250+ employees,0.06,0.05
10-19 employees,0.08,0.44
20-49 employees,0.08,0.25
50-99 employees,0.08,0.11
100-149 employees,0.08,0.08
250+ employees,0.08,0.06
10-19 employees,0.1,0.49
20-49 employees,0.1,0.29
50-99 employees,0.1,0.11
100-149 employees,0.1,0.08
250+ employees,0.1,0.07
10-19 employees,0.12,0.52
20-49 employees,0.13,0.31
50-99 employees,0.12,0.12
100-149 employees,0.12,0.08
250+ employees,0.12,0.08
10-19 employees,0.14,0.56
20-49 employees,0.15,0.33
50-99 employees,0.14,0.12
100-149 employees,0.15,0.08
250+ employees,0.14,0.08
10-19 employees,0.16,0.62
20-49 employees,0.17,0.35
50-99 employees,0.16,0.14
100-149 employees,0.17,0.08
250+ employees,0.16,0.08
10-19 employees,0.18,0.67
20-49 employees,0.19,0.37
50-99 employees,0.18,0.15
100-149 employees,0.19,0.09
250+ employees,0.19,0.08
10-19 employees,0.2,0.72
20-49 employees,0.21,0.37
50-99 employees,0.21,0.17
100-149 employees,0.21,0.09
250+ employees,0.21,0.08
10-19 employees,0.22,0.75
20-49 employees,0.24,0.38
50-99 employees,0.23,0.19
100-149 employees,0.23,0.1
250+ employees,0.23,0.07
10-19 employees,0.24,0.75
20-49 employees,0.26,0.39
50-99 employees,0.25,0.21
100-149 employees,0.26,0.12
250+ employees,0.25,0.07
10-19 employees,0.26,0.74
20-49 employees,0.28,0.44
50-99 employees,0.27,0.23
100-149 employees,0.28,0.14
250+ employees,0.27,0.07
10-19 employees,0.29,0.74
20-49 employees,0.3,0.5
50-99 employees,0.29,0.26
100-149 employees,0.3,0.17
250+ employees,0.29,0.08
10-19 employees,0.31,0.8
20-49 employees,0.32,0.57
50-99 employees,0.31,0.31
100-149 employees,0.32,0.2
250+ employees,0.32,0.09
10-19 employees,0.33,0.86
20-49 employees,0.35,0.64
50-99 employees,0.33,0.38
100-149 employees,0.34,0.23
250+ employees,0.34,0.11
10-19 employees,0.35,0.94
20-49 employees,0.37,0.72
50-99 employees,0.35,0.45
100-149 employees,0.36,0.28
250+ employees,0.36,0.14
10-19 employees,0.37,1.07
20-49 employees,0.39,0.83
50-99 employees,0.38,0.53
100-149 employees,0.39,0.35
250+ employees,0.38,0.18
10-19 employees,0.39,1.2
20-49 employees,0.41,0.95
50-99 employees,0.4,0.62
100-149 employees,0.41,0.44
250+ employees,0.4,0.23
10-19 employees,0.41,1.34
20-49 employees,0.43,1.08
50-99 employees,0.42,0.72
100-149 employees,0.43,0.57
250+ employees,0.42,0.29
10-19 employees,0.43,1.45
20-49 employees,0.46,1.21
50-99 employees,0.44,0.82
100-149 employees,0.45,0.71
250+ employees,0.44,0.38
10-19 employees,0.45,1.54
20-49 employees,0.48,1.33
50-99 employees,0.46,0.93
