REF_AREA,TIME_PERIOD,biz_pct_gdp
AUS,1970,14.483577364463764
FRA,1970,11.562924664910984
AUS,1971,14.056440947705862
FRA,1971,11.684432943444232
AUS,1972,12.220396055479814
FRA,1972,11.765184225359619
USA,1972,9.21390654439417
AUS,1973,11.572503929191853
FRA,1973,11.832723359087025
USA,1973,9.68923287609726
AUS,1974,11.829418689388415
FRA,1974,11.926311643702634
USA,1974,10.176975401279948
AUS,1975,11.236776210957599
FRA,1975,10.93342675403952
USA,1975,9.595976981477888
AUS,1976,11.073512009798817
FRA,1976,10.960909066850961
USA,1976,9.671124130730462
AUS,1977,11.762413504676465
FRA,1977,10.88522346634196
USA,1977,10.29379977000958
AUS,1978,12.526592837382186
FRA,1978,10.538827717430323
NOR,1978,16.42071943154005
USA,1978,11.11447997724103
AUS,1979,12.25102926449316
FRA,1979,10.384556691591618
NOR,1979,16.557586028758656
USA,1979,11.725122015366921
AUS,1980,13.809058795000714
FIN,1980,13.75222816399289
FRA,1980,10.97569888584597
NOR,1980,14.686485756207603
USA,1980,11.890041917091855
AUS,1981,15.173608153763189
CAN,1981,13.907665911966085
FIN,1981,14.282336249704437
FRA,1981,10.7694008594249
NOR,1981,15.708755578568434
USA,1981,12.125039873204024
AUS,1982,14.738412551136598
CAN,1982,12.56681805652517
FIN,1982,14.086745186016069
FRA,1982,10.657473412207615
NOR,1982,16.11871637915042
USA,1982,11.933767351947163
AUS,1983,13.094264306514416
CAN,1983,10.580419447635512
FIN,1983,14.517345399698359
FRA,1983,10.0263210817353
NOR,1983,17.40882494879432
USA,1983,11.027347540119269
AUS,1984,13.114378655311773
CAN,1984,9.89315693549153
FIN,1984,13.872983795516607
FRA,1984,9.73208221450148
NOR,1984,16.835608486710388
USA,1984,11.630857142574108
AUS,1985,14.316725242919174
CAN,1985,10.389238981095012
FIN,1985,14.435379991412617
FRA,1985,9.85993151128098
NOR,1985,15.686466264344737
USA,1985,11.677424573845597
AUS,1986,14.608234658109948
CAN,1986,10.284829956515944
FIN,1986,14.638777203395218
FRA,1986,10.063920448390265
NOR,1986,17.202257385996546
USA,1986,11.083513060331711
AUS,1987,14.191646615014422
