country,country_code,year,gdp_per_worker,growth_rate,indexed_2000
Canada,CAN,1991-01-01,83102.2469403738,,84.38791305017618
Canada,CAN,1992-01-01,84867.0499689557,2.123652600931658,86.1800191605382
Canada,CAN,1993-01-01,86790.8798050846,2.2668748788047033,88.13361236543751
Canada,CAN,1994-01-01,88856.5795554806,2.3800885012747353,90.23127033910534
Canada,CAN,1995-01-01,89704.6731672741,0.9544522375678044,91.0924847178428
Canada,CAN,1996-01-01,90444.7939153601,0.8250637586136422,91.84405579607039
Canada,CAN,1997-01-01,92320.423194116,2.073783572895471,93.74870273785024
Canada,CAN,1998-01-01,93623.7300597312,1.4117210694266635,95.07217292671464
Canada,CAN,1999-01-01,95982.5004151108,2.5194150605564625,97.4674355698286
Canada,CAN,2000-01-01,98476.4807383755,2.5983698199969485,100.0
Canada,CAN,2001-01-01,99103.4269253534,0.6366456054045289,100.63664560540452
Canada,CAN,2002-01-01,99619.6495281468,0.5208927872718538,101.1608546337154
Canada,CAN,2003-01-01,98984.6727327574,-0.6374011536850244,100.51605417920248
Canada,CAN,2004-01-01,100383.75993537,1.4134382263301548,101.93678651257005
Canada,CAN,2005-01-01,102252.161558475,1.8612588573170719,103.83409398039967
Canada,CAN,2006-01-01,103045.528688199,0.7758927710005414,104.63973520942751
Canada,CAN,2007-01-01,103018.304432169,-0.02641963836430561,104.61208976979981
Canada,CAN,2008-01-01,102559.219393102,-0.44563443515931445,104.14590227444582
Canada,CAN,2009-01-01,101022.867766157,-1.4980141580995032,102.58578191329416
Canada,CAN,2010-01-01,102803.360990205,1.762465532229207,104.39382096048375
Canada,CAN,2011-01-01,104421.735553294,1.5742428530553632,106.03723322598559
Canada,CAN,2012-01-01,104771.299813817,0.33476197141406594,106.39220555836584
Canada,CAN,2013-01-01,105756.296787715,0.9401400723751507,107.39244131670375
Canada,CAN,2014-01-01,108378.747633038,2.4797113032305473,110.0554638228493
Canada,CAN,2015-01-01,108376.954745707,-0.0016542794322282894,110.05364319794724
Canada,CAN,2016-01-01,108776.054517772,0.36825150974342247,110.45891740055131
Canada,CAN,2017-01-01,109696.896761305,0.8465486706750847,111.39400589744777
Canada,CAN,2018-01-01,110704.699657944,0.9187159586035776,112.41740040655542
Canada,CAN,2019-01-01,110430.50597969,-0.24768025124606297,112.13896470678418
Canada,CAN,2020-01-01,111042.871118821,0.5545253403471895,112.76080368248627
Canada,CAN,2021-01-01,112202.165429966,1.0440060667239903,113.93803331381815
Canada,CAN,2022-01-01,111740.979520838,-0.41103120190302267,113.46971244606372
Canada,CAN,2023-01-01,109849.073990664,-1.6931170088957281,111.54853744469433
Canada,CAN,2024-01-01,110184.232706304,0.3051083668383914,111.88888136552396
France,FRA,1991-01-01,97447.8749877421,,85.4209926253607
France,FRA,1992-01-01,99254.2174946185,1.8536499714371546,87.00439883076203
France,FRA,1993-01-01,99504.0511789286,0.2517109001676898,87.22339838624443
