UK_EPU_Index,date
114.23303041919498,1998-01-01
71.15246811221773,1998-02-01
148.08653465656573,1998-03-01
146.97678918911495,1998-04-01
111.51501101796822,1998-05-01
85.4929173174801,1998-06-01
180.79302078297567,1998-07-01
140.59883854349383,1998-08-01
193.86284404128827,1998-09-01
256.0680912407955,1998-10-01
172.85871532726372,1998-11-01
123.54462447386712,1998-12-01
99.6248382904173,1999-01-01
89.3013908053139,1999-02-01
84.70443137550745,1999-03-01
63.93024820157856,1999-04-01
71.88798329451664,1999-05-01
52.256729242724006,1999-06-01
81.23229733384784,1999-07-01
72.57670442869313,1999-08-01
67.12756450134457,1999-09-01
123.12413166974538,1999-10-01
26.84680026099262,1999-11-01
48.689985458213094,1999-12-01
53.74845102241994,2000-01-01
58.39651095443031,2000-02-01
61.96039268110037,2000-03-01
114.01042927352911,2000-04-01
46.36832543546625,2000-05-01
133.21640062369883,2000-06-01
73.70669985758222,2000-07-01
42.74837578897468,2000-08-01
55.57787229840404,2000-09-01
55.821764612416644,2000-10-01
68.991031741151,2000-11-01
66.45017470611604,2000-12-01
38.407833958642684,2001-01-01
56.69327135064931,2001-02-01
91.64286475245503,2001-03-01
100.98927389864957,2001-04-01
98.25623086409958,2001-05-01
74.84273574228239,2001-06-01
66.38372519061484,2001-07-01
105.13269947080015,2001-08-01
205.25697487631768,2001-09-01
158.72159980318426,2001-10-01
146.11531254475,2001-11-01
108.1141247134806,2001-12-01
85.50657917475452,2002-01-01
70.7934827859777,2002-02-01
76.32831964224225,2002-03-01
78.08818295090087,2002-04-01
67.40635369245503,2002-05-01
86.87920361063938,2002-06-01
88.47257142994314,2002-07-01
93.72399488464404,2002-08-01
127.27273057482194,2002-09-01
108.4297542573948,2002-10-01
115.09958348207847,2002-11-01
118.64259248874143,2002-12-01
146.0594129220325,2003-01-01
178.73887349178023,2003-02-01
174.97273471435085,2003-03-01
153.50644782837878,2003-04-01
93.71375919840543,2003-05-01
125.00647484433625,2003-06-01
80.93663841347846,2003-07-01
83.36262700470405,2003-08-01
65.4128545597663,2003-09-01
62.298289449657176,2003-10-01
78.4478801122807,2003-11-01
46.29119365570561,2003-12-01
24.0359419445406,2004-01-01
57.1301543552365,2004-02-01
61.884703940211296,2004-03-01
38.552354422083354,2004-04-01
42.88216533306619,2004-05-01
49.43913715666423,2004-06-01
52.61727439059472,2004-07-01
39.39372104119086,2004-08-01
49.166223902677764,2004-09-01
67.12916086643604,2004-10-01
68.72602595977462,2004-11-01
44.909516282941226,2004-12-01
43.98964699324936,2005-01-01
39.64534947881436,2005-02-01
34.07870982308976,2005-03-01
69.05712642166347,2005-04-01
71.77108957339796,2005-05-01
59.40387471935428,2005-06-01
47.41401341193428,2005-07-01
48.54170562625211,2005-08-01
70.33247666291686,2005-09-01
40.613034313794714,2005-10-01
47.559237062280005,2005-11-01
33.10658195369718,2005-12-01
44.04005006515598,2006-01-01
37.132061545598454,2006-02-01
42.45644670610588,2006-03-01
37.08660811065383,2006-04-01
74.0226735921143,2006-05-01
59.82056897653526,2006-06-01
47.54378239485567,2006-07-01
67.21322870924804,2006-08-01
56.2344827746488,2006-09-01
65.25508000794706,2006-10-01
59.49058917096486,2006-11-01
64.48869963623213,2006-12-01
49.2321841220494,2007-01-01
53.07193380462789,2007-02-01
77.05522773390388,2007-03-01
60.96484347386434,2007-04-01
66.57394727386068,2007-05-01
53.468607020779125,2007-06-01
48.757679221451504,2007-07-01
77.38868254402172,2007-08-01
132.26575539424326,2007-09-01
91.69292034507254,2007-10-01
131.62321770144564,2007-11-01
150.8732135162181,2007-12-01
138.57289473235426,2008-01-01
145.78488588875288,2008-02-01
168.7494189026663,2008-03-01
129.51088529834928,2008-04-01
112.5180759763685,2008-05-01
107.00998790223383,2008-06-01
113.38642811958277,2008-07-01
143.6446470209025,2008-08-01
191.05963498096241,2008-09-01
242.23438012932465,2008-10-01
169.54905468701816,2008-11-01
123.49229337979028,2008-12-01
129.44590205794026,2009-01-01
129.95284607940246,2009-02-01
111.89680762313428,2009-03-01
111.68908181978891,2009-04-01
116.61089085999414,2009-05-01
154.18635733037533,2009-06-01
128.96145456031053,2009-07-01
117.74832179758042,2009-08-01
100.0763504077331,2009-09-01
107.54240446531122,2009-10-01
107.57200130311233,2009-11-01
135.97782174570824,2009-12-01
148.2655616267631,2010-01-01
143.34239608678251,2010-02-01
160.08868904162972,2010-03-01
161.00445943010854,2010-04-01
243.53857801491344,2010-05-01
184.0182788836257,2010-06-01
142.86163286041818,2010-07-01
165.98422462934116,2010-08-01
127.90262125152725,2010-09-01
177.80286471621724,2010-10-01
153.24843338306422,2010-11-01
122.77899240938301,2010-12-01
123.680147938887,2011-01-01
119.12127850168046,2011-02-01
131.4225384338715,2011-03-01
97.93698999814309,2011-04-01
94.24406877826252,2011-05-01
122.6976663955935,2011-06-01
149.0282940666839,2011-07-01
177.75312265089235,2011-08-01
153.32764352624784,2011-09-01
149.69090675465347,2011-10-01
209.89849346585174,2011-11-01
140.62797929349495,2011-12-01
137.26155402113505,2012-01-01
132.0202282564008,2012-02-01
103.72963719791315,2012-03-01
109.3126921907133,2012-04-01
151.78517880787442,2012-05-01
169.6490755257956,2012-06-01
129.9832305005376,2012-07-01
98.17868763265973,2012-08-01
124.43543264760135,2012-09-01
153.99229062161274,2012-10-01
162.1009636904767,2012-11-01
140.64389927578668,2012-12-01
187.77022088412104,2013-01-01
97.38130647127664,2013-02-01
108.96334469441564,2013-03-01
101.40814734641286,2013-04-01
72.98243744033658,2013-05-01
90.50813557352897,2013-06-01
68.1879948493653,2013-07-01
91.64772930134765,2013-08-01
94.2621739230829,2013-09-01
110.99637349305908,2013-10-01
82.07479242041826,2013-11-01
89.42393622874243,2013-12-01
103.99873345811896,2014-01-01
117.69553222863824,2014-02-01
111.0478958953252,2014-03-01
71.1262323283146,2014-04-01
90.16491946622484,2014-05-01
68.77737113506677,2014-06-01
62.3354464375241,2014-07-01
132.4733321477305,2014-08-01
176.28371206161788,2014-09-01
95.96921340334671,2014-10-01
86.56650346575888,2014-11-01
121.591086695316,2014-12-01
135.73043577158847,2015-01-01
119.08361999195742,2015-02-01
131.49864754410734,2015-03-01
170.4733325111978,2015-04-01
140.9124600095859,2015-05-01
148.8165613417035,2015-06-01
136.10010571637537,2015-07-01
86.14368270691372,2015-08-01
135.07500553450706,2015-09-01
89.91453139997081,2015-10-01
120.86214520248797,2015-11-01
82.87278662600363,2015-12-01
135.63231704946662,2016-01-01
190.8167147357653,2016-02-01
290.9295208854739,2016-03-01
197.17079811515333,2016-04-01
246.75490878190044,2016-05-01
503.94249242172845,2016-06-01
558.2236420188227,2016-07-01
311.36483202454485,2016-08-01
209.63793843523842,2016-09-01
270.02349186959714,2016-10-01
358.82840880746664,2016-11-01
196.34369416706684,2016-12-01
257.84839749321475,2017-01-01
194.04470490308728,2017-02-01
232.459726041449,2017-03-01
169.1760359148232,2017-04-01
159.40144524851632,2017-05-01
318.99116026199204,2017-06-01
183.65895058106582,2017-07-01
151.20429781015469,2017-08-01
140.77881633904866,2017-09-01
184.03005097183708,2017-10-01
214.97008095639316,2017-11-01
160.7223038718837,2017-12-01
123.1599969116685,2018-01-01
109.7487332483494,2018-02-01
116.60540265498089,2018-03-01
102.28703012879106,2018-04-01
121.5436956067737,2018-05-01
105.4867684231694,2018-06-01
129.6226424998398,2018-07-01
121.62974835667606,2018-08-01
157.31582080050615,2018-09-01
183.25266625551419,2018-10-01
191.96645652769618,2018-11-01
239.69102981938227,2018-12-01
309.972449457977,2019-01-01
196.959464598304,2019-02-01
212.78254189044787,2019-03-01
135.51848003853243,2019-04-01
158.68260551719968,2019-05-01
149.80560130108137,2019-06-01
202.04377955585122,2019-07-01
238.91571234839765,2019-08-01
187.410116323634,2019-09-01
233.31156413860188,2019-10-01
205.59707355365967,2019-11-01
271.30406158523687,2019-12-01
198.15649141819117,2020-01-01
139.62192204074458,2020-02-01
281.20727140397986,2020-03-01
185.35208283420195,2020-04-01
230.75636037309954,2020-05-01
167.69786380940585,2020-06-01
189.96193934251556,2020-07-01
176.54884283733892,2020-08-01
184.51675172929453,2020-09-01
189.1247735854013,2020-10-01
214.4616540112168,2020-11-01
207.60650804572748,2020-12-01
112.63905727443453,2021-01-01
138.00994636357206,2021-02-01
142.40594412833096,2021-03-01
95.28067723997246,2021-04-01
98.11193470584746,2021-05-01
90.33493761122865,2021-06-01
88.28376715216815,2021-07-01
79.10910371626592,2021-08-01
78.70092888726134,2021-09-01
103.9897920730636,2021-10-01
75.31749527753217,2021-11-01
174.8313398220728,2021-12-01
88.19917356172576,2022-01-01
80.71515390083168,2022-02-01
170.0450385906353,2022-03-01
123.4351471184684,2022-04-01
105.1951240122737,2022-05-01
118.8120596047224,2022-06-01
184.27249051796957,2022-07-01
124.28907856525075,2022-08-01
230.0594053459509,2022-09-01
399.80611032798606,2022-10-01
220.10555967592006,2022-11-01
167.63100925224853,2022-12-01
140.0670895461748,2023-01-01
121.21055490453543,2023-02-01
132.8949189179214,2023-03-01
132.91662881882434,2023-04-01
118.00192593722068,2023-05-01
118.06162320279019,2023-06-01
118.84758179507466,2023-07-01
116.07590528763814,2023-08-01
130.47644814461012,2023-09-01
107.93382339762844,2023-10-01
115.96201204487213,2023-11-01
120.8711830857322,2023-12-01
100.6534474406542,2024-01-01
114.04066891783862,2024-02-01
135.56394811247927,2024-03-01
102.66584709712725,2024-04-01
144.78328886819094,2024-05-01
146.59757407655673,2024-06-01
183.2821380234529,2024-07-01
116.87180249328715,2024-08-01
184.40996223935207,2024-09-01
273.8570001271988,2024-10-01
327.2335211807638,2024-11-01
220.88985818828877,2024-12-01
238.0605201956827,2025-01-01
218.64044228828502,2025-02-01
472.2518005114452,2025-03-01
498.49187312801047,2025-04-01
355.8807477238063,2025-05-01
354.6534598909914,2025-06-01
378.77692166130157,2025-07-01
261.1785233495515,2025-08-01
262.9940333405826,2025-09-01
304.16968816317205,2025-10-01
276.6125417939448,2025-11-01
272.6006248035158,2025-12-01
165.41850780835654,2026-01-01
,
