Occupation,Median,Employment,OCC_CODE,Employment_Rank,education,Automation_Risk
Railroad Conductors and Yardmasters,68180,40940.0,53-4031,297.0,2.2638,0.83
"Cooks, Institution and Cafeteria",32510,417780.0,35-2012,56.0,2.5133,0.83
Sailors and Marine Oilers,47490,28500.0,53-5011,340.0,2.0727,0.83
"Mixing and Blending Machine Setters, Operators, and Tenders",43410,108900.0,51-9023,177.0,2.2238,0.83
"Insulation Workers, Floor, Ceiling, and Wall",45380,33130.0,47-2131,318.0,1.7305,0.83
Printing Press Operators,39350,150010.0,51-5112,143.0,2.3054,0.83
Automotive and Watercraft Service Attendants,30850,99600.0,53-6031,195.0,2.1121,0.83
Septic Tank Servicers and Sewer Pipe Cleaners,45610,27660.0,47-4071,344.0,1.8571,0.83
Baggage Porters and Bellhops,31510,26520.0,39-6011,350.0,1.8472,0.83
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",46310,27900.0,51-4023,342.0,2.1051,0.83
"Paving, Surfacing, and Tamping Equipment Operators",47270,41470.0,47-2071,295.0,1.796,0.83
Tool and Die Makers,59800,61730.0,51-4111,246.0,2.6079,0.84
Plasterers and Stucco Masons,49730,25950.0,47-2161,352.0,1.3893,0.84
"Layout Workers, Metal and Plastic",58260,6890.0,51-4192,490.0,2.6278,0.84
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",47020,19410.0,51-4034,385.0,2.4702,0.84
Security Guards,34750,1124890.0,33-9032,17.0,2.2215000000000003,0.84
"Tailors, Dressmakers, and Custom Sewers",34280,16870.0,51-6052,401.0,2.3698,0.84
Wellhead Pumpers,63280,14550.0,53-7073,421.0,2.3178,0.84
Proofreaders and Copy Markers,45410,5120.0,43-9081,511.0,4.891,0.84
Parking Enforcement Workers,41570,8150.0,33-3041,479.0,2.0731,0.84
"Laborers and Freight, Stock, and Material Movers, Hand",36110,2934050.0,53-7062,5.0,2.0613,0.85
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",63230,1273400.0,41-4012,16.0,3.7582,0.85
"Meter Readers, Utilities",44760,20460.0,43-5041,376.0,2.7088,0.85
Power Plant Operators,93060,31590.0,51-8013,326.0,2.3586,0.85
Chemical Plant and System Operators,82670,18710.0,51-8091,389.0,3.5139,0.85
"Earth Drillers, Except Oil and Gas",51740,19010.0,47-5023,387.0,1.9706,0.85
Executive Secretaries and Executive Administrative Assistants,65980,475240.0,43-6011,46.0,4.489,0.86
"Food Servers, Nonrestaurant",30300,248870.0,35-3041,97.0,2.8868,0.86
"Sawing Machine Setters, Operators, and Tenders, Wood",36270,46400.0,51-7041,284.0,2.0675,0.86
Subway and Streetcar Operators,88260,9120.0,53-4041,472.0,2.1806,0.86
Veterinary Assistants and Laboratory Animal Caretakers,34740,111880.0,31-9096,174.0,2.1495,0.86
"Cutting and Slicing Machine Setters, Operators, and Tenders",39880,54110.0,51-9032,259.0,1.7078,0.86
Real Estate Sales Agents,49980,193010.0,41-9022,119.0,2.9519,0.86
"Maintenance Workers, Machinery",53310,62770.0,49-9043,243.0,2.9898,0.86
Correspondence Clerks,38700,4970.0,43-4021,512.0,3.2555,0.86
Forest and Conservation Workers,32270,6080.0,45-4011,502.0,4.9598,0.87
"Pourers and Casters, Metal",45070,6070.0,51-4052,503.0,1.7683000000000002,0.87
Carpet Installers,45240,17400.0,47-2041,395.0,1.9328,0.87
Paperhangers,44930,2220.0,47-2142,541.0,2.1627,0.87
Furniture Finishers,37960,14990.0,51-7021,417.0,1.6770999999999998,0.87
Food Preparation Workers,29790,904330.0,35-2021,23.0,2.7068000000000003,0.87
Floor Sanders and Finishers,46060,4270.0,47-2043,517.0,1.745,0.87
Highway Maintenance Workers,44930,143330.0,47-4051,145.0,2.1143,0.87
Construction Laborers,40750,1012780.0,47-2061,20.0,2.0922,0.88
"Production, Planning, and Expediting Clerks",50630,389920.0,43-5061,62.0,2.7191,0.88
Cartographers and Photogrammetrists,71890,13270.0,17-1021,435.0,4.8386000000000005,0.88
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",46250,52470.0,51-9012,265.0,2.0478,0.88
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",39860,14460.0,51-6091,423.0,1.8705,0.88
Terrazzo Workers and Finishers,52330,1460.0,47-2053,549.0,2.081,0.88
"Tool Grinders, Filers, and Sharpeners",41940,5320.0,51-4194,510.0,2.4062,0.88
Rail Car Repairers,62510,19830.0,49-3043,381.0,2.4048,0.88
Bakers,32780,205300.0,51-3011,112.0,2.0203,0.89
Medical Transcriptionists,34730,48680.0,31-9094,274.0,3.3838,0.89
Stonemasons,50210,10220.0,47-2022,462.0,1.9143,0.89
Technical Writers,79960,48620.0,27-3042,275.0,5.307,0.89
Riggers,54680,19260.0,49-9096,386.0,1.9481,0.89
Stationary Engineers and Boiler Operators,67120,31470.0,51-8021,327.0,2.4094,0.89
Sewing Machine Operators,31740,116750.0,51-6031,170.0,1.6267999999999998,0.89
"Human Resources Assistants, Except Payroll and Timekeeping",45930,103680.0,43-4161,191.0,4.5026,0.9
Reinforcing Iron and Rebar Workers,51070,17270.0,47-2171,397.0,1.9302,0.9
Roofers,47920,131980.0,47-2181,157.0,2.5859,0.9
Crane and Tower Operators,61340,45210.0,53-7021,286.0,2.5279000000000003,0.9
Traffic Technicians,50050,7310.0,53-6041,488.0,3.4011000000000005,0.9
"Patternmakers, Metal and Plastic",54970,2230.0,51-4062,540.0,2.9465,0.9
"Pump Operators, Except Wellhead Pumpers",55860,10870.0,53-7072,458.0,3.0973,0.9
Signal and Track Switch Repairers,81300,6880.0,49-9097,491.0,2.2067,0.9
Musical Instrument Repairers and Tuners,38150,6330.0,49-9063,498.0,2.8211,0.91
Mechanical Door Repairers,47010,27330.0,49-9011,345.0,1.9479,0.91
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",37790,20010.0,51-3091,380.0,2.045,0.91
Gas Compressor and Gas Pumping Station Operators,59990,3740.0,53-7071,523.0,2.7424,0.91
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",43960,152120.0,51-9124,141.0,1.8761,0.91
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",39210,137060.0,51-4081,150.0,2.2961,0.91
"Rail Yard Engineers, Dinkey Operators, and Hostlers",56340,2680.0,53-4013,536.0,2.0924,0.91
"Electrical and Electronics Installers and Repairers, Transportation Equipment",73630,8530.0,49-2093,476.0,3.4833,0.91
Dining Room and Cafeteria Attendants and Bartender Helpers,29120,439770.0,35-9011,52.0,1.8327,0.91
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",40900,15600.0,51-4191,409.0,1.9059,0.91
Automotive Body and Related Repairers,47670,138760.0,49-3021,148.0,2.1128,0.91
"Patternmakers, Wood",44290,330.0,51-7032,558.0,2.5695,0.91
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",39970,63490.0,51-4021,240.0,2.1163,0.91
"Office Machine Operators, Except Computer",36710,30410.0,43-9071,333.0,2.9618,0.92
Pharmacy Technicians,37790,453630.0,29-2052,48.0,2.9808,0.92
Loan Interviewers and Clerks,46490,242630.0,43-4131,99.0,3.8543,0.92
Dredge Operators,47090,940.0,53-7031,552.0,2.0994,0.92
Insurance Sales Agents,57860,445540.0,41-3021,49.0,4.7291,0.92
Cabinetmakers and Bench Carpenters,38810,95980.0,51-7011,199.0,2.1526,0.92
"Painting, Coating, and Decorating Workers",38270,11990.0,51-9123,447.0,1.7778,0.92
Fence Erectors,39840,27060.0,47-4031,347.0,2.1573,0.92
Retail Salespersons,30600,3640040.0,41-2031,1.0,2.3097000000000003,0.92
Cooling and Freezing Equipment Operators and Tenders,42890,6420.0,51-9193,497.0,1.9029000000000005,0.93
Fiberglass Laminators and Fabricators,38110,21910.0,51-2051,368.0,1.82,0.93
Conveyor Operators and Tenders,36890,27780.0,53-7011,343.0,1.407,0.93
Outdoor Power Equipment and Other Small Engine Mechanics,40030,35570.0,49-3053,311.0,2.5478,0.93
Machine Feeders and Offbearers,38040,51010.0,53-7063,270.0,1.9016,0.93
"Model Makers, Metal and Plastic",57620,3350.0,51-4061,529.0,3.0233000000000003,0.93
Butchers and Meat Cutters,36930,129400.0,51-3021,159.0,1.9662,0.93
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",39480,58740.0,51-9041,251.0,2.5608,0.93
Refuse and Recyclable Material Collectors,43540,132240.0,53-7081,156.0,1.8003,0.93
"Tax Examiners and Collectors, and Revenue Agents",57950,50610.0,13-2081,271.0,4.6275,0.93
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",46540,10650.0,51-4022,461.0,1.823,0.93
Industrial Truck and Tractor Operators,41230,780890.0,53-7051,26.0,1.8556,0.93
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",42450,6470.0,51-4032,496.0,2.8137,0.94
"Mail Clerks and Mail Machine Operators, Except Postal Service",35070,67750.0,43-9051,235.0,1.7312,0.94
Waiters and Waitresses,29120,2122210.0,35-3031,9.0,2.1738,0.94
"Meat, Poultry, and Fish Cutters and Trimmers",35070,133460.0,51-3022,153.0,1.4926,0.94
Budget Analysts,82260,48430.0,13-2031,276.0,5.6932,0.94
Cement Masons and Concrete Finishers,48300,196730.0,47-2051,118.0,1.6279,0.94
Bicycle Repairers,36250,13760.0,49-3091,430.0,1.8608,0.94
"Coin, Vending, and Amusement Machine Servicers and Repairers",39690,35790.0,49-9091,310.0,2.1001000000000003,0.94
"Welders, Cutters, Solderers, and Brazers",47540,408990.0,51-4121,59.0,2.2236,0.94
Couriers and Messengers,35280,75800.0,43-5021,225.0,2.4525,0.94
"Interviewers, Except Eligibility and Loan",38700,168680.0,43-4111,127.0,3.3439,0.94
