Occupation,Median,Employment,OCC_CODE,Employment_Rank,education,Automation_Risk
Training and Development Specialists,63080,367180.0,13-1151,67.0,5.4786,0.014
Computer and Information Research Scientists,136620,33780.0,15-1221,315.0,8.0258,0.015
Chief Executives,189520,199240.0,11-1011,115.0,7.5363,0.015
Music Directors and Composers,62940,11690.0,27-2041,449.0,7.0642000000000005,0.015
"Securities, Commodities, and Financial Services Sales Agents",67480,443220.0,41-3031,50.0,4.901599999999999,0.016
Conservation Scientists,64460,22880.0,19-1031,365.0,6.4354,0.016
"Special Education Teachers, Middle School",62990,82970.0,25-2057,212.0,7.0601,0.016
Chemical Engineers,106260,20380.0,17-2041,377.0,6.636299999999999,0.017
Architectural and Engineering Managers,159920,197180.0,11-9041,117.0,7.440399999999999,0.017
Aerospace Engineers,126880,61580.0,17-2011,247.0,6.5907,0.017
Natural Sciences Managers,144440,82570.0,11-9121,213.0,8.5333,0.018
Environmental Engineers,96530,45440.0,17-2081,285.0,6.6363,0.018
"Architects, Except Landscape and Naval",82840,107490.0,17-1011,182.0,7.428599999999999,0.018
Physical Therapist Assistants,62770,97740.0,31-2021,197.0,5.197799999999999,0.018
Civil Engineers,89940,307570.0,17-2051,84.0,6.2374,0.019
Soil and Plant Scientists,65730,16010.0,19-1013,406.0,7.9993,0.021
Materials Scientists,104380,7620.0,19-2032,483.0,7.809499999999999,0.021
Materials Engineers,100140,21510.0,17-2131,370.0,8.189499999999999,0.021
Fashion Designers,76700,20560.0,27-1022,374.0,5.264,0.021
Physical Therapists,97720,229740.0,29-1123,102.0,9.0599,0.021
Photographers,40170,47380.0,27-4021,281.0,3.7734,0.021
Producers and Directors,85320,153770.0,27-2012,139.0,4.8541,0.022
Interior Designers,61590,64290.0,27-1025,237.0,5.9518,0.022
Orthodontists,174360,6310.0,29-1023,499.0,11.9182,0.023
Art Directors,105180,54470.0,27-1011,257.0,6.2477,0.023
"Directors, Religious Activities and Education",49380,24030.0,21-2021,361.0,6.0029,0.025
"Electronics Engineers, Except Computer",108170,106640.0,17-2072,186.0,5.9197,0.025
Biochemists and Biophysicists,103810,32500.0,19-1021,321.0,10.05,0.027
Chiropractors,75380,37740.0,29-1011,306.0,10.0625,0.027
Occupational Therapy Assistants,64250,43810.0,31-2011,288.0,4.9857,0.028
"Child, Family, and School Social Workers",50820,344770.0,21-1021,75.0,6.4615,0.028
Industrial Engineers,96350,321400.0,17-2112,82.0,5.6218,0.029
Veterinary Technologists and Technicians,38240,118750.0,29-2056,169.0,3.7772,0.029
Industrial Production Managers,107560,211710.0,11-3051,110.0,3.8114,0.03
Network and Computer Systems Administrators,90520,325930.0,15-1244,78.0,5.581099999999999,0.03
Database Administrators,99890,80520.0,15-1242,219.0,6.4393,0.03
Purchasing Managers,131350,75070.0,11-3061,226.0,6.15,0.03
"Environmental Scientists and Specialists, Including Health",76480,77270.0,19-2041,224.0,6.593500000000001,0.033
Lawyers,135740,707160.0,23-1011,31.0,10.3356,0.035
Craft Artists,38150,4760.0,27-1012,513.0,3.68,0.035
Operations Research Analysts,85720,105080.0,15-2031,190.0,7.399999999999999,0.035
Computer and Information Systems Managers,164070,533220.0,11-3021,42.0,5.5503,0.035
Commercial and Industrial Designers,75910,30450.0,27-1021,332.0,5.3921,0.037
"Meeting, Convention, and Event Planners",52560,112070.0,13-1121,173.0,4.6675,0.037
Veterinarians,103260,78810.0,29-1131,220.0,11.0264,0.038
Writers and Authors,73150,54010.0,27-3043,260.0,5.1158,0.038
Advertising and Promotions Managers,127830,22010.0,11-2011,367.0,5.207,0.039
Political Scientists,128020,5660.0,19-3094,506.0,10.8078,0.039
Credit Counselors,47320,29090.0,13-2071,337.0,4.0,0.04
Astronomers,128330,2160.0,19-2011,542.0,11.2735,0.041
Ship Engineers,87300,8650.0,53-5031,475.0,2.8559,0.041
"Fine Artists, Including Painters, Sculptors, and Illustrators",57560,12080.0,27-1013,446.0,4.1688,0.042
Psychiatric Technicians,37380,100950.0,29-2053,193.0,4.9611,0.043
Landscape Architects,73210,18120.0,17-1012,391.0,6.8213,0.045
Mathematicians,112110,2070.0,15-2021,544.5,9.5825,0.047
Floral Designers,33160,42840.0,27-1023,291.0,2.64,0.047
Forest Fire Inspectors and Prevention Specialists,48110,2290.0,33-2022,539.0,3.9378,0.048
Editors,73080,101430.0,27-3041,192.0,6.3914,0.055
Licensed Practical and Licensed Vocational Nurses,54620,632020.0,29-2061,36.0,4.0331,0.058
Sociologists,98590,2980.0,19-3041,533.0,10.3181,0.059
"Arbitrators, Mediators, and Conciliators",64030,7780.0,23-1022,482.0,8.2729,0.06
Animal Scientists,69390,2520.0,19-1011,537.0,9.2172,0.061
Residential Advisors,35720,86770.0,39-9041,209.0,4.955,0.064
Aircraft Cargo Handling Supervisors,53490,7950.0,53-1041,480.0,2.7568,0.066
Respiratory Therapists,70540,129910.0,29-1126,158.0,5.0221,0.066
Financial Managers,139790,740780.0,11-3031,29.0,5.5108,0.069
Nuclear Engineers,122480,12250.0,17-2161,442.0,6.074199999999999,0.07
Construction Managers,101480,303220.0,11-9021,85.0,5.75,0.071
Musicians and Singers,*,31750.0,27-2042,325.0,5.388800000000001,0.074
Food Scientists and Technologists,79860,14720.0,19-1012,419.0,7.695399999999999,0.077
Fish and Game Wardens,59500,6530.0,33-3031,495.0,5.350399999999999,0.08
Graphic Designers,57990,211890.0,27-1024,109.0,5.3847000000000005,0.082
Food Service Managers,61310,231100.0,11-9051,101.0,2.5406,0.083
Childcare Workers,28520,459460.0,39-9011,47.0,3.1462000000000003,0.084
Travel Agents,46400,53180.0,41-3041,262.0,3.9292,0.099
Chefs and Head Cooks,56520,160190.0,35-1011,134.0,4.3101,0.1
Animal Trainers,35620,17710.0,39-2011,392.0,2.4579,0.1
Electrical Engineers,103320,182210.0,17-2071,122.0,6.3676,0.1
Chemists,80670,83940.0,19-2031,211.0,6.1569,0.1
Physicists,142850,18840.0,19-2012,388.0,11.0404,0.1
"Hairdressers, Hairstylists, and Cosmetologists",33290,298050.0,39-5012,86.0,2.7917,0.11
Air Traffic Controllers,132250,21250.0,53-2021,371.0,3.6264,0.11
Dancers,*,8930.0,27-2031,473.0,1.9387,0.13
Nuclear Medicine Technologists,85300,16910.0,29-2033,399.0,5.4313,0.13
Management Analysts,95290,808860.0,13-1111,24.0,6.3804,0.13
Dietetic Technicians,33960,19690.0,29-2051,384.0,3.7699,0.13
Urban and Regional Planners,79540,39880.0,19-3051,300.0,7.280000000000001,0.13
Social and Human Service Assistants,38520,399560.0,21-1093,61.0,5.5396,0.13
Sound Engineering Technicians,60670,13420.0,27-4014,434.0,3.6295,0.13
Optometrists,125590,40640.0,29-1041,299.0,10.952399999999995,0.14
"Mining and Geological Engineers, Including Mining Safety Engineers",97490,7390.0,17-2151,486.0,6.207299999999999,0.14
Physician Assistants,126010,140910.0,29-1071,147.0,8.161999999999999,0.14
"Kindergarten Teachers, Except Special Education",60490,119250.0,25-2012,167.0,6.3814,0.15
Electricians,60240,690050.0,47-2111,32.0,2.7989,0.15
Petroleum Engineers,131800,20540.0,17-2171,375.0,6.2691,0.16
Desktop Publishers,47910,6560.0,43-9031,494.0,3.9508,0.16
General and Operations Managers,98100,3376680.0,11-1021,2.0,4.916,0.16
Occupational Health and Safety Specialists,78570,109430.0,19-5011,176.0,6.2732,0.17
Firefighters,51680,321450.0,33-2011,81.0,3.0197000000000003,0.17
Financial Examiners,82210,63370.0,13-2061,241.0,6.1746,0.17
"Middle School Teachers, Except Special and Career/Technical Education",61810,611120.0,25-2022,38.0,6.313,0.17
Public Relations Specialists,67440,264750.0,27-3031,93.0,6.1818,0.18
Commercial Divers,68300,3860.0,49-9092,522.0,3.3377,0.18
Manufactured Building and Mobile Home Installers,36820,3630.0,49-9095,526.0,1.4201,0.18
"Airline Pilots, Copilots, and Flight Engineers",211790,89580.0,53-2011,206.0,4.6295,0.18
Epidemiologists,78520,9430.0,19-1041,467.5,8.8666,0.2
Actuaries,113990,25010.0,15-2011,357.0,6.75,0.21
Animal Control Workers,39320,11490.0,33-9011,451.0,2.5951000000000004,0.21
Concierges,35560,37600.0,39-6012,307.0,3.6818,0.21
Statisticians,98920,30780.0,15-2041,330.0,8.3,0.22
Computer Hardware Engineers,132360,74640.0,17-2061,227.0,7.0352,0.22
Survey Researchers,60410,7880.0,19-3022,481.0,7.3761,0.23
Radiologic Technologists and Technicians,65140,215820.0,29-2034,106.0,4.7759,0.23
Cardiovascular Technologists and Technicians,63020,55750.0,29-2031,254.0,4.5875,0.23
"Agents and Business Managers of Artists, Performers, and Athletes",82530,13130.0,13-1011,437.0,4.699,0.24
Geographers,88900,1360.0,19-3092,550.0,7.7826,0.25
Occupational Health and Safety Technicians,57970,23670.0,19-5012,363.0,6.25,0.25
Probation Officers and Correctional Treatment Specialists,59860,89920.0,21-1092,205.0,5.8779,0.25
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",30380,9910.0,53-3011,463.0,2.6481,0.25
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",97710,290830.0,41-4011,87.0,4.4337,0.25
"Career/Technical Education Teachers, Middle School",62630,11110.0,25-2023,456.0,6.5166,0.26
"Captains, Mates, and Pilots of Water Vessels",95210,34940.0,53-5021,313.0,2.8945,0.27
Occupational Therapy Aides,37060,3710.0,31-2012,524.0,3.5696,0.27
Medical Equipment Repairers,57860,58830.0,49-9062,250.0,3.2288,0.27
Athletes and Sports Competitors,94270,11930.0,27-2021,448.0,3.011,0.28
Skincare Specialists,38060,61990.0,39-5094,245.0,3.132,0.29
Biological Technicians,49650,73710.0,19-4021,229.0,6.8126,0.3
Medical Assistants,38270,752460.0,31-9092,28.0,3.4917,0.3
Zoologists and Wildlife Biologists,67430,17410.0,19-1023,394.0,7.5015,0.3
"Cooks, Private Household",38570,610.0,35-2013,554.0,3.1253,0.3
Private Detectives and Investigators,52120,32050.0,33-9021,324.0,4.5066,0.31
Film and Video Editors,63520,32080.0,27-4032,323.0,5.1685,0.31
Detectives and Criminal Investigators,86280,107400.0,33-3021,183.5,3.5531,0.34
Surgical Technologists,55960,107400.0,29-2055,183.5,3.9938,0.34
Radiation Therapists,89530,15510.0,29-1124,411.0,5.1635,0.34
"Plumbers, Pipefitters, and Steamfitters",60090,427920.0,47-2152,54.0,2.7262000000000004,0.35
Flight Attendants,63760,108480.0,53-2031,178.0,2.7553,0.35
Diagnostic Medical Sonographers,81350,81080.0,29-2032,217.0,5.6165,0.35
Bailiffs,49100,16470.0,33-3011,403.0,3.1493,0.36
"Telecommunications Equipment Installers and Repairers, Except Line Installers",59960,168180.0,49-2022,128.0,3.3521,0.36
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",44530,15030.0,51-9051,416.0,2.1256,0.37
Cleaners of Vehicles and Equipment,31000,359530.0,53-7061,71.0,2.1837,0.37
Funeral Attendants,31160,32950.0,39-4021,320.0,2.8673,0.37
Actors,*,54160.0,27-2011,258.0,3.5201,0.37
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",93720,25440.0,49-2095,354.0,3.66,0.38
Surveyors,63080,47770.0,17-1022,278.0,4.8069,0.38
"Packers and Packagers, Hand",32920,653870.0,53-7064,35.0,1.9488000000000003,0.38
Interpreters and Translators,53640,52160.0,27-3091,267.0,6.2652,0.38
Upholsterers,39600,26990.0,51-6093,348.0,1.5618,0.39
"Judges, Magistrate Judges, and Magistrates",151030,28230.0,23-1023,341.0,10.8323,0.4
"Mobile Heavy Equipment Mechanics, Except Engines",59440,158350.0,49-3042,137.0,2.8353,0.4
"Graders and Sorters, Agricultural Products",32550,23280.0,45-2041,364.0,1.5543,0.41
Structural Metal Fabricators and Fitters,47200,58870.0,51-2041,249.0,2.7245,0.41
Judicial Law Clerks,57490,15540.0,23-1012,410.0,10.1555,0.41
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",64030,51650.0,49-2094,268.0,3.694,0.41
Forest and Conservation Technicians,41520,29120.0,19-4071,336.0,3.9021,0.42
"Locker Room, Coatroom, and Dressing Room Attendants",30210,12130.0,39-3093,445.0,1.9883,0.43
Economists,113940,16370.0,19-3011,404.0,10.0436,0.43
Historians,64540,3120.0,19-3093,530.0,4.940799999999999,0.44
Medical Appliance Technicians,42160,15680.0,51-9082,408.0,4.316,0.45
"Court, Municipal, and License Clerks",44140,159760.0,43-4031,135.0,3.4578,0.46
"Compensation, Benefits, and Job Analysis Specialists",67780,93550.0,13-1141,200.0,5.3922,0.47
Psychiatric Aides,37160,30590.0,31-1133,331.0,3.0638,0.47
Fire Inspectors and Investigators,69450,14510.0,33-2021,422.0,3.3271,0.48
Merchandise Displayers and Window Trimmers,35380,173110.0,27-1026,124.0,3.6234,0.48
"Explosives Workers, Ordnance Handling Experts, and Blasters",56670,4710.0,47-5032,514.0,2.4583,0.48
Computer Programmers,97800,132740.0,15-1251,155.0,5.8687,0.48
Agricultural Engineers,83260,1500.0,17-2021,548.0,6.730700000000001,0.49
"Roof Bolters, Mining",60210,1700.0,47-5043,547.0,1.8671,0.49
Telecommunications Line Installers and Repairers,60580,107670.0,49-9052,181.0,2.2836,0.49
Demonstrators and Product Promoters,34770,43410.0,41-9011,289.0,1.6889,0.51
Dental Assistants,44820,363880.0,31-9091,68.0,3.0503,0.51
Shoe and Leather Workers and Repairers,32460,8860.0,51-6041,474.0,1.5638999999999998,0.52
"Rotary Drill Operators, Oil and Gas",55260,12190.0,47-5012,444.0,2.5789,0.53
Hazardous Materials Removal Workers,46690,46780.0,47-4041,282.0,2.8184,0.53
Embalmers,49910,3950.0,39-4011,519.5,5.1363,0.54
Continuous Mining Machine Operators,57360,13500.0,47-5041,432.0,2.1594,0.54
Massage Therapists,49860,86270.0,31-9011,210.0,3.385,0.54
Advertising Sales Agents,58450,106560.0,41-3011,187.0,4.4617,0.54
Automotive Glass Installers and Repairers,43700,17370.0,49-3022,396.0,1.9223,0.55
Commercial Pilots,103910,48750.0,53-2012,273.0,4.2137,0.55
Customer Service Representatives,37780,2879840.0,43-4051,6.0,3.3263,0.55
Chemical Technicians,50840,56030.0,19-4031,253.0,4.213,0.57
Cost Estimators,71200,225310.0,13-1051,104.0,5.864,0.57
Transit and Railroad Police,69150,3370.0,33-3052,528.0,4.3381,0.57
Personal Financial Advisors,95390,283060.0,13-2052,89.0,6.1738,0.58
Millwrights,60930,40930.0,49-9044,298.0,2.5218000000000003,0.59
Museum Technicians and Conservators,47270,12240.0,25-4013,443.0,6.2661,0.59
Recreational Vehicle Service Technicians,45030,17190.0,49-3092,398.0,2.7839,0.59
Automotive Service Technicians and Mechanics,46970,664070.0,49-3023,34.0,2.6592,0.59
Correctional Officers and Jailers,49610,363250.0,33-3012,69.0,2.1484,0.6
Slaughterers and Meat Packers,35240,78660.0,51-3023,221.0,1.9251,0.6
"Electronic Equipment Installers and Repairers, Motor Vehicles",41600,9450.0,49-2096,466.0,2.6018,0.61
Physical Therapist Aides,31410,42800.0,31-2022,292.0,3.2544,0.61
Costume Attendants,48470,5730.0,39-3092,505.0,3.6605,0.61
Market Research Analysts and Marketing Specialists,68230,798620.0,13-1161,25.0,6.8261,0.61
Reservation and Transportation Ticket Agents and Travel Clerks,39160,119130.0,43-4181,168.0,2.2452,0.61
Water and Wastewater Treatment Plant and System Operators,51600,119350.0,51-8031,166.0,3.0556,0.61
Food Cooking Machine Operators and Tenders,36700,26740.0,51-3093,349.0,2.1399,0.61
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",44920,30940.0,51-4122,329.0,2.1123,0.61
Motorboat Operators,41430,3110.0,53-5022,531.0,2.7871,0.62
Tapers,62360,14290.0,47-2082,424.5,1.9629,0.62
Pipelayers,45990,36070.0,47-2151,309.0,2.0993,0.62
"Geoscientists, Except Hydrologists and Geographers",87480,25230.0,19-2042,356.0,7.750199999999999,0.63
"Control and Valve Installers and Repairers, Except Mechanical Door",64810,46410.0,49-9012,283.0,2.7383,0.63
Construction and Building Inspectors,64480,128950.0,47-4011,160.0,3.9566,0.63
"Cutters and Trimmers, Hand",36130,8250.0,51-9031,478.0,1.5399,0.64
"Maintenance and Repair Workers, General",44980,1485990.0,49-9071,12.0,2.9206,0.64
"Administrative Law Judges, Adjudicators, and Hearing Officers",94990,12490.0,23-1021,440.0,8.414200000000001,0.64
Power Distributors and Dispatchers,101650,9380.0,51-8012,469.0,2.9298,0.64
"Insulation Workers, Mechanical",50590,25660.0,47-2132,353.0,1.8278,0.64
Social Science Research Assistants,50470,28720.0,19-4061,338.0,6.5951,0.65
Machinists,48510,316860.0,51-4041,83.0,2.5417,0.65
