"Figure 4: The primary income deficit decreased in Quarter 4 2024 ",""
"The UK’s primary income balance, £ billion, Quarter 1 (Jan to Mar) 2022 to Quarter 4 (Oct to Dec) 2024",""
"",""
"Notes","1. Q1 refers to Quarter 1 (Jan to Mar), Q2 refers to Quarter 2 (Apr to June), Q3 refers to Quarter 3 (July to Sept) and Q4 refers to Quarter 4 (Oct to Dec).    
2. Total includes reserve assets and compensation of employees.    
3. Foreign Direct Investment (FDI)-related estimates from Quarter 2 (Apr to June) 2024 onwards are subject to more uncertainty than usual, and users should be cautious when interpreting recent FDI data in the balance of payments (BoP) statistics. For more detail see the subsection ""Uncertainty around estimates in FDI survey data"" in [Section 8: Data sources and quality](https://www.ons.gov.uk/economy/nationalaccounts/balanceofpayments/bulletins/balanceofpayments/octobertodecember2024#data-sources-and-quality ). "
"Unit","£ billion    "
"",""
"","Direct investment","Portfolio investment","Other investment","Total"
"Q1 2022","11.0","-14.6","-2.8","-6.3"
"Q2 2022","29.4","-16.7","-3.0","9.9"
"Q3 2022","20.0","-14.3","-4.2","1.9"
"Q4 2022","30.2","-17.1","-5.2","8.4"
"Q1 2023","9.7","-14.9","-5.8","-10.2"
"Q2 2023","0.9","-15.4","-6.5","-20.1"
"Q3 2023","13.4","-12.5","-6.4","-4.5"
"Q4 2023","9.6","-13.7","-8.1","-11.2"
"Q1 2024","12.5","-13.9","-8.0","-8.3"
"Q2 2024","12.4","-13.0","-8.1","-7.7"
"Q3 2024","14.5","-12.7","-8.4","-5.6"
"Q4 2024","15.3","-11.3","-8.5","-3.5"
