state_id,district_id,gender,value
1,1,difference,0.3321543071434397
1,2,difference,0.2739490016037297
1,3,difference,0.2713518799103317
1,4,difference,0.335351157051005
1,5,difference,0.32144349453108073
1,6,difference,0.2637896100807687
1,7,difference,0.20608009132073046
1,8,difference,0.2873726272238605
1,9,difference,0.2733877846834858
1,10,difference,0.1698435140427924
1,11,difference,0.291598320798383
1,12,difference,0.27114771206340665
1,13,difference,0.23978454333348626
1,14,difference,0.2547836480525087
1,15,difference,0.2579729495898483
1,16,difference,0.3564362246189793
1,17,difference,0.3695075352620133
1,18,difference,0.321565815873094
1,19,difference,0.25620038816311985
1,20,difference,0.26148347335537164
1,21,difference,0.13681559325260229
1,22,difference,0.17168712361690985
2,23,difference,0.2528429739150234
2,24,difference,0.13064964608590446
2,25,difference,0.22645317195889303
2,26,difference,0.19848842389377408
2,27,difference,0.18653856938262958
2,28,difference,0.13311264143972856
2,29,difference,0.12437018984401349
2,30,difference,0.1525046072748687
2,31,difference,0.14974595233852583
2,32,difference,0.1737848474709609
2,33,difference,0.14606724186355957
2,34,difference,0.19740248857829412
3,35,difference,0.11032654840087397
3,36,difference,0.09614849734860575
3,37,difference,0.08690301743181517
3,38,difference,0.09595160497213862
3,39,difference,0.12956453383174615
3,40,difference,0.09544489241615206
3,41,difference,0.09248128593543736
3,42,difference,0.09022436558817704
3,43,difference,0.158975163008108
3,44,difference,0.14151736684892557
3,45,difference,0.12121544928963546
3,46,difference,0.13374660837579322
3,47,difference,0.12962881947949634
3,48,difference,0.1167017313169767
3,49,difference,0.09081920395798992
3,50,difference,0.1269772009711112
3,51,difference,0.12665360609731768
3,52,difference,0.09935618067668994
3,53,difference,0.12297137107526868
3,54,difference,0.09076981080087043
4,55,difference,0.10186637997333803
5,56,difference,0.3339199552456569
5,57,difference,0.2591284170466074
5,58,difference,0.2879745502578076
5,59,difference,0.3122958430973588
5,60,difference,0.12874412335690066
5,61,difference,0.24248686881140225
5,62,difference,0.2471467939951919
5,63,difference,0.28299681276994015
5,64,difference,0.27797067078770876
5,65,difference,0.29727558353780303
5,66,difference,0.15580356856564814
5,67,difference,0.20490968198696435
5,68,difference,0.20133696764538644
6,69,difference,0.12739805946918537
6,70,difference,0.13430747341726457
6,71,difference,0.14408180012228433
6,72,difference,0.16225088655238196
6,73,difference,0.22035727424136609
6,74,difference,0.17555851014959123
6,75,difference,0.20008837299629656
6,76,difference,0.20712779999373399
6,77,difference,0.24151293706144839
6,78,difference,0.20480045418349102
6,79,difference,0.18774344597991122
6,80,difference,0.23951218720299283
6,81,difference,0.26668412177751866
6,82,difference,0.18893826265635594
6,83,difference,0.21959157356126535
6,84,difference,0.3002707785292803
6,85,difference,0.2595491582960132
6,86,difference,0.1456746531817854
6,87,difference,0.3969141244668802
6,88,difference,0.1755989820746282
6,89,difference,0.3484794949263844
7,90,difference,0.13544523285752985
7,91,difference,0.10427077047297817
7,92,difference,0.14967947253050418
7,93,difference,0.09535795759403776
7,94,difference,0.10106109986364686
7,95,difference,0.06060502762725051
7,96,difference,0.10018500390032281
7,97,difference,0.1253564315444372
7,98,difference,0.13348008414684798
8,99,difference,0.22478718180477142
8,100,difference,0.26061189636794574
8,101,difference,0.27627064300868265
8,102,difference,0.30354583954000414
8,103,difference,0.3150316608329312
8,104,difference,0.3380693178880492
8,105,difference,0.37163024597482575
8,106,difference,0.34413374937944124
8,107,difference,0.40925747069696183
8,108,difference,0.4119806460488255
8,109,difference,0.39121653926905275
8,110,difference,0.26893078845920715
8,111,difference,0.32983477596890914
8,112,difference,0.3563437529319833
8,113,difference,0.327446252941799
8,114,difference,0.3873059135835549
8,115,difference,0.3698738245360119
8,116,difference,0.37996153440448166
8,117,difference,0.3354161501324351
8,118,difference,0.3397531056241594
8,119,difference,0.30859706189004926
8,120,difference,0.37717064796309174
8,121,difference,0.34300473661294206
8,122,difference,0.32242211530513526
8,123,difference,0.36548318305523825
8,124,difference,0.32404620822144437
8,125,difference,0.31627533863590296
8,126,difference,0.3503201254689397
8,127,difference,0.24368800187311368
8,128,difference,0.3450298840471574
8,129,difference,0.3483974294568802
8,130,difference,0.30607530911984504
8,131,difference,0.31955367486770747
9,132,difference,0.20693698235434366
9,133,difference,0.2427814537497458
9,134,difference,0.21677196936070864
9,135,difference,0.214048796957719
9,136,difference,0.21608145696315745
9,137,difference,0.2859772040938047
9,138,difference,0.20309389298348202
9,139,difference,0.27652705983466475
9,140,difference,0.18735659462763476
9,141,difference,0.2079970409555436
9,142,difference,0.31518548535620383
9,143,difference,0.27916184485673257
9,144,difference,0.29370650736409687
9,145,difference,0.31251019824850645
9,146,difference,0.24262692839480904
9,147,difference,0.24177797562129866
9,148,difference,0.23394773207973762
9,149,difference,0.26003203611693204
9,150,difference,0.23740397013019554
9,151,difference,0.2777177822366248
9,152,difference,0.24011789827020275
9,153,difference,0.244153521159595
9,154,difference,0.2544753205631809
9,155,difference,0.2753231250484975
9,156,difference,0.23108547334133822
9,157,difference,0.1338299283313572
9,158,difference,0.2704030441160702
9,159,difference,0.2299815418746659
9,160,difference,0.22786353842444318
9,161,difference,0.208523563002443
9,162,difference,0.19935703639813507
9,163,difference,0.21099517548925906
9,164,difference,0.10371858649325605
9,165,difference,0.2610855766036194
9,166,difference,0.2657786554657502
9,167,difference,0.3119593993524642
9,168,difference,0.3036551758783873
9,169,difference,0.2870260364174749
9,170,difference,0.317714125739503
9,171,difference,0.30934051812523294
9,172,difference,0.26610436027104906
9,173,difference,0.29592755626432915
9,174,difference,0.3139752727255248
